YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,167721.0,29742.0,172039.0,40085.0,177698.0,113311.0,,,97326.0,122232.0,,,,,75814.0,10115.0,172643.0,40420.0,120589.0,176573.0,$167721,$29742,$172039,$40085,$177698,$113311,,,$97326,$122232,,,,,$75814,$10115,$172643,$40420,$120589,$176573
2010,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,124846.0,7682.0,123001.0,7834.0,157959.0,66166.0,,,133693.0,110873.0,,,103263.0,98287.0,14303.0,129826.0,123337.0,8229.0,119409.0,31194.0,$124846,$7682,$123001,$7834,$157959,$66166,,,$133693,$110873,,,$103263,$98287,$14303,$129826,$123337,$8229,$119409,$31194
2011,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,187572.0,28276.0,195337.0,28214.0,176631.0,145980.0,,,212587.0,136763.0,,,,,80793.0,9529.0,194242.0,29400.0,122085.0,224488.0,$187572,$28276,$195337,$28214,$176631,$145980,,,$212587,$136763,,,,,$80793,$9529,$194242,$29400,$122085,$224488
2011,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,127844.0,11047.0,126137.0,11208.0,214196.0,33163.0,,,131296.0,80708.0,,,89697.0,34748.0,86077.0,835.0,126015.0,11513.0,100132.0,35345.0,$127844,$11047,$126137,$11208,$214196,$33163,,,$131296,$80708,,,$89697,$34748,$86077,$835,$126015,$11513,$100132,$35345
2012,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,175595.0,32847.0,177607.0,40819.0,175538.0,295408.0,,,139569.0,130201.0,,,,,79509.0,8462.0,177546.0,38319.0,132476.0,163585.0,$175595,$32847,$177607,$40819,$175538,$295408,,,$139569,$130201,,,,,$79509,$8462,$177546,$38319,$132476,$163585
2012,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,123104.0,13300.0,121851.0,11195.0,190983.0,79118.0,,,146597.0,73064.0,,,100153.0,20706.0,87421.0,67699.0,121982.0,11284.0,102181.0,39315.0,$123104,$13300,$121851,$11195,$190983,$79118,,,$146597,$73064,,,$100153,$20706,$87421,$67699,$121982,$11284,$102181,$39315
2013,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,151023.0,30182.0,167916.0,32472.0,13486.0,240838.0,,,141320.0,139705.0,,,,,91283.0,36030.0,166930.0,31880.0,101764.0,90411.0,$151023,$30182,$167916,$32472,$13486,$240838,,,$141320,$139705,,,,,$91283,$36030,$166930,$31880,$101764,$90411
2013,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,128808.0,12298.0,126536.0,12693.0,213660.0,117683.0,,,109314.0,57871.0,,,128609.0,60675.0,86807.0,84026.0,124793.0,12573.0,131392.0,43383.0,$128808,$12298,$126536,$12693,$213660,$117683,,,$109314,$57871,,,$128609,$60675,$86807,$84026,$124793,$12573,$131392,$43383
2014,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,147295.0,41484.0,156207.0,43454.0,12637.0,145126.0,,,138598.0,303134.0,,,,,101758.0,33335.0,166947.0,44470.0,76183.0,110554.0,$147295,$41484,$156207,$43454,$12637,$145126,,,$138598,$303134,,,,,$101758,$33335,$166947,$44470,$76183,$110554
2014,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,135491.0,11732.0,135583.0,12992.0,165062.0,129791.0,,,140048.0,38721.0,,,126510.0,59920.0,84871.0,7162.0,132436.0,12811.0,145944.0,38559.0,$135491,$11732,$135583,$12992,$165062,$129791,,,$140048,$38721,,,$126510,$59920,$84871,$7162,$132436,$12811,$145944,$38559
2015,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,133099.0,30169.0,154200.0,46129.0,,,,,,,,,,,101704.0,98298.0,154366.0,49175.0,,,$133099,$30169,$154200,$46129,,,,,,,,,,,$101704,$98298,$154366,$49175,,
