YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037532304,Census Tract 5323.04,Maywood,Los Angeles County,California,Maywood,75076.0,14083.0,72985.0,30763.0,,,,,93297.0,86303.0,,,70762.0,36307.0,272070.0,382379.0,13558.0,46243.0,74761.0,15814.0,$75076,$14083,$72985,$30763,,,,,$93297,$86303,,,$70762,$36307,$272070,$382379,$13558,$46243,$74761,$15814
2010,6037533300,Census Tract 5333,Maywood,Los Angeles County,California,Maywood,60731.0,20425.0,63917.0,32854.0,,,,,,,,,59607.0,29034.0,108948.0,121990.0,,,59998.0,18992.0,$60731,$20425,$63917,$32854,,,,,,,,,$59607,$29034,$108948,$121990,,,$59998,$18992
2010,6037533401,Census Tract 5334.01,Maywood,Los Angeles County,California,Maywood,74084.0,16877.0,67692.0,19112.0,,,,,,,,,81272.0,23724.0,43990.0,105505.0,41378.0,45754.0,74780.0,16415.0,$74084,$16877,$67692,$19112,,,,,,,,,$81272,$23724,$43990,$105505,$41378,$45754,$74780,$16415
2010,6037533402,Census Tract 5334.02,Maywood,Los Angeles County,California,Maywood,49939.0,7120.0,51099.0,5825.0,,,,,,,,,45773.0,16974.0,,,,,49939.0,7120.0,$49939,$7120,$51099,$5825,,,,,,,,,$45773,$16974,,,,,$49939,$7120
2010,6037533403,Census Tract 5334.03,Maywood,Los Angeles County,California,Maywood,50515.0,45218.0,38465.0,22275.0,,,,,196262.0,223269.0,,,84116.0,10602.0,36017.0,24432.0,47244.0,55912.0,58968.0,44594.0,$50515,$45218,$38465,$22275,,,,,$196262,$223269,,,$84116,$10602,$36017,$24432,$47244,$55912,$58968,$44594
2010,6037533601,Census Tract 5336.01,Maywood,Los Angeles County,California,Maywood,60080.0,10792.0,75151.0,24106.0,,,,,,,,,53282.0,11075.0,35613.0,18419.0,63272.0,63489.0,59772.0,10918.0,$60080,$10792,$75151,$24106,,,,,,,,,$53282,$11075,$35613,$18419,$63272,$63489,$59772,$10918
2010,6037533701,Census Tract 5337.01,Maywood,Los Angeles County,California,Maywood,50726.0,12738.0,44499.0,8038.0,,,,,,,,,57014.0,11489.0,,,19132.0,4897.0,52895.0,10621.0,$50726,$12738,$44499,$8038,,,,,,,,,$57014,$11489,,,$19132,$4897,$52895,$10621
2010,6037533702,Census Tract 5337.02,Maywood,Los Angeles County,California,Maywood,55013.0,7292.0,74761.0,9298.0,17877.0,9477.0,119494.0,2937.0,,,,,51292.0,4524.0,,,10043.0,101230.0,54981.0,4418.0,$55013,$7292,$74761,$9298,$17877,$9477,$119494,$2937,,,,,$51292,$4524,,,$10043,$101230,$54981,$4418
2010,6037533703,Census Tract 5337.03,Maywood,Los Angeles County,California,Maywood,56669.0,12252.0,57010.0,14219.0,,,,,,,,,56128.0,24093.0,343628.0,679252.0,,,56336.0,12276.0,$56669,$12252,$57010,$14219,,,,,,,,,$56128,$24093,$343628,$679252,,,$56336,$12276
2010,6037533803,Census Tract 5338.03,Maywood,Los Angeles County,California,Maywood,56482.0,8190.0,61858.0,12024.0,77178.0,30773.0,,,,,,,52904.0,10660.0,,,70832.0,15064.0,54666.0,9023.0,$56482,$8190,$61858,$12024,$77178,$30773,,,,,,,$52904,$10660,,,$70832,$15064,$54666,$9023
