YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037430200,Census Tract 4302,Monrovia,Los Angeles County,California,Monrovia,111199.0,12934.0,103348.0,11864.0,199114.0,126077.0,,,192134.0,121621.0,,,,,101346.0,16503.0,105099.0,14441.0,58414.0,35679.0,$111199,$12934,$103348,$11864,$199114,$126077,Not available,Not available,$192134,$121621,Not available,Not available,Not available,Not available,$101346,$16503,$105099,$14441,$58414,$35679,1
2013,6037430301,Census Tract 4303.01,Monrovia,Los Angeles County,California,Monrovia,153514.0,16730.0,151590.0,20040.0,,,,,159006.0,52822.0,,,,,,,144840.0,20014.0,238527.0,141872.0,$153514,$16730,$151590,$20040,Not available,Not available,Not available,Not available,$159006,$52822,Not available,Not available,Not available,Not available,Not available,Not available,$144840,$20014,$238527,$141872,1
2013,6037430302,Census Tract 4303.02,Monrovia,Los Angeles County,California,Monrovia,140047.0,19480.0,140972.0,6092.0,236626.0,131784.0,,,96888.0,128785.0,,,59553.0,93235.0,85877.0,249804.0,141211.0,4978.0,86269.0,61442.0,$140047,$19480,$140972,$6092,$236626,$131784,Not available,Not available,$96888,$128785,Not available,Not available,$59553,$93235,$85877,$249804,$141211,$4978,$86269,$61442,1
2013,6037430901,Census Tract 4309.01,Monrovia,Los Angeles County,California,Monrovia,84047.0,6473.0,85739.0,12186.0,48327.0,65636.0,,,82109.0,85457.0,,,81585.0,15549.0,147679.0,100493.0,87575.0,4547.0,79978.0,22851.0,$84047,$6473,$85739,$12186,$48327,$65636,Not available,Not available,$82109,$85457,Not available,Not available,$81585,$15549,$147679,$100493,$87575,$4547,$79978,$22851,1
2013,6037430902,Census Tract 4309.02,Monrovia,Los Angeles County,California,Monrovia,98936.0,8002.0,109149.0,39615.0,71435.0,42442.0,,,85276.0,57161.0,,,100320.0,6217.0,22747.0,203908.0,110574.0,39368.0,99099.0,15967.0,$98936,$8002,$109149,$39615,$71435,$42442,Not available,Not available,$85276,$57161,Not available,Not available,$100320,$6217,$22747,$203908,$110574,$39368,$99099,$15967,1
2013,6037431001,Census Tract 4310.01,Monrovia,Los Angeles County,California,Monrovia,95472.0,15693.0,98704.0,9806.0,65880.0,84458.0,,,90137.0,29497.0,,,50655.0,71768.0,,,101325.0,12957.0,68006.0,43460.0,$95472,$15693,$98704,$9806,$65880,$84458,Not available,Not available,$90137,$29497,Not available,Not available,$50655,$71768,Not available,Not available,$101325,$12957,$68006,$43460,1
2013,6037431002,Census Tract 4310.02,Monrovia,Los Angeles County,California,Monrovia,69245.0,29229.0,81432.0,40790.0,50672.0,102707.0,,,77730.0,56147.0,,,80340.0,25755.0,51090.0,21439.0,80660.0,42661.0,80404.0,41820.0,$69245,$29229,$81432,$40790,$50672,$102707,Not available,Not available,$77730,$56147,Not available,Not available,$80340,$25755,$51090,$21439,$80660,$42661,$80404,$41820,1
2013,6037431100,Census Tract 4311,Monrovia,Los Angeles County,California,Monrovia,65746.0,13844.0,74719.0,16201.0,59313.0,41642.0,,,92373.0,14598.0,,,55378.0,14961.0,41523.0,149747.0,75694.0,21396.0,65979.0,19217.0,$65746,$13844,$74719,$16201,$59313,$41642,Not available,Not available,$92373,$14598,Not available,Not available,$55378,$14961,$41523,$149747,$75694,$21396,$65979,$19217,1
2013,6037431200,Census Tract 4312,Monrovia,Los Angeles County,California,Monrovia,70405.0,6632.0,65322.0,7827.0,34784.0,78579.0,,,90380.0,29186.0,,,76854.0,21313.0,29261.0,82400.0,64992.0,14772.0,71498.0,7955.0,$70405,$6632,$65322,$7827,$34784,$78579,Not available,Not available,$90380,$29186,Not available,Not available,$76854,$21313,$29261,$82400,$64992,$14772,$71498,$7955,1
2013,6037431300,Census Tract 4313,Monrovia,Los Angeles County,California,Monrovia,107333.0,10017.0,107836.0,10428.0,63552.0,66994.0,,,146213.0,42572.0,,,91192.0,4672.0,185894.0,190461.0,106194.0,7471.0,108293.0,43674.0,$107333,$10017,$107836,$10428,$63552,$66994,Not available,Not available,$146213,$42572,Not available,Not available,$91192,$4672,$185894,$190461,$106194,$7471,$108293,$43674,1
