YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037482522,Census Tract 4825.22,Montebello,Los Angeles County,California,Montebello,95945.0,10259.0,94434.0,7500.0,,,,,107366.0,12958.0,,,77137.0,13992.0,73232.0,138648.0,97680.0,32368.0,85683.0,16147.0,$95945,$10259,$94434,$7500,Not available,Not available,Not available,Not available,$107366,$12958,Not available,Not available,$77137,$13992,$73232,$138648,$97680,$32368,$85683,$16147
2010,6037482800,Census Tract 4828,Montebello,Los Angeles County,California,Montebello,98495.0,12185.0,110990.0,45108.0,,,,,98151.0,24366.0,,,61306.0,73025.0,72408.0,24768.0,130262.0,99690.0,99825.0,33585.0,$98495,$12185,$110990,$45108,Not available,Not available,Not available,Not available,$98151,$24366,Not available,Not available,$61306,$73025,$72408,$24768,$130262,$99690,$99825,$33585
2010,6037530003,Census Tract 5300.03,Montebello,Los Angeles County,California,Montebello,123664.0,30958.0,116493.0,44117.0,,,,,193706.0,113346.0,,,152006.0,107696.0,,,98151.0,50662.0,131030.0,61222.0,$123664,$30958,$116493,$44117,Not available,Not available,Not available,Not available,$193706,$113346,Not available,Not available,$152006,$107696,Not available,Not available,$98151,$50662,$131030,$61222
2010,6037530004,Census Tract 5300.04,Montebello,Los Angeles County,California,Montebello,82119.0,16712.0,63222.0,13981.0,111408.0,32711.0,132372.0,97454.0,108005.0,44378.0,,,105781.0,52455.0,,,47417.0,39618.0,79050.0,10720.0,$82119,$16712,$63222,$13981,$111408,$32711,$132372,$97454,$108005,$44378,Not available,Not available,$105781,$52455,Not available,Not available,$47417,$39618,$79050,$10720
2010,6037530005,Census Tract 5300.05,Montebello,Los Angeles County,California,Montebello,119420.0,19381.0,88300.0,43703.0,,,,,142250.0,38330.0,,,29536.0,24300.0,99600.0,144120.0,47547.0,60189.0,64978.0,49566.0,$119420,$19381,$88300,$43703,Not available,Not available,Not available,Not available,$142250,$38330,Not available,Not available,$29536,$24300,$99600,$144120,$47547,$60189,$64978,$49566
2010,6037530006,Census Tract 5300.06,Montebello,Los Angeles County,California,Montebello,85152.0,23434.0,59568.0,28249.0,,,,,111305.0,21195.0,,,55232.0,66410.0,64152.0,24603.0,57978.0,1849.0,66670.0,27062.0,$85152,$23434,$59568,$28249,Not available,Not available,Not available,Not available,$111305,$21195,Not available,Not available,$55232,$66410,$64152,$24603,$57978,$1849,$66670,$27062
2010,6037530101,Census Tract 5301.01,Montebello,Los Angeles County,California,Montebello,57295.0,19051.0,61115.0,23266.0,,,,,15318.0,4506.0,,,66296.0,33926.0,113388.0,168473.0,61115.0,31766.0,67516.0,22752.0,$57295,$19051,$61115,$23266,Not available,Not available,Not available,Not available,$15318,$4506,Not available,Not available,$66296,$33926,$113388,$168473,$61115,$31766,$67516,$22752
2010,6037530102,Census Tract 5301.02,Montebello,Los Angeles County,California,Montebello,50166.0,8446.0,47161.0,10724.0,,,,,15776.0,1238.0,,,75726.0,40377.0,140855.0,243354.0,27318.0,19657.0,58468.0,12942.0,$50166,$8446,$47161,$10724,Not available,Not available,Not available,Not available,$15776,$1238,Not available,Not available,$75726,$40377,$140855,$243354,$27318,$19657,$58468,$12942
2010,6037530202,Census Tract 5302.02,Montebello,Los Angeles County,California,Montebello,63633.0,14620.0,67197.0,21334.0,,,37355.0,5201.0,59169.0,82403.0,,,63891.0,22743.0,222533.0,110483.0,39993.0,14986.0,71808.0,19432.0,$63633,$14620,$67197,$21334,Not available,Not available,$37355,$5201,$59169,$82403,Not available,Not available,$63891,$22743,$222533,$110483,$39993,$14986,$71808,$19432
2010,6037530203,Census Tract 5302.03,Montebello,Los Angeles County,California,Montebello,61418.0,5715.0,66115.0,20113.0,,,,,57118.0,18849.0,,,58540.0,14040.0,31962.0,58742.0,48003.0,81280.0,62844.0,7039.0,$61418,$5715,$66115,$20113,Not available,Not available,Not available,Not available,$57118,$18849,Not available,Not available,$58540,$14040,$31962,$58742,$48003,$81280,$62844,$7039
2010,6037530204,Census Tract 5302.04,Montebello,Los Angeles County,California,Montebello,76194.0,19905.0,57844.0,23458.0,201547.0,179089.0,,,74199.0,67309.0,,,97907.0,14146.0,,,49926.0,66597.0,82736.0,22857.0,$76194,$19905,$57844,$23458,$201547,$179089,Not available,Not available,$74199,$67309,Not available,Not available,$97907,$14146,Not available,Not available,$49926,$66597,$82736,$22857
2010,6037531800,Census Tract 5318,Montebello,Los Angeles County,California,Montebello,54597.0,10007.0,54846.0,10735.0,,,,,,,,,51967.0,21652.0,,,34245.0,50970.0,54402.0,9962.0,$54597,$10007,$54846,$10735,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$51967,$21652,Not available,Not available,$34245,$50970,$54402,$9962
2010,6037531902,Census Tract 5319.02,Montebello,Los Angeles County,California,Montebello,50929.0,16561.0,44799.0,20832.0,,,117225.0,26618.0,,,,,54277.0,29788.0,,,22830.0,26961.0,53125.0,17933.0,$50929,$16561,$44799,$20832,Not available,Not available,$117225,$26618,Not available,Not available,Not available,Not available,$54277,$29788,Not available,Not available,$22830,$26961,$53125,$17933
2010,6037532001,Census Tract 5320.01,Montebello,Los Angeles County,California,Montebello,54363.0,8573.0,48789.0,13961.0,,,,,,,,,60079.0,26208.0,,,87809.0,34517.0,53576.0,6026.0,$54363,$8573,$48789,$13961,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$60079,$26208,Not available,Not available,$87809,$34517,$53576,$6026
2010,6037532002,Census Tract 5320.02,Montebello,Los Angeles County,California,Montebello,69436.0,12171.0,73596.0,8196.0,,,13768.0,191670.0,,,,,61743.0,21473.0,,,40216.0,50311.0,69636.0,14517.0,$69436,$12171,$73596,$8196,Not available,Not available,$13768,$191670,Not available,Not available,Not available,Not available,$61743,$21473,Not available,Not available,$40216,$50311,$69636,$14517
2010,6037532101,Census Tract 5321.01,Montebello,Los Angeles County,California,Montebello,54038.0,7490.0,51490.0,8333.0,,,,,54190.0,61427.0,,,58603.0,10783.0,,,58173.0,60935.0,53563.0,9471.0,$54038,$7490,$51490,$8333,Not available,Not available,Not available,Not available,$54190,$61427,Not available,Not available,$58603,$10783,Not available,Not available,$58173,$60935,$53563,$9471
2010,6037532102,Census Tract 5321.02,Montebello,Los Angeles County,California,Montebello,71502.0,21986.0,68404.0,17746.0,,,,,142375.0,15071.0,,,75264.0,68230.0,,,116142.0,128792.0,70213.0,16743.0,$71502,$21986,$68404,$17746,Not available,Not available,Not available,Not available,$142375,$15071,Not available,Not available,$75264,$68230,Not available,Not available,$116142,$128792,$70213,$16743
2010,6037532200,Census Tract 5322,Montebello,Los Angeles County,California,Montebello,58632.0,10718.0,70965.0,21973.0,26830.0,66667.0,,,50929.0,35025.0,,,51492.0,11114.0,,,49013.0,10361.0,63264.0,13879.0,$58632,$10718,$70965,$21973,$26830,$66667,Not available,Not available,$50929,$35025,Not available,Not available,$51492,$11114,Not available,Not available,$49013,$10361,$63264,$13879
