YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037481711,Census Tract 4817.11,Monterey Park,Los Angeles County,California,MontereyPark,43424.0,7906.0,41290.0,30761.0,,,,,47002.0,7892.0,,,29377.0,8706.0,,,88866.0,41926.0,36156.0,21889.0,$43424,$7906,$41290,$30761,,,,,$47002,$7892,,,$29377,$8706,,,$88866,$41926,$36156,$21889
2010,6037481712,Census Tract 4817.12,Monterey Park,Los Angeles County,California,MontereyPark,50765.0,12827.0,38702.0,36219.0,,,,,50825.0,13474.0,,,66888.0,27172.0,,,28201.0,142159.0,60018.0,22166.0,$50765,$12827,$38702,$36219,,,,,$50825,$13474,,,$66888,$27172,,,$28201,$142159,$60018,$22166
2010,6037481713,Census Tract 4817.13,Monterey Park,Los Angeles County,California,MontereyPark,59175.0,8314.0,66888.0,161375.0,,,,,60922.0,9671.0,,,,,,,149489.0,50324.0,25309.0,25827.0,$59175,$8314,$66888,$161375,,,,,$60922,$9671,,,,,,,$149489,$50324,$25309,$25827
2010,6037481714,Census Tract 4817.14,Monterey Park,Los Angeles County,California,MontereyPark,35739.0,14835.0,27671.0,52386.0,,,,,41966.0,15396.0,,,17561.0,78171.0,,,,,27629.0,20179.0,$35739,$14835,$27671,$52386,,,,,$41966,$15396,,,$17561,$78171,,,,,$27629,$20179
2010,6037482001,Census Tract 4820.01,Monterey Park,Los Angeles County,California,MontereyPark,114406.0,19018.0,102057.0,71273.0,,,,,114389.0,21482.0,,,17949.0,316353.0,124572.0,266551.0,161896.0,155913.0,78063.0,46599.0,$114406,$19018,$102057,$71273,,,,,$114389,$21482,,,$17949,$316353,$124572,$266551,$161896,$155913,$78063,$46599
2010,6037482002,Census Tract 4820.02,Monterey Park,Los Angeles County,California,MontereyPark,95709.0,21404.0,77885.0,27261.0,,,,,115902.0,26879.0,,,66266.0,5864.0,21048.0,13759.0,25851.0,94158.0,70551.0,9580.0,$95709,$21404,$77885,$27261,,,,,$115902,$26879,,,$66266,$5864,$21048,$13759,$25851,$94158,$70551,$9580
2010,6037482101,Census Tract 4821.01,Monterey Park,Los Angeles County,California,MontereyPark,82299.0,14038.0,106981.0,16846.0,,,,,82988.0,11807.0,,,39006.0,12398.0,206215.0,341035.0,80446.0,70850.0,75598.0,51490.0,$82299,$14038,$106981,$16846,,,,,$82988,$11807,,,$39006,$12398,$206215,$341035,$80446,$70850,$75598,$51490
2010,6037482102,Census Tract 4821.02,Monterey Park,Los Angeles County,California,MontereyPark,90546.0,19335.0,85447.0,18593.0,,,,,77734.0,38963.0,,,104463.0,114876.0,174149.0,219088.0,107020.0,182510.0,85689.0,17673.0,$90546,$19335,$85447,$18593,,,,,$77734,$38963,,,$104463,$114876,$174149,$219088,$107020,$182510,$85689,$17673
2010,6037482201,Census Tract 4822.01,Monterey Park,Los Angeles County,California,MontereyPark,75516.0,15832.0,47002.0,55072.0,,,,,73396.0,25517.0,,,114019.0,51714.0,,,47495.0,68392.0,113374.0,66149.0,$75516,$15832,$47002,$55072,,,,,$73396,$25517,,,$114019,$51714,,,$47495,$68392,$113374,$66149
2010,6037482202,Census Tract 4822.02,Monterey Park,Los Angeles County,California,MontereyPark,82508.0,17016.0,43612.0,48558.0,,,,,90525.0,12236.0,,,56436.0,13652.0,,,89786.0,87424.0,45828.0,23732.0,$82508,$17016,$43612,$48558,,,,,$90525,$12236,,,$56436,$13652,,,$89786,$87424,$45828,$23732
