YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037900201,Census Tract 9002.01,Palmdale,Los Angeles County,California,Palmdale,53504.0,6687.0,59019.0,13023.0,,,,,3614.0,,,,52232.0,3364.0,,,67268.0,27451.0,50997.0,14834.0,$53504,$6687,$59019,$13023,,,,,$3614,,,,$52232,$3364,,,$67268,$27451,$50997,$14834
2010,6037901213,Census Tract 9012.13,Palmdale,Los Angeles County,California,Palmdale,156976.0,46619.0,164207.0,39981.0,80692.0,27273.0,,,230792.0,202183.0,,,,,17758.0,175983.0,158000.0,47453.0,224867.0,96447.0,$156976,$46619,$164207,$39981,$80692,$27273,,,$230792,$202183,,,,,$17758,$175983,$158000,$47453,$224867,$96447
2010,6037910001,Census Tract 9100.01,Palmdale,Los Angeles County,California,Palmdale,95468.0,20732.0,107863.0,10719.0,30339.0,34032.0,,,,,,,64937.0,17122.0,97620.0,152267.0,106116.0,13370.0,88621.0,27478.0,$95468,$20732,$107863,$10719,$30339,$34032,,,,,,,$64937,$17122,$97620,$152267,$106116,$13370,$88621,$27478
2010,6037910002,Census Tract 9100.02,Palmdale,Los Angeles County,California,Palmdale,66473.0,11179.0,59989.0,8324.0,71795.0,42170.0,,,,,,,74263.0,14657.0,70226.0,169104.0,62519.0,15590.0,66493.0,15757.0,$66473,$11179,$59989,$8324,$71795,$42170,,,,,,,$74263,$14657,$70226,$169104,$62519,$15590,$66493,$15757
2010,6037910101,Census Tract 9101.01,Palmdale,Los Angeles County,California,Palmdale,31214.0,16728.0,30974.0,6002.0,,,,,114681.0,66880.0,,,17459.0,7758.0,,,29700.0,19243.0,22736.0,10802.0,$31214,$16728,$30974,$6002,,,,,$114681,$66880,,,$17459,$7758,,,$29700,$19243,$22736,$10802
2010,6037910201,Census Tract 9102.01,Palmdale,Los Angeles County,California,Palmdale,71921.0,21082.0,93515.0,18030.0,68908.0,35603.0,33722.0,36748.0,46641.0,2820.0,,,49036.0,25451.0,,,91659.0,12640.0,53630.0,25018.0,$71921,$21082,$93515,$18030,$68908,$35603,$33722,$36748,$46641,$2820,,,$49036,$25451,,,$91659,$12640,$53630,$25018
2010,6037910202,Census Tract 9102.02,Palmdale,Los Angeles County,California,Palmdale,132361.0,24902.0,124194.0,28483.0,133722.0,65938.0,,,179505.0,126576.0,,,100984.0,33823.0,,,131064.0,34758.0,100232.0,47829.0,$132361,$24902,$124194,$28483,$133722,$65938,,,$179505,$126576,,,$100984,$33823,,,$131064,$34758,$100232,$47829
2010,6037910205,Census Tract 9102.05,Palmdale,Los Angeles County,California,Palmdale,125853.0,14916.0,131968.0,23599.0,,,,,156131.0,168395.0,,,124204.0,73212.0,,,122237.0,25630.0,125428.0,45878.0,$125853,$14916,$131968,$23599,,,,,$156131,$168395,,,$124204,$73212,,,$122237,$25630,$125428,$45878
2010,6037910206,Census Tract 9102.06,Palmdale,Los Angeles County,California,Palmdale,110613.0,18578.0,115698.0,28932.0,99428.0,60391.0,,,133895.0,55060.0,,,92197.0,60825.0,,,122271.0,62355.0,80238.0,20181.0,$110613,$18578,$115698,$28932,$99428,$60391,,,$133895,$55060,,,$92197,$60825,,,$122271,$62355,$80238,$20181
2010,6037910207,Census Tract 9102.07,Palmdale,Los Angeles County,California,Palmdale,123206.0,18676.0,131444.0,25462.0,36093.0,123773.0,,,76443.0,138037.0,,,137669.0,41123.0,,,127568.0,28923.0,137494.0,20658.0,$123206,$18676,$131444,$25462,$36093,$123773,,,$76443,$138037,,,$137669,$41123,,,$127568,$28923,$137494,$20658
