YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037670324,Census Tract 6703.24,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,226860.0,40389.0,245864.0,44560.0,,,,,173745.0,47172.0,,,,,,,253240.0,45110.0,166518.0,166658.0,$226860,$40389,$245864,$44560,Not available,Not available,Not available,Not available,$173745,$47172,Not available,Not available,Not available,Not available,Not available,Not available,$253240,$45110,$166518,$166658
2010,6037670326,Census Tract 6703.26,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,217375.0,64460.0,191911.0,39109.0,,,,,319186.0,90229.0,,,,,,,193647.0,49497.0,149275.0,32604.0,$217375,$64460,$191911,$39109,Not available,Not available,Not available,Not available,$319186,$90229,Not available,Not available,Not available,Not available,Not available,Not available,$193647,$49497,$149275,$32604
2010,6037670328,Census Tract 6703.28,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,235752.0,39157.0,224644.0,74722.0,273828.0,101652.0,,,235638.0,47167.0,,,,,,,223474.0,76689.0,236498.0,215547.0,$235752,$39157,$224644,$74722,$273828,$101652,Not available,Not available,$235638,$47167,Not available,Not available,Not available,Not available,Not available,Not available,$223474,$76689,$236498,$215547
2010,6037670411,Census Tract 6704.11,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,164885.0,22166.0,153833.0,20551.0,,,,,178798.0,46658.0,,,226968.0,48475.0,,,153623.0,19789.0,197862.0,69972.0,$164885,$22166,$153833,$20551,Not available,Not available,Not available,Not available,$178798,$46658,Not available,Not available,$226968,$48475,Not available,Not available,$153623,$19789,$197862,$69972
2011,6037670324,Census Tract 6703.24,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,218056.0,21666.0,227261.0,61048.0,,,,,180872.0,60865.0,,,,,,,240360.0,57140.0,165385.0,94914.0,$218056,$21666,$227261,$61048,Not available,Not available,Not available,Not available,$180872,$60865,Not available,Not available,Not available,Not available,Not available,Not available,$240360,$57140,$165385,$94914
2011,6037670326,Census Tract 6703.26,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,213418.0,47883.0,193103.0,50304.0,,,,,311874.0,92180.0,,,,,,,193850.0,52559.0,141967.0,35402.0,$213418,$47883,$193103,$50304,Not available,Not available,Not available,Not available,$311874,$92180,Not available,Not available,Not available,Not available,Not available,Not available,$193850,$52559,$141967,$35402
2011,6037670328,Census Tract 6703.28,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,215503.0,48274.0,214652.0,67003.0,274250.0,122437.0,,,209178.0,49105.0,,,,,,,214652.0,70250.0,209334.0,163828.0,$215503,$48274,$214652,$67003,$274250,$122437,Not available,Not available,$209178,$49105,Not available,Not available,Not available,Not available,Not available,Not available,$214652,$70250,$209334,$163828
2011,6037670411,Census Tract 6704.11,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,159691.0,27778.0,158804.0,31518.0,,,,,161680.0,67747.0,,,,,223679.0,81016.0,158318.0,27889.0,199501.0,77343.0,$159691,$27778,$158804,$31518,Not available,Not available,Not available,Not available,$161680,$67747,Not available,Not available,Not available,Not available,$223679,$81016,$158318,$27889,$199501,$77343
2012,6037670324,Census Tract 6703.24,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,190869.0,20052.0,193035.0,28678.0,105023.0,208038.0,,,154082.0,60900.0,,,,,,,193219.0,31474.0,171289.0,139808.0,$190869,$20052,$193035,$28678,$105023,$208038,Not available,Not available,$154082,$60900,Not available,Not available,Not available,Not available,Not available,Not available,$193219,$31474,$171289,$139808
2012,6037670326,Census Tract 6703.26,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,245240.0,62525.0,229444.0,65840.0,,,,,295399.0,115708.0,,,,,,,228839.0,70502.0,,,$245240,$62525,$229444,$65840,Not available,Not available,Not available,Not available,$295399,$115708,Not available,Not available,Not available,Not available,Not available,Not available,$228839,$70502,Not available,Not available
2012,6037670328,Census Tract 6703.28,Palos Verdes Estates,Los Angeles County,California,PalosVerdesEstates,234323.0,55178.0,251723.0,67472.0,,,,,201347.0,56909.0,,,,,,,257915.0,69776.0,182477.0,117569.0,$234323,$55178,$251723,$67472,Not available,Not available,Not available,Not available,$201347,$56909,Not available,Not available,Not available,Not available,Not available,Not available,$257915,$69776,$182477,$117569
