YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037540000,Census Tract 5400,Paramount,Los Angeles County,California,Paramount,57104.0,9257.0,58472.0,11869.0,29562.0,39226.0,,,,,,,62315.0,25741.0,,,58971.0,38513.0,62669.0,14480.0,$57104,$9257,$58472,$11869,$29562,$39226,,,,,,,$62315,$25741,,,$58971,$38513,$62669,$14480
2010,6037542104,Census Tract 5421.04,Paramount,Los Angeles County,California,Paramount,65533.0,16130.0,58633.0,19469.0,91460.0,16623.0,60417.0,6136.0,,,,,71967.0,104040.0,,,,,60680.0,17071.0,$65533,$16130,$58633,$19469,$91460,$16623,$60417,$6136,,,,,$71967,$104040,,,,,$60680,$17071
2010,6037542106,Census Tract 5421.06,Paramount,Los Angeles County,California,Paramount,73495.0,10945.0,76556.0,34874.0,79711.0,20578.0,,,,,,,74119.0,13551.0,,,,,76398.0,12870.0,$73495,$10945,$76556,$34874,$79711,$20578,,,,,,,$74119,$13551,,,,,$76398,$12870
2010,6037542200,Census Tract 5422,Paramount,Los Angeles County,California,Paramount,68419.0,11534.0,81350.0,25400.0,68846.0,27041.0,,,,,,,64685.0,13674.0,,,91745.0,38425.0,67848.0,11066.0,$68419,$11534,$81350,$25400,$68846,$27041,,,,,,,$64685,$13674,,,$91745,$38425,$67848,$11066
2010,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,63385.0,23416.0,64276.0,32444.0,79040.0,22766.0,,,59476.0,135456.0,,,50427.0,36746.0,,,50907.0,13801.0,58210.0,28725.0,$63385,$23416,$64276,$32444,$79040,$22766,,,$59476,$135456,,,$50427,$36746,,,$50907,$13801,$58210,$28725
2010,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,63479.0,9416.0,59006.0,13205.0,63804.0,16957.0,,,,,,,72557.0,21589.0,,,60090.0,95011.0,64023.0,18196.0,$63479,$9416,$59006,$13205,$63804,$16957,,,,,,,$72557,$21589,,,$60090,$95011,$64023,$18196
2010,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,68505.0,17274.0,76854.0,38360.0,65699.0,34873.0,,,,,,,63781.0,27169.0,117505.0,159016.0,54732.0,68573.0,74900.0,20228.0,$68505,$17274,$76854,$38360,$65699,$34873,,,,,,,$63781,$27169,$117505,$159016,$54732,$68573,$74900,$20228
2010,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,57306.0,5551.0,87725.0,36773.0,36505.0,16585.0,35334.0,56646.0,120217.0,132409.0,,,52266.0,14111.0,,,56342.0,37931.0,60170.0,4337.0,$57306,$5551,$87725,$36773,$36505,$16585,$35334,$56646,$120217,$132409,,,$52266,$14111,,,$56342,$37931,$60170,$4337
2010,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,71226.0,9846.0,56644.0,8611.0,73474.0,38715.0,,,,,,,73757.0,9735.0,61314.0,145642.0,88909.0,94989.0,69338.0,9977.0,$71226,$9846,$56644,$8611,$73474,$38715,,,,,,,$73757,$9735,$61314,$145642,$88909,$94989,$69338,$9977
2010,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,68849.0,9837.0,77046.0,25939.0,,,,,,,,,66221.0,15723.0,,,79026.0,45151.0,64176.0,14158.0,$68849,$9837,$77046,$25939,,,,,,,,,$66221,$15723,,,$79026,$45151,$64176,$14158
2010,6037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,48100.0,7695.0,28924.0,22243.0,69539.0,35771.0,,,,,,,48584.0,15379.0,51522.0,66682.0,,,46670.0,8698.0,$48100,$7695,$28924,$22243,$69539,$35771,,,,,,,$48584,$15379,$51522,$66682,,,$46670,$8698
2010,6037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,58301.0,12722.0,60260.0,15907.0,32243.0,13707.0,3614.0,,,,109331.0,33920.0,62229.0,10327.0,,,,,60673.0,8852.0,$58301,$12722,$60260,$15907,$32243,$13707,$3614,,,,$109331,$33920,$62229,$10327,,,,,$60673,$8852
2010,6037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,50486.0,4347.0,51070.0,6926.0,52132.0,14348.0,,,85998.0,104138.0,,,49860.0,10996.0,73738.0,76988.0,49297.0,9896.0,50327.0,8766.0,$50486,$4347,$51070,$6926,$52132,$14348,,,$85998,$104138,,,$49860,$10996,$73738,$76988,$49297,$9896,$50327,$8766
2010,6037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,64420.0,10057.0,57636.0,7128.0,71983.0,141087.0,48482.0,56760.0,115439.0,87550.0,,,75999.0,21397.0,25762.0,18895.0,42985.0,34771.0,62438.0,12116.0,$64420,$10057,$57636,$7128,$71983,$141087,$48482,$56760,$115439,$87550,,,$75999,$21397,$25762,$18895,$42985,$34771,$62438,$12116
2010,6037553902,Census Tract 5539.02,Paramount,Los Angeles County,California,Paramount,57516.0,10855.0,53230.0,20742.0,60861.0,42908.0,,,94779.0,42292.0,3614.0,,46646.0,19468.0,107469.0,62170.0,52023.0,21163.0,52606.0,18672.0,$57516,$10855,$53230,$20742,$60861,$42908,,,$94779,$42292,$3614,,$46646,$19468,$107469,$62170,$52023,$21163,$52606,$18672
2010,6037570202,Census Tract 5702.02,Paramount,Los Angeles County,California,Paramount,81888.0,12974.0,85294.0,19575.0,72887.0,69408.0,,,89907.0,37665.0,,,87476.0,21501.0,48207.0,33525.0,85869.0,26787.0,75188.0,21997.0,$81888,$12974,$85294,$19575,$72887,$69408,,,$89907,$37665,,,$87476,$21501,$48207,$33525,$85869,$26787,$75188,$21997
2011,6037540000,Census Tract 5400,Paramount,Los Angeles County,California,Paramount,57912.0,7221.0,56061.0,10395.0,53886.0,27377.0,,,,,,,62106.0,29551.0,,,56869.0,48868.0,61623.0,8774.0,$57912,$7221,$56061,$10395,$53886,$27377,,,,,,,$62106,$29551,,,$56869,$48868,$61623,$8774
2011,6037542104,Census Tract 5421.04,Paramount,Los Angeles County,California,Paramount,70861.0,20933.0,50187.0,17380.0,76733.0,44201.0,58267.0,6795.0,,,,,117377.0,54630.0,,,,,67073.0,20084.0,$70861,$20933,$50187,$17380,$76733,$44201,$58267,$6795,,,,,$117377,$54630,,,,,$67073,$20084
2011,6037542106,Census Tract 5421.06,Paramount,Los Angeles County,California,Paramount,71140.0,8427.0,79711.0,32130.0,73898.0,50572.0,,,,,,,71171.0,2673.0,,,,,72673.0,11222.0,$71140,$8427,$79711,$32130,$73898,$50572,,,,,,,$71171,$2673,,,,,$72673,$11222
2011,6037542200,Census Tract 5422,Paramount,Los Angeles County,California,Paramount,66335.0,12581.0,71147.0,14374.0,53524.0,21902.0,,,,,,,67623.0,15113.0,,,,,69229.0,9194.0,$66335,$12581,$71147,$14374,$53524,$21902,,,,,,,$67623,$15113,,,,,$69229,$9194
2011,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,61476.0,16817.0,76083.0,13307.0,75916.0,26562.0,,,60966.0,228060.0,,,47482.0,16766.0,,,62368.0,32895.0,54425.0,24164.0,$61476,$16817,$76083,$13307,$75916,$26562,,,$60966,$228060,,,$47482,$16766,,,$62368,$32895,$54425,$24164
2011,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,61429.0,7874.0,54972.0,44532.0,59370.0,43067.0,,,,,,,63944.0,25059.0,,,125407.0,163381.0,61562.0,12824.0,$61429,$7874,$54972,$44532,$59370,$43067,,,,,,,$63944,$25059,,,$125407,$163381,$61562,$12824
2011,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,62431.0,16277.0,71693.0,37097.0,96439.0,36469.0,,,33904.0,316884.0,,,31460.0,43711.0,117126.0,83256.0,52933.0,100228.0,60202.0,18773.0,$62431,$16277,$71693,$37097,$96439,$36469,,,$33904,$316884,,,$31460,$43711,$117126,$83256,$52933,$100228,$60202,$18773
2011,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,67351.0,9993.0,95270.0,16887.0,49531.0,27559.0,37725.0,48132.0,27627.0,170547.0,,,67423.0,14384.0,165379.0,176533.0,89542.0,69671.0,69776.0,10757.0,$67351,$9993,$95270,$16887,$49531,$27559,$37725,$48132,$27627,$170547,,,$67423,$14384,$165379,$176533,$89542,$69671,$69776,$10757
2011,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,65696.0,11912.0,52966.0,6596.0,57579.0,34430.0,,,,,,,70616.0,14874.0,,,53842.0,7232.0,66662.0,11142.0,$65696,$11912,$52966,$6596,$57579,$34430,,,,,,,$70616,$14874,,,$53842,$7232,$66662,$11142
2011,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,68149.0,6147.0,75583.0,22513.0,,,,,,,,,67646.0,11072.0,13378.0,78334.0,79711.0,94003.0,66791.0,13603.0,$68149,$6147,$75583,$22513,,,,,,,,,$67646,$11072,$13378,$78334,$79711,$94003,$66791,$13603
