YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037181000,Census Tract 1810,Pasadena,Los Angeles County,California,Pasadena,98809.0,9639.0,123485.0,44363.0,,,161742.0,427711.0,101461.0,17216.0,,,79347.0,21016.0,42985.0,22453.0,141479.0,18405.0,77490.0,15133.0,$98809,$9639,$123485,$44363,,,$161742,$427711,$101461,$17216,,,$79347,$21016,$42985,$22453,$141479,$18405,$77490,$15133
2010,6037183101,Census Tract 1831.01,Pasadena,Los Angeles County,California,Pasadena,98104.0,15289.0,92800.0,39827.0,,,,,125021.0,75430.0,,,98580.0,28586.0,,,111256.0,18208.0,82932.0,21298.0,$98104,$15289,$92800,$39827,,,,,$125021,$75430,,,$98580,$28586,,,$111256,$18208,$82932,$21298
2010,6037183104,Census Tract 1831.04,Pasadena,Los Angeles County,California,Pasadena,116509.0,16305.0,118897.0,38069.0,272316.0,154676.0,,,72612.0,72113.0,,,113833.0,9778.0,89786.0,165718.0,102268.0,97422.0,118270.0,21742.0,$116509,$16305,$118897,$38069,$272316,$154676,,,$72612,$72113,,,$113833,$9778,$89786,$165718,$102268,$97422,$118270,$21742
2010,6037300901,Census Tract 3009.01,Pasadena,Los Angeles County,California,Pasadena,145887.0,49816.0,169235.0,49711.0,,,,,172342.0,60793.0,53974.0,68934.0,84996.0,21381.0,,,174716.0,40676.0,85946.0,17653.0,$145887,$49816,$169235,$49711,,,,,$172342,$60793,$53974,$68934,$84996,$21381,,,$174716,$40676,$85946,$17653
2010,6037460000,Census Tract 4600,Pasadena,Los Angeles County,California,Pasadena,145623.0,22522.0,141767.0,23732.0,146791.0,105335.0,,,152054.0,91974.0,,,182886.0,217235.0,,,141197.0,24911.0,169931.0,109498.0,$145623,$22522,$141767,$23732,$146791,$105335,,,$152054,$91974,,,$182886,$217235,,,$141197,$24911,$169931,$109498
2010,6037460100,Census Tract 4601,Pasadena,Los Angeles County,California,Pasadena,147277.0,17418.0,156860.0,24594.0,132663.0,42165.0,,,184731.0,165004.0,,,82307.0,109900.0,82615.0,90136.0,155373.0,28423.0,154339.0,27402.0,$147277,$17418,$156860,$24594,$132663,$42165,,,$184731,$165004,,,$82307,$109900,$82615,$90136,$155373,$28423,$154339,$27402
2010,6037460401,Census Tract 4604.01,Pasadena,Los Angeles County,California,Pasadena,122987.0,23667.0,167520.0,137342.0,119112.0,31460.0,,,,,,,69599.0,54676.0,,,168726.0,224187.0,71046.0,51997.0,$122987,$23667,$167520,$137342,$119112,$31460,,,,,,,$69599,$54676,,,$168726,$224187,$71046,$51997
2010,6037460800,Census Tract 4608,Pasadena,Los Angeles County,California,Pasadena,267412.0,50246.0,294125.0,82542.0,251506.0,241741.0,,,248569.0,159389.0,,,272391.0,72853.0,,,293402.0,90457.0,273091.0,55288.0,$267412,$50246,$294125,$82542,$251506,$241741,,,$248569,$159389,,,$272391,$72853,,,$293402,$90457,$273091,$55288
2010,6037460900,Census Tract 4609,Pasadena,Los Angeles County,California,Pasadena,74020.0,14524.0,71455.0,27566.0,71187.0,23563.0,,,117834.0,49798.0,,,73461.0,35275.0,73928.0,7895.0,131000.0,7749.0,67990.0,10323.0,$74020,$14524,$71455,$27566,$71187,$23563,,,$117834,$49798,,,$73461,$35275,$73928,$7895,$131000,$7749,$67990,$10323
2010,6037461000,Census Tract 4610,Pasadena,Los Angeles County,California,Pasadena,79159.0,13519.0,83739.0,55643.0,78446.0,12357.0,,,35753.0,139582.0,,,82676.0,78557.0,17355.0,57878.0,53967.0,118471.0,64118.0,53082.0,$79159,$13519,$83739,$55643,$78446,$12357,,,$35753,$139582,,,$82676,$78557,$17355,$57878,$53967,$118471,$64118,$53082
2010,6037461300,Census Tract 4613,Pasadena,Los Angeles County,California,Pasadena,105665.0,24220.0,103445.0,22252.0,124235.0,131298.0,,,154229.0,41456.0,,,44247.0,202179.0,45917.0,2252.0,95484.0,23874.0,52590.0,138990.0,$105665,$24220,$103445,$22252,$124235,$131298,,,$154229,$41456,,,$44247,$202179,$45917,$2252,$95484,$23874,$52590,$138990
2010,6037461400,Census Tract 4614,Pasadena,Los Angeles County,California,Pasadena,77321.0,7367.0,78939.0,10990.0,34513.0,33730.0,,,163764.0,73480.0,,,31954.0,85657.0,46279.0,37487.0,81250.0,9263.0,57849.0,51014.0,$77321,$7367,$78939,$10990,$34513,$33730,,,$163764,$73480,,,$31954,$85657,$46279,$37487,$81250,$9263,$57849,$51014
2010,6037461501,Census Tract 4615.01,Pasadena,Los Angeles County,California,Pasadena,96434.0,14051.0,106021.0,31131.0,84362.0,55076.0,,,223923.0,207031.0,,,97180.0,14306.0,206908.0,219886.0,119789.0,38378.0,96007.0,15648.0,$96434,$14051,$106021,$31131,$84362,$55076,,,$223923,$207031,,,$97180,$14306,$206908,$219886,$119789,$38378,$96007,$15648
2010,6037461502,Census Tract 4615.02,Pasadena,Los Angeles County,California,Pasadena,68937.0,16500.0,67089.0,29111.0,38388.0,38809.0,,,,,,,77031.0,30039.0,117936.0,17057.0,24664.0,12225.0,80988.0,19946.0,$68937,$16500,$67089,$29111,$38388,$38809,,,,,,,$77031,$30039,$117936,$17057,$24664,$12225,$80988,$19946
2010,6037461600,Census Tract 4616,Pasadena,Los Angeles County,California,Pasadena,56614.0,12656.0,53885.0,18350.0,54816.0,18703.0,,,110161.0,60315.0,,,33941.0,47063.0,107111.0,32673.0,80565.0,13769.0,40597.0,12296.0,$56614,$12656,$53885,$18350,$54816,$18703,,,$110161,$60315,,,$33941,$47063,$107111,$32673,$80565,$13769,$40597,$12296
2010,6037461700,Census Tract 4617,Pasadena,Los Angeles County,California,Pasadena,161796.0,41068.0,172823.0,61496.0,162021.0,345324.0,,,156734.0,95692.0,,,,,,,180416.0,73002.0,137541.0,61814.0,$161796,$41068,$172823,$61496,$162021,$345324,,,$156734,$95692,,,,,,,$180416,$73002,$137541,$61814
