YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037433802,Census Tract 4338.02,Pico Rivera,Los Angeles County,California,PicoRivera,73175.318,17835.33424,74160.62299999999,14524.70944,,,,,45589.40548,3074.1516,,,96888.325,27733.0514,,,67657.61,53536.21874,78745.5756,10664.94132,$73175.318,$17835.33424,$74160.62299999999,$14524.70944,Not available,Not available,Not available,Not available,$45589.40548,$3074.1516,Not available,Not available,$96888.325,$27733514,Not available,Not available,$67657.61,$53536.21874,$78745.5756,$10664.94132,1
2013,6037500300,Census Tract 5003,Pico Rivera,Los Angeles County,California,PicoRivera,124384.9032,24045.38322,135621.32142,40373.85768,,,,,83568.31513999999,57603.55778,,,124373.07954,68353.8922,195090.39,216066.87658,135069.55062,49060.30656,124114.27276,33868.2172,$124384.9032,$24045.38322,$135621.32142,$40373.85768,Not available,Not available,Not available,Not available,$83568.31513999999,$57603.55778,Not available,Not available,$1243737954,$68353.8922,$195090.39,$216066.87658,$135069.55062,$49060.30656,$124114.27276,$33868.2172,1
2013,6037500402,Census Tract 5004.02,Pico Rivera,Los Angeles County,California,PicoRivera,55098.2556,8846.72516,51892.73,9578.47834,,,,,,,,,80997.32595999999,27011.80814,,,44749.92562,83677.35556,55324.21887999999,8562.95732,$55098.2556,$8846.72516,$51892.73,$9578.47834,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$80997.32595999999,$27011.80814,Not available,Not available,$44749.92562,$83677.35556,$55324.21887999999,$8562.95732,1
2013,6037500403,Census Tract 5004.03,Pico Rivera,Los Angeles County,California,PicoRivera,72291.17098,14636.37734,76062.91851999999,16910.46128,,,,,,,,,57602.24404,12293.97892,151736.97,326423.66406,,,67009.93617999999,15192.089359999998,$72291.17098,$14636.37734,$76062.91851999999,$16910.46128,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$57602.24404,$12293.97892,$151736.97,$326423.66406,Not available,Not available,$67009.93617999999,$1519289359999998,1
2013,6037500404,Census Tract 5004.04,Pico Rivera,Los Angeles County,California,PicoRivera,90070.0144,25120.02254,109660.50528,24323.8961,,,,,161925.0237,103252.08156,,,65074.79716,17869.491479999997,233393.79344,264932.74962,72003.46192,74477.23434,83853.39671999999,23546.16202,$90070144,$251202254,$109660.50528,$24323.8961,Not available,Not available,Not available,Not available,$161925237,$1032528156,Not available,Not available,$65074.79716,$17869.491479999997,$233393.79344,$264932.74962,$72003.46192,$74477.23434,$83853.39671999999,$23546.16202,1
2013,6037500500,Census Tract 5005,Pico Rivera,Los Angeles County,California,PicoRivera,64613.67442,13104.5565,56599.86042,25367.00566,,,,,62528.76904,41168.67038,,,70613.525,14834.752079999998,102143.285,148032.22319999998,37023.82068,11376.988399999998,68815.01494,14804.53606,$64613.67442,$13104.5565,$56599.86042,$253670566,Not available,Not available,Not available,Not available,$62528.76904,$41168.67038,Not available,Not available,$70613.525,$14834.752079999998,$102143.285,$148032.22319999998,$37023.82068,$11376.988399999998,$688151494,$14804.53606,1
2013,6037500600,Census Tract 5006,Pico Rivera,Los Angeles County,California,PicoRivera,62974.1269,20898.97592,58944.88632,20395.8135,,,,,,,,,61318.81449999999,21776.55424,,,119202.1989,100007.14376,61237.36261999999,14569.3766,$62974.1269,$20898.97592,$58944.88632,$20395.8135,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$61318.81449999999,$21776.55424,Not available,Not available,$119202.1989,$100007.14376,$61237.36261999999,$14569.3766,1
2013,6037500700,Census Tract 5007,Pico Rivera,Los Angeles County,California,PicoRivera,88803.56903999999,10802.88402,86227.32489999999,12872.02452,,,172633.31843999997,219092.4198,12014.1523,280952.49518,,,94109.7649,11097.16178,97572.78354,127520.80058,64482.30041999999,36914.78026,93148.10722,12004.95612,$88803.56903999999,$10802.88402,$86227.32489999999,$128722452,Not available,Not available,$172633.31843999997,$219092.4198,$12014.1523,$280952.49518,Not available,Not available,$94109.7649,$11097.16178,$97572.78354,$127520.80058,$64482.30041999999,$36914.78026,$93148.10722,$12004.95612,1
2013,6037500800,Census Tract 5008,Pico Rivera,Los Angeles County,California,PicoRivera,67715.41455999999,7953.38196,70348.14951999999,13836.309679999998,35559.00058,68413.01049999999,,,60525.31554,13129.517559999998,,,66523.85238,13779.81886,77814.13394,155424.63817999998,37605.8075,41512.87026,68947.70268,12889.10314,$67715.41455999999,$7953.38196,$70348.14951999999,$13836.309679999998,$355590058,$684131049999999,Not available,Not available,$60525.31554,$13129.517559999998,Not available,Not available,$66523.85238,$13779.81886,$77814.13394,$155424.63817999998,$37605.8075,$41512.87026,$68947.70268,$12889.10314,1
2013,6037500900,Census Tract 5009,Pico Rivera,Los Angeles County,California,PicoRivera,69837.10466,4862.151739999999,55543.61345999999,25352.55452,17790.66708,12012.838559999998,118940.76464,207203.0728,121230.61346,18875.81632,,,73821.67808,26379.8992,240226.55518,403762.22412,38022.26308,36122.59504,70123.49998,5060.52648,$69837.10466,$4862.151739999999,$55543.61345999999,$25352.55452,$17790.66708,$12012.838559999998,$118940.76464,$207203728,$121230.61346,$18875.81632,Not available,Not available,$73821.67808,$26379.8992,$240226.55518,$403762.22412,$38022.26308,$36122.59504,$70123.49998,$5060.52648,1
2013,6037501001,Census Tract 5010.01,Pico Rivera,Los Angeles County,California,PicoRivera,71270.39499999999,35974.14242,91390.3231,21593.94438,,,,,,,,,60405.7652,31272.26696,,,109843.11514,46332.98232,71818.22458,37094.76264,$71270.39499999999,$35974.14242,$91390.3231,$21593.94438,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$60405.7652,$31272.26696,Not available,Not available,$109843.11514,$46332.98232,$71818.22458,$37094.76264,1
2013,6037501200,Census Tract 5012,Pico Rivera,Los Angeles County,California,PicoRivera,81486.03723999999,17312.46572,82694.67804,14351.29576,127268.5625,143452.52555999998,,,236725.43808,159675.90081999998,,,73698.18651999999,37021.1932,69628.22,226161.65474,71161.35458,30368.41384,82343.90946,36243.45912,$814863723999999,$17312.46572,$82694.67804,$14351.29576,$127268.5625,$143452.52555999998,Not available,Not available,$236725.43808,$159675.90081999998,Not available,Not available,$73698.18651999999,$37021.1932,$69628.22,$226161.65474,$71161.35458,$30368.41384,$82343.90946,$36243.45912,1
