YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037901004,Census Tract 9010.04,Quartz Hill,Los Angeles County,California,QuartzHill,115944.0,8654.0,116384.0,10392.0,111124.0,67469.0,,,111916.0,33289.0,,,151863.0,139734.0,100102.0,103869.0,117828.0,10009.0,111354.0,40991.0,$115944,$8654,$116384,$10392,$111124,$67469,Not available,Not available,$111916,$33289,Not available,Not available,$151863,$139734,$100102,$103869,$117828,$10009,$111354,$40991
2010,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,66612.0,19513.0,83293.0,24064.0,36690.0,70201.0,,,71462.0,33048.0,,,57584.0,8812.0,30623.0,2644.0,93289.0,10057.0,59974.0,9575.0,$66612,$19513,$83293,$24064,$36690,$70201,Not available,Not available,$71462,$33048,Not available,Not available,$57584,$8812,$30623,$2644,$93289,$10057,$59974,$9575
2010,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,91519.0,19184.0,97601.0,10784.0,79997.0,34578.0,,,79028.0,18360.0,,,48441.0,14757.0,50290.0,50845.0,99454.0,11165.0,76457.0,27496.0,$91519,$19184,$97601,$10784,$79997,$34578,Not available,Not available,$79028,$18360,Not available,Not available,$48441,$14757,$50290,$50845,$99454,$11165,$76457,$27496
2010,6037910202,Census Tract 9102.02,Quartz Hill,Los Angeles County,California,QuartzHill,128583.0,24192.0,120649.0,27670.0,129905.0,64055.0,,,174381.0,122963.0,,,98101.0,32857.0,,,127323.0,33766.0,97371.0,46464.0,$128583,$24192,$120649,$27670,$129905,$64055,Not available,Not available,$174381,$122963,Not available,Not available,$98101,$32857,Not available,Not available,$127323,$33766,$97371,$46464
2010,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,115791.0,39043.0,111746.0,16280.0,152897.0,105260.0,,,209943.0,273429.0,,,149275.0,45523.0,,,114151.0,29037.0,68491.0,94395.0,$115791,$39043,$111746,$16280,$152897,$105260,Not available,Not available,$209943,$273429,Not available,Not available,$149275,$45523,Not available,Not available,$114151,$29037,$68491,$94395
2011,6037901004,Census Tract 9010.04,Quartz Hill,Los Angeles County,California,QuartzHill,111846.0,6650.0,111492.0,6873.0,135620.0,42528.0,,,100744.0,45761.0,,,151385.0,122422.0,99948.0,105491.0,112419.0,11889.0,110675.0,16043.0,$111846,$6650,$111492,$6873,$135620,$42528,Not available,Not available,$100744,$45761,Not available,Not available,$151385,$122422,$99948,$105491,$112419,$11889,$110675,$16043
2011,6037901101,Census Tract 9011.01,Quartz Hill,Los Angeles County,California,QuartzHill,59294.0,9242.0,63248.0,13174.0,35120.0,66346.0,53031.0,1091.0,69048.0,6174.0,,,56057.0,40275.0,29783.0,2403.0,79309.0,35385.0,57865.0,6749.0,$59294,$9242,$63248,$13174,$35120,$66346,$53031,$1091,$69048,$6174,Not available,Not available,$56057,$40275,$29783,$2403,$79309,$35385,$57865,$6749
2011,6037901102,Census Tract 9011.02,Quartz Hill,Los Angeles County,California,QuartzHill,80840.0,18295.0,89783.0,15434.0,77436.0,33628.0,,,75545.0,19843.0,,,58432.0,41728.0,49819.0,48165.0,89932.0,19267.0,78219.0,21991.0,$80840,$18295,$89783,$15434,$77436,$33628,Not available,Not available,$75545,$19843,Not available,Not available,$58432,$41728,$49819,$48165,$89932,$19267,$78219,$21991
2011,6037910202,Census Tract 9102.02,Quartz Hill,Los Angeles County,California,QuartzHill,129302.0,31232.0,132748.0,38059.0,146402.0,35428.0,,,174799.0,62375.0,,,93361.0,39607.0,288859.0,185363.0,140407.0,39928.0,92827.0,27156.0,$129302,$31232,$132748,$38059,$146402,$35428,Not available,Not available,$174799,$62375,Not available,Not available,$93361,$39607,$288859,$185363,$140407,$39928,$92827,$27156
2011,6037910301,Census Tract 9103.01,Quartz Hill,Los Angeles County,California,QuartzHill,114556.0,21504.0,111709.0,17670.0,151875.0,108521.0,,,109541.0,51851.0,,,130118.0,42813.0,86797.0,205174.0,112560.0,26280.0,87931.0,70655.0,$114556,$21504,$111709,$17670,$151875,$108521,Not available,Not available,$109541,$51851,Not available,Not available,$130118,$42813,$86797,$205174,$112560,$26280,$87931,$70655
