YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037670403,Census Tract 6704.03,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,161239.0,29324.0,160892.0,33690.0,3614.0,,,,172255.0,50130.0,,,,,,,160892.0,33690.0,,,$161239,$29324,$160892,$33690,$3614,,,,$172255,$50130,,,,,,,$160892,$33690,,
2010,6037670405,Census Tract 6704.05,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,158989.0,43609.0,131968.0,58595.0,226909.0,114753.0,,,165954.0,31931.0,,,,,245529.0,328785.0,135041.0,60795.0,121347.0,174686.0,$158989,$43609,$131968,$58595,$226909,$114753,,,$165954,$31931,,,,,$245529,$328785,$135041,$60795,$121347,$174686
2010,6037670406,Census Tract 6704.06,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,232786.0,48793.0,169543.0,86634.0,,,,,256366.0,107931.0,,,,,,,167864.0,61363.0,249334.0,129907.0,$232786,$48793,$169543,$86634,,,,,$256366,$107931,,,,,,,$167864,$61363,$249334,$129907
2010,6037670407,Census Tract 6704.07,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,130786.0,29037.0,137504.0,42319.0,95517.0,78748.0,,,138094.0,47649.0,,,,,96415.0,464484.0,128955.0,42998.0,140586.0,73569.0,$130786,$29037,$137504,$42319,$95517,$78748,,,$138094,$47649,,,,,$96415,$464484,$128955,$42998,$140586,$73569
2010,6037670411,Census Tract 6704.11,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,169730.0,22817.0,158352.0,21155.0,,,,,184052.0,48029.0,,,233637.0,49899.0,,,158137.0,20370.0,203676.0,72028.0,$169730,$22817,$158352,$21155,,,,,$184052,$48029,,,$233637,$49899,,,$158137,$20370,$203676,$72028
2010,6037670413,Census Tract 6704.13,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,163890.0,12857.0,148142.0,20619.0,23848.0,135002.0,,,256445.0,60949.0,,,71615.0,142466.0,220849.0,242823.0,144907.0,16824.0,214321.0,78032.0,$163890,$12857,$148142,$20619,$23848,$135002,,,$256445,$60949,,,$71615,$142466,$220849,$242823,$144907,$16824,$214321,$78032
2010,6037670416,Census Tract 6704.16,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,135402.0,19408.0,130521.0,17068.0,308587.0,327952.0,,,141760.0,64739.0,,,,,146911.0,143247.0,133233.0,16296.0,149072.0,127795.0,$135402,$19408,$130521,$17068,$308587,$327952,,,$141760,$64739,,,,,$146911,$143247,$133233,$16296,$149072,$127795
2010,6037670500,Census Tract 6705,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,317717.0,68178.0,281832.0,61422.0,,,,,,,,,,,,,281832.0,60199.0,352516.0,134442.0,$317717,$68178,$281832,$61422,,,,,,,,,,,,,$281832,$60199,$352516,$134442
2010,6037670602,Census Tract 6706.02,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,203279.0,32064.0,200275.0,33636.0,64243.0,214725.0,,,237722.0,115978.0,,,,,306348.0,192446.0,189666.0,32656.0,255468.0,48677.0,$203279,$32064,$200275,$33636,$64243,$214725,,,$237722,$115978,,,,,$306348,$192446,$189666,$32656,$255468,$48677
2010,6037670701,Census Tract 6707.01,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,139349.0,31613.0,142995.0,25974.0,117205.0,220816.0,,,218239.0,94570.0,,,27478.0,17201.0,206580.0,311195.0,150718.0,23910.0,83038.0,64124.0,$139349,$31613,$142995,$25974,$117205,$220816,,,$218239,$94570,,,$27478,$17201,$206580,$311195,$150718,$23910,$83038,$64124
2010,6037670702,Census Tract 6707.02,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,205809.0,25510.0,201187.0,24198.0,3614.0,,,,308434.0,160089.0,,,,,,,191096.0,40041.0,,,$205809,$25510,$201187,$24198,$3614,,,,$308434,$160089,,,,,,,$191096,$40041,,
2011,6037670403,Census Tract 6704.03,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,152532.0,28461.0,158021.0,41978.0,3502.0,,,,157866.0,70140.0,,,,,,,153933.0,42682.0,,,$152532,$28461,$158021,$41978,$3502,,,,$157866,$70140,,,,,,,$153933,$42682,,
2011,6037670405,Census Tract 6704.05,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,155123.0,44120.0,129932.0,31904.0,286032.0,25138.0,,,149496.0,97773.0,,,,,244628.0,266845.0,131247.0,34008.0,93169.0,204057.0,$155123,$44120,$129932,$31904,$286032,$25138,,,$149496,$97773,,,,,$244628,$266845,$131247,$34008,$93169,$204057
