YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,186917.0,47584.0,159206.0,47289.0,,,,,230147.0,12592.0,,,,,,,189081.0,33468.0,128743.0,22913.0,$186917,$47584,$159206,$47289,Not available,Not available,Not available,Not available,$230147,$12592,Not available,Not available,Not available,Not available,Not available,Not available,$189081,$33468,$128743,$22913
2010,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,113359.0,15301.0,119605.0,22822.0,65826.0,55071.0,,,116347.0,65258.0,,,44829.0,94262.0,223210.0,286278.0,119605.0,20318.0,102277.0,53420.0,$113359,$15301,$119605,$22822,$65826,$55071,Not available,Not available,$116347,$65258,Not available,Not available,$44829,$94262,$223210,$286278,$119605,$20318,$102277,$53420
2010,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,146295.0,14502.0,139855.0,13216.0,223737.0,134798.0,104054.0,305823.0,160007.0,51294.0,,,198134.0,50627.0,149115.0,163296.0,143128.0,14677.0,96831.0,96703.0,$146295,$14502,$139855,$13216,$223737,$134798,$104054,$305823,$160007,$51294,Not available,Not available,$198134,$50627,$149115,$163296,$143128,$14677,$96831,$96703
2010,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,112335.0,17959.0,106834.0,21949.0,102385.0,39685.0,,,126116.0,38924.0,80365.0,134699.0,104785.0,91037.0,155714.0,138809.0,114737.0,29893.0,102378.0,82172.0,$112335,$17959,$106834,$21949,$102385,$39685,Not available,Not available,$126116,$38924,$80365,$134699,$104785,$91037,$155714,$138809,$114737,$29893,$102378,$82172
2010,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,141372.0,27762.0,143294.0,30600.0,123826.0,70411.0,,,176203.0,112085.0,,,140598.0,116548.0,295223.0,312393.0,143959.0,28458.0,111401.0,63329.0,$141372,$27762,$143294,$30600,$123826,$70411,Not available,Not available,$176203,$112085,Not available,Not available,$140598,$116548,$295223,$312393,$143959,$28458,$111401,$63329
2010,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,137641.0,18320.0,134024.0,31157.0,130276.0,248931.0,,,157860.0,34467.0,,,,,207687.0,143241.0,150826.0,34449.0,102146.0,69855.0,$137641,$18320,$134024,$31157,$130276,$248931,Not available,Not available,$157860,$34467,Not available,Not available,Not available,Not available,$207687,$143241,$150826,$34449,$102146,$69855
2010,6037620702,Census Tract 6207.02,Redondo Beach,Los Angeles County,California,RedondoBeach,153056.0,20935.0,157511.0,40901.0,,,72784.0,102611.0,100855.0,48378.0,,,330574.0,386935.0,197986.0,28144.0,184088.0,24421.0,98481.0,90377.0,$153056,$20935,$157511,$40901,Not available,Not available,$72784,$102611,$100855,$48378,Not available,Not available,$330574,$386935,$197986,$28144,$184088,$24421,$98481,$90377
2010,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,138933.0,20393.0,138152.0,20973.0,,,60150.0,55324.0,157275.0,154969.0,,,89304.0,52737.0,147519.0,104783.0,142607.0,16311.0,89784.0,34300.0,$138933,$20393,$138152,$20973,Not available,Not available,$60150,$55324,$157275,$154969,Not available,Not available,$89304,$52737,$147519,$104783,$142607,$16311,$89784,$34300
2010,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,83781.0,7455.0,83483.0,9743.0,20957.0,318386.0,,,113747.0,52643.0,,,6900.0,330448.0,62289.0,24536.0,83305.0,9801.0,62235.0,60581.0,$83781,$7455,$83483,$9743,$20957,$318386,Not available,Not available,$113747,$52643,Not available,Not available,$6900,$330448,$62289,$24536,$83305,$9801,$62235,$60581
2010,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,115725.0,14457.0,127217.0,22580.0,114061.0,37304.0,,,151763.0,123427.0,,,30406.0,104279.0,95053.0,75382.0,123772.0,18513.0,106419.0,70827.0,$115725,$14457,$127217,$22580,$114061,$37304,Not available,Not available,$151763,$123427,Not available,Not available,$30406,$104279,$95053,$75382,$123772,$18513,$106419,$70827
2010,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,121945.0,27526.0,129552.0,27957.0,,,,,141639.0,175040.0,,,113273.0,62504.0,48587.0,46089.0,127931.0,28905.0,113273.0,30581.0,$121945,$27526,$129552,$27957,Not available,Not available,Not available,Not available,$141639,$175040,Not available,Not available,$113273,$62504,$48587,$46089,$127931,$28905,$113273,$30581
2010,6037621326,Census Tract 6213.26,Redondo Beach,Los Angeles County,California,RedondoBeach,109375.0,19921.0,116012.0,22971.0,90859.0,64065.0,,,116259.0,87473.0,,,,,93517.0,339042.0,117405.0,22858.0,53940.0,51854.0,$109375,$19921,$116012,$22971,$90859,$64065,Not available,Not available,$116259,$87473,Not available,Not available,Not available,Not available,$93517,$339042,$117405,$22858,$53940,$51854
2010,6037621400,Census Tract 6214,Redondo Beach,Los Angeles County,California,RedondoBeach,132201.0,25119.0,128669.0,25446.0,107750.0,82348.0,,,168822.0,40836.0,,,,,207229.0,526234.0,130152.0,24783.0,62721.0,125558.0,$132201,$25119,$128669,$25446,$107750,$82348,Not available,Not available,$168822,$40836,Not available,Not available,Not available,Not available,$207229,$526234,$130152,$24783,$62721,$125558
2010,6037650502,Census Tract 6505.02,Redondo Beach,Los Angeles County,California,RedondoBeach,147352.0,19009.0,143755.0,19194.0,75516.0,75025.0,133996.0,9315.0,184650.0,72016.0,,,182934.0,245165.0,58669.0,14937.0,142836.0,17206.0,119825.0,86714.0,$147352,$19009,$143755,$19194,$75516,$75025,$133996,$9315,$184650,$72016,Not available,Not available,$182934,$245165,$58669,$14937,$142836,$17206,$119825,$86714
2011,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,159751.0,37462.0,151848.0,37265.0,,,,,228316.0,37137.0,,,,,,,187383.0,63719.0,126492.0,34086.0,$159751,$37462,$151848,$37265,Not available,Not available,Not available,Not available,$228316,$37137,Not available,Not available,Not available,Not available,Not available,Not available,$187383,$63719,$126492,$34086
2011,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,117159.0,14175.0,134657.0,24494.0,61733.0,25328.0,,,114419.0,64095.0,,,44188.0,136140.0,221711.0,121945.0,127642.0,24584.0,143063.0,71926.0,$117159,$14175,$134657,$24494,$61733,$25328,Not available,Not available,$114419,$64095,Not available,Not available,$44188,$136140,$221711,$121945,$127642,$24584,$143063,$71926
2011,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,150208.0,19683.0,143360.0,20649.0,230729.0,67601.0,104340.0,252780.0,144662.0,52399.0,,,195336.0,64062.0,57076.0,143628.0,146163.0,18788.0,190754.0,138320.0,$150208,$19683,$143360,$20649,$230729,$67601,$104340,$252780,$144662,$52399,Not available,Not available,$195336,$64062,$57076,$143628,$146163,$18788,$190754,$138320
2011,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,115042.0,13796.0,114923.0,10903.0,130040.0,55105.0,,,111110.0,44884.0,77639.0,122902.0,103248.0,101753.0,231799.0,176130.0,125856.0,43360.0,112644.0,13615.0,$115042,$13796,$114923,$10903,$130040,$55105,Not available,Not available,$111110,$44884,$77639,$122902,$103248,$101753,$231799,$176130,$125856,$43360,$112644,$13615
2011,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,149812.0,20917.0,147458.0,20645.0,78019.0,102084.0,,,215101.0,79978.0,,,248904.0,218410.0,298094.0,327386.0,156375.0,16755.0,90751.0,24925.0,$149812,$20917,$147458,$20645,$78019,$102084,Not available,Not available,$215101,$79978,Not available,Not available,$248904,$218410,$298094,$327386,$156375,$16755,$90751,$24925
2011,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,150413.0,18830.0,148392.0,27440.0,129830.0,268469.0,,,174728.0,105275.0,,,152026.0,89185.0,207950.0,149052.0,172770.0,16936.0,76964.0,73672.0,$150413,$18830,$148392,$27440,$129830,$268469,Not available,Not available,$174728,$105275,Not available,Not available,$152026,$89185,$207950,$149052,$172770,$16936,$76964,$73672
2011,6037620702,Census Tract 6207.02,Redondo Beach,Los Angeles County,California,RedondoBeach,144818.0,13032.0,150558.0,25514.0,,,70584.0,113654.0,76586.0,34851.0,,,330290.0,451570.0,198271.0,39741.0,159537.0,43040.0,120267.0,110942.0,$144818,$13032,$150558,$25514,Not available,Not available,$70584,$113654,$76586,$34851,Not available,Not available,$330290,$451570,$198271,$39741,$159537,$43040,$120267,$110942
2011,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,139079.0,12152.0,144249.0,21316.0,269439.0,300455.0,30503.0,64039.0,212537.0,188490.0,,,85901.0,56360.0,33896.0,151213.0,144662.0,21568.0,89350.0,63358.0,$139079,$12152,$144249,$21316,$269439,$300455,$30503,$64039,$212537,$188490,Not available,Not available,$85901,$56360,$33896,$151213,$144662,$21568,$89350,$63358
2011,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,84369.0,9066.0,87442.0,14816.0,,,,,83262.0,35534.0,,,,,61268.0,15478.0,94455.0,20277.0,54574.0,57438.0,$84369,$9066,$87442,$14816,Not available,Not available,Not available,Not available,$83262,$35534,Not available,Not available,Not available,Not available,$61268,$15478,$94455,$20277,$54574,$57438
2011,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,111191.0,12501.0,117431.0,21768.0,114961.0,85943.0,,,101972.0,67553.0,,,29063.0,57059.0,97008.0,58740.0,114027.0,18901.0,79989.0,103230.0,$111191,$12501,$117431,$21768,$114961,$85943,Not available,Not available,$101972,$67553,Not available,Not available,$29063,$57059,$97008,$58740,$114027,$18901,$79989,$103230
2011,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,115209.0,29843.0,126862.0,31619.0,167406.0,31692.0,,,49695.0,157763.0,,,112882.0,90760.0,3402.0,,137599.0,29007.0,107361.0,21076.0,$115209,$29843,$126862,$31619,$167406,$31692,Not available,Not available,$49695,$157763,Not available,Not available,$112882,$90760,$3402,Not available,$137599,$29007,$107361,$21076
2011,6037621326,Census Tract 6213.26,Redondo Beach,Los Angeles County,California,RedondoBeach,94858.0,16297.0,102147.0,26721.0,90852.0,127423.0,,,93604.0,88985.0,,,,,93954.0,250627.0,103816.0,25882.0,51606.0,11415.0,$94858,$16297,$102147,$26721,$90852,$127423,Not available,Not available,$93604,$88985,Not available,Not available,Not available,Not available,$93954,$250627,$103816,$25882,$51606,$11415
2011,6037621400,Census Tract 6214,Redondo Beach,Los Angeles County,California,RedondoBeach,140811.0,25666.0,140449.0,27606.0,,,,,164172.0,103316.0,,,,,,,140663.0,25722.0,115973.0,126246.0,$140811,$25666,$140449,$27606,Not available,Not available,Not available,Not available,$164172,$103316,Not available,Not available,Not available,Not available,Not available,Not available,$140663,$25722,$115973,$126246
2011,6037650502,Census Tract 6505.02,Redondo Beach,Los Angeles County,California,RedondoBeach,136348.0,17299.0,132748.0,22966.0,76869.0,144510.0,128920.0,9032.0,151970.0,26556.0,,,101377.0,86899.0,60578.0,42243.0,125770.0,31903.0,112325.0,70663.0,$136348,$17299,$132748,$22966,$76869,$144510,$128920,$9032,$151970,$26556,Not available,Not available,$101377,$86899,$60578,$42243,$125770,$31903,$112325,$70663
2012,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,170690.0,28577.0,167621.0,41575.0,271227.0,229520.0,,,226902.0,29356.0,,,180923.0,142258.0,,,171366.0,26730.0,127903.0,23456.0,$170690,$28577,$167621,$41575,$271227,$229520,Not available,Not available,$226902,$29356,Not available,Not available,$180923,$142258,Not available,Not available,$171366,$26730,$127903,$23456
2012,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,103708.0,20607.0,113692.0,24983.0,53315.0,26196.0,,,73734.0,69323.0,,,46032.0,54232.0,164798.0,113757.0,114063.0,26060.0,75810.0,77376.0,$103708,$20607,$113692,$24983,$53315,$26196,Not available,Not available,$73734,$69323,Not available,Not available,$46032,$54232,$164798,$113757,$114063,$26060,$75810,$77376
