YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),271985.0,27822.0,260637.0,30723.0,,,,,328436.0,,,,,,,,260637.0,33935.0,264390.0,136336.0
2011,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),304640.0,61650.0,274492.0,58347.0,340381.0,,,,336821.0,46157.0,,,340381.0,,,,274978.0,60740.0,340381.0,
2022,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),260314.0,,260314.0,,,,,,260314.0,,,,,,260314.0,,260314.0,,215130.0,172101.0
2012,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),285271.0,40453.0,270970.0,35687.0,333409.0,,,,333409.0,,,,333409.0,,,,271424.0,32866.0,333409.0,
2019,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),298896.0,,298896.0,,,,,,251570.0,195853.0,,,,,298896.0,,298896.0,,298896.0,
2010,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),308648.0,66232.0,273788.0,59669.0,351236.0,,,,351236.0,,,,351236.0,,,,273788.0,58481.0,342454.0,130605.0
2023,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),250001.0,,245313.0,47021.0,,,,,250001.0,,,,,,250001.0,,248333.0,43130.0,215938.0,158430.0
2021,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),281376.0,,263789.0,47976.0,,,,,281376.0,,,,,,281376.0,,279124.0,58967.0,281376.0,
2018,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),291389.0,32340.0,289411.0,37570.0,,,,,280738.0,104961.0,,,,,,,290324.0,35887.0,304324.0,
2020,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),294970.0,71154.0,258591.0,85469.0,,,,,216803.0,211739.0,,,,,294971.0,,260556.0,85353.0,294971.0,
2015,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),279226.0,19231.0,280839.0,23448.0,,,,,272508.0,69125.0,,,,,,,280750.0,23750.0,322496.0,
2016,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),281150.0,16749.0,281591.0,26343.0,,,,,252053.0,102587.0,,,,,,,281946.0,31822.0,318384.0,
2014,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),282455.0,15930.0,270961.0,25656.0,,,,,323054.0,,,,,,,,270556.0,27934.0,323054.0,
2017,6037670500,Census Tract 6705,Rolling Hills (Los Angeles County),Los Angeles County,California,RollingHills(LosAngelesCounty),258048.0,27087.0,262394.0,26323.0,,,,,,,,,,,,,263823.0,34638.0,263433.0,258734.0
