YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037670201,Census Tract 6702.01,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,170744.0,19232.0,210784.0,45680.0,167979.0,76394.0,,,135070.0,71607.0,,,,,41759.0,174555.0,211372.0,42886.0,115400.0,78776.0
2013,6037670202,Census Tract 6702.02,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,204000.0,43042.0,190164.0,43487.0,328436.0,,,,253791.0,192933.0,,,,,,,188850.0,49747.0,196404.0,301543.0
2013,6037670403,Census Tract 6704.03,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,155288.0,29779.0,165531.0,44027.0,,,,,155802.0,40647.0,,,,,145825.0,78014.0,164546.0,44228.0,200619.0,193344.0
2013,6037670405,Census Tract 6704.05,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,137066.0,30543.0,126174.0,29734.0,,,,,147796.0,57095.0,,,,,,,124988.0,30598.0,,
2013,6037670406,Census Tract 6704.06,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,165586.0,68078.0,155597.0,11419.0,,,,,223805.0,38150.0,,,,,37113.0,100297.0,155597.0,11419.0,,
2013,6037670411,Census Tract 6704.11,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,152065.0,10514.0,159220.0,48954.0,,,,,151368.0,12668.0,,,,,,,153379.0,37434.0,198180.0,135108.0
2013,6037670500,Census Tract 6705,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,271985.0,27822.0,260637.0,30723.0,,,,,328436.0,,,,,,,,260637.0,33935.0,264390.0,136336.0
2013,6037670702,Census Tract 6707.02,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,204901.0,49027.0,202848.0,51409.0,,,,,328436.0,,,,,,,,198489.0,79283.0,214347.0,41801.0
2011,6037670201,Census Tract 6702.01,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,152603.0,48708.0,184798.0,50575.0,,,199838.0,107139.0,98427.0,88597.0,,,89581.0,6791.0,39570.0,181077.0,179473.0,52169.0,91026.0,151127.0
2011,6037670202,Census Tract 6702.02,Rolling Hills Estates,Los Angeles County,California,RollingHillsEstates,208058.0,34312.0,208412.0,33796.0,152120.0,144459.0,,,237841.0,225355.0,,,,,340381.0,,209334.0,37069.0,167127.0,78926.0
