YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,129691.0,17637.0,139267.0,20263.0,175272.0,68354.0,,,82404.0,44653.0,,,126309.0,7867.0,,,140103.0,38524.0,125759.0,11756.0,$129691,$17637,$139267,$20263,$175272,$68354,,,$82404,$44653,,,$126309,$7867,,,$140103,$38524,$125759,$11756
2011,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,128619.0,18380.0,137604.0,36421.0,173511.0,60379.0,,,85996.0,54624.0,,,124159.0,38802.0,200496.0,198534.0,139335.0,27644.0,118333.0,44849.0,$128619,$18380,$137604,$36421,$173511,$60379,,,$85996,$54624,,,$124159,$38802,$200496,$198534,$139335,$27644,$118333,$44849
2012,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,126871.0,19792.0,120121.0,40063.0,173317.0,49966.0,,,89049.0,72004.0,,,126504.0,57941.0,200773.0,234097.0,120979.0,51862.0,125338.0,31683.0,$126871,$19792,$120121,$40063,$173317,$49966,,,$89049,$72004,,,$126504,$57941,$200773,$234097,$120979,$51862,$125338,$31683
2013,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,128040.0,24752.0,139606.0,41560.0,,,,,86024.0,59296.0,,,128027.0,70362.0,200822.0,222415.0,139038.0,50502.0,127761.0,34863.0,$128040,$24752,$139606,$41560,,,,,$86024,$59296,,,$128027,$70362,$200822,$222415,$139038,$50502,$127761,$34863
2014,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,126304.0,20788.0,115656.0,41642.0,,,,,123964.0,61757.0,,,170034.0,88047.0,,,113836.0,50625.0,142578.0,40300.0,$126304,$20788,$115656,$41642,,,,,$123964,$61757,,,$170034,$88047,,,$113836,$50625,$142578,$40300
2015,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,140349.0,16872.0,135405.0,34767.0,,,,,128638.0,36383.0,,,171913.0,51408.0,,,133894.0,70313.0,147253.0,39552.0,$140349,$16872,$135405,$34767,,,,,$128638,$36383,,,$171913,$51408,,,$133894,$70313,$147253,$39552
2016,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,163212.0,43146.0,200044.0,52655.0,,,,,,,,,144476.0,141304.0,,,200843.0,125085.0,171689.0,46325.0,$163212,$43146,$200044,$52655,,,,,,,,,$144476,$141304,,,$200843,$125085,$171689,$46325
2017,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,132963.0,39778.0,133000.0,73572.0,,,,,133821.0,99109.0,,,110715.0,73047.0,,,65901.0,51047.0,167021.0,65288.0,$132963,$39778,$133000,$73572,,,,,$133821,$99109,,,$110715,$73047,,,$65901,$51047,$167021,$65288
2018,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,124465.0,23045.0,113818.0,34785.0,,,,,155065.0,92614.0,,,,,,,64132.0,44469.0,132242.0,43957.0,$124465,$23045,$113818,$34785,,,,,$155065,$92614,,,,,,,$64132,$44469,$132242,$43957
2019,6037500300,Census Tract 5003,Rose Hills,Los Angeles County,California,RoseHills,126609.0,28436.0,124143.0,39514.0,,,,,199221.0,86892.0,,,55602.0,53675.0,,,64686.0,63721.0,125076.0,39949.0,$126609,$28436,$124143,$39514,,,,,$199221,$86892,,,$55602,$53675,,,$64686,$63721,$125076,$39949
