YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037432201,Census Tract 4322.01,Rosemead,Los Angeles County,California,Rosemead,64765.0,14151.0,62125.0,37922.0,,,,,54802.0,7283.0,,,99731.0,40816.0,106468.0,149952.0,59161.0,31340.0,99249.0,34351.0,$64765,$14151,$62125,$37922,Not available,Not available,Not available,Not available,$54802,$7283,Not available,Not available,$99731,$40816,$106468,$149952,$59161,$31340,$99249,$34351
2010,6037432202,Census Tract 4322.02,Rosemead,Los Angeles County,California,Rosemead,70217.0,19949.0,70071.0,29540.0,,,,,80608.0,19246.0,,,62184.0,19907.0,146202.0,76035.0,72784.0,28017.0,66930.0,31599.0,$70217,$19949,$70071,$29540,Not available,Not available,Not available,Not available,$80608,$19246,Not available,Not available,$62184,$19907,$146202,$76035,$72784,$28017,$66930,$31599
2010,6037432901,Census Tract 4329.01,Rosemead,Los Angeles County,California,Rosemead,85833.0,14277.0,78561.0,15373.0,,,,,88404.0,13563.0,,,64452.0,74812.0,117078.0,10267.0,78325.0,126797.0,78938.0,26336.0,$85833,$14277,$78561,$15373,Not available,Not available,Not available,Not available,$88404,$13563,Not available,Not available,$64452,$74812,$117078,$10267,$78325,$126797,$78938,$26336
2010,6037432902,Census Tract 4329.02,Rosemead,Los Angeles County,California,Rosemead,91744.0,13119.0,127323.0,54273.0,,,,,93540.0,14537.0,,,61466.0,58902.0,,,128025.0,54808.0,68621.0,46737.0,$91744,$13119,$127323,$54273,Not available,Not available,Not available,Not available,$93540,$14537,Not available,Not available,$61466,$58902,Not available,Not available,$128025,$54808,$68621,$46737
2010,6037433501,Census Tract 4335.01,Rosemead,Los Angeles County,California,Rosemead,49710.0,19179.0,41338.0,33060.0,,,,,145254.0,110115.0,,,51612.0,21987.0,,,66735.0,89750.0,48132.0,17669.0,$49710,$19179,$41338,$33060,Not available,Not available,Not available,Not available,$145254,$110115,Not available,Not available,$51612,$21987,Not available,Not available,$66735,$89750,$48132,$17669
2010,6037433601,Census Tract 4336.01,Rosemead,Los Angeles County,California,Rosemead,72477.0,22732.0,66862.0,8251.0,,,,,86492.0,31145.0,,,114389.0,64365.0,,,67496.0,14592.0,69608.0,68581.0,$72477,$22732,$66862,$8251,Not available,Not available,Not available,Not available,$86492,$31145,Not available,Not available,$114389,$64365,Not available,Not available,$67496,$14592,$69608,$68581
2010,6037433602,Census Tract 4336.02,Rosemead,Los Angeles County,California,Rosemead,55759.0,5836.0,54381.0,7094.0,,,78736.0,40048.0,57261.0,6175.0,,,41897.0,44226.0,,,51702.0,3070.0,74300.0,48513.0,$55759,$5836,$54381,$7094,Not available,Not available,$78736,$40048,$57261,$6175,Not available,Not available,$41897,$44226,Not available,Not available,$51702,$3070,$74300,$48513
2010,6037481300,Census Tract 4813,Rosemead,Los Angeles County,California,Rosemead,76503.0,18329.0,64560.0,17239.0,,,,,94153.0,29450.0,,,51046.0,43566.0,,,57327.0,31339.0,64540.0,23714.0,$76503,$18329,$64560,$17239,Not available,Not available,Not available,Not available,$94153,$29450,Not available,Not available,$51046,$43566,Not available,Not available,$57327,$31339,$64540,$23714
2010,6037482301,Census Tract 4823.01,Rosemead,Los Angeles County,California,Rosemead,59201.0,6738.0,61115.0,19693.0,,,,,57802.0,11608.0,,,83067.0,95369.0,84492.0,153802.0,86575.0,36382.0,38498.0,55544.0,$59201,$6738,$61115,$19693,Not available,Not available,Not available,Not available,$57802,$11608,Not available,Not available,$83067,$95369,$84492,$153802,$86575,$36382,$38498,$55544
2010,6037482303,Census Tract 4823.03,Rosemead,Los Angeles County,California,Rosemead,63222.0,8531.0,78247.0,45285.0,,,5748.0,46341.0,64727.0,8463.0,,,62377.0,20875.0,,,130092.0,167743.0,62766.0,19735.0,$63222,$8531,$78247,$45285,Not available,Not available,$5748,$46341,$64727,$8463,Not available,Not available,$62377,$20875,Not available,Not available,$130092,$167743,$62766,$19735
