YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,99909.0,24882.0,99186.0,28353.0,156017.0,74807.0,,,83610.0,33228.0,,,124511.0,155129.0,,,97981.0,51610.0,102385.0,34397.0,$99909,$24882,$99186,$28353,$156017,$74807,,,$83610,$33228,,,$124511,$155129,,,$97981,$51610,$102385,$34397
2010,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,141335.0,26168.0,113287.0,37038.0,203676.0,137311.0,,,154811.0,26553.0,,,99428.0,100507.0,,,108960.0,36059.0,131968.0,93964.0,$141335,$26168,$113287,$37038,$203676,$137311,,,$154811,$26553,,,$99428,$100507,,,$108960,$36059,$131968,$93964
2010,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,75954.0,5843.0,56041.0,43787.0,,,,,78227.0,12812.0,,,79831.0,25176.0,45056.0,87878.0,41353.0,61012.0,74936.0,10971.0,$75954,$5843,$56041,$43787,,,,,$78227,$12812,,,$79831,$25176,$45056,$87878,$41353,$61012,$74936,$10971
2010,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,86106.0,27037.0,120576.0,14435.0,,,,,64714.0,17466.0,,,121955.0,52489.0,,,123624.0,32275.0,119510.0,40331.0,$86106,$27037,$120576,$14435,,,,,$64714,$17466,,,$121955,$52489,,,$123624,$32275,$119510,$40331
2010,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,106458.0,13250.0,125215.0,31707.0,72311.0,85168.0,,,101778.0,14040.0,,,111648.0,84268.0,,,104851.0,71101.0,126113.0,35424.0,$106458,$13250,$125215,$31707,$72311,$85168,,,$101778,$14040,,,$111648,$84268,,,$104851,$71101,$126113,$35424
2010,6037408627,Census Tract 4086.27,Rowland Heights,Los Angeles County,California,RowlandHeights,148238.0,17813.0,157210.0,24045.0,,,,,141368.0,28369.0,,,222356.0,1461.0,175129.0,52942.0,156673.0,39745.0,221922.0,51023.0,$148238,$17813,$157210,$24045,,,,,$141368,$28369,,,$222356,$1461,$175129,$52942,$156673,$39745,$221922,$51023
2010,6037408703,Census Tract 4087.03,Rowland Heights,Los Angeles County,California,RowlandHeights,159277.0,17865.0,191902.0,67000.0,,,,,149280.0,22046.0,,,323982.0,28518.0,,,215929.0,62021.0,242937.0,167912.0,$159277,$17865,$191902,$67000,,,,,$149280,$22046,,,$323982,$28518,,,$215929,$62021,$242937,$167912
2010,6037408704,Census Tract 4087.04,Rowland Heights,Los Angeles County,California,RowlandHeights,80220.0,22885.0,106853.0,43314.0,99011.0,60400.0,,,36325.0,22312.0,,,112319.0,8641.0,,,64893.0,113368.0,111291.0,8003.0,$80220,$22885,$106853,$43314,$99011,$60400,,,$36325,$22312,,,$112319,$8641,,,$64893,$113368,$111291,$8003
2010,6037408705,Census Tract 4087.05,Rowland Heights,Los Angeles County,California,RowlandHeights,105707.0,31058.0,110791.0,36088.0,,,74979.0,124436.0,88957.0,24030.0,,,126385.0,76890.0,,,113890.0,34245.0,123643.0,18676.0,$105707,$31058,$110791,$36088,,,$74979,$124436,$88957,$24030,,,$126385,$76890,,,$113890,$34245,$123643,$18676
2010,6037408706,Census Tract 4087.06,Rowland Heights,Los Angeles County,California,RowlandHeights,105367.0,15216.0,141207.0,25446.0,,,,,98825.0,7769.0,,,308768.0,157256.0,,,148841.0,86456.0,143818.0,257468.0,$105367,$15216,$141207,$25446,,,,,$98825,$7769,,,$308768,$157256,,,$148841,$86456,$143818,$257468
2010,6037408722,Census Tract 4087.22,Rowland Heights,Los Angeles County,California,RowlandHeights,117288.0,22356.0,134860.0,57233.0,135116.0,40905.0,3614.0,,141135.0,43147.0,,,103646.0,47521.0,,,136125.0,42551.0,107563.0,27493.0,$117288,$22356,$134860,$57233,$135116,$40905,$3614,,$141135,$43147,,,$103646,$47521,,,$136125,$42551,$107563,$27493
2010,6037408723,Census Tract 4087.23,Rowland Heights,Los Angeles County,California,RowlandHeights,77283.0,22810.0,74284.0,36949.0,,,,,60926.0,29539.0,,,103758.0,20794.0,,,72845.0,51240.0,109093.0,14834.0,$77283,$22810,$74284,$36949,,,,,$60926,$29539,,,$103758,$20794,,,$72845,$51240,$109093,$14834
2010,6037408724,Census Tract 4087.24,Rowland Heights,Los Angeles County,California,RowlandHeights,48995.0,6693.0,18594.0,19387.0,,,,,45611.0,11739.0,,,58100.0,20859.0,,,20918.0,69218.0,52919.0,12216.0,$48995,$6693,$18594,$19387,,,,,$45611,$11739,,,$58100,$20859,,,$20918,$69218,$52919,$12216
2010,6037500100,Census Tract 5001,Rowland Heights,Los Angeles County,California,RowlandHeights,165481.0,51658.0,174300.0,41320.0,,,,,133219.0,86295.0,,,126444.0,108465.0,90750.0,48495.0,173999.0,49644.0,125037.0,41674.0,$165481,$51658,$174300,$41320,,,,,$133219,$86295,,,$126444,$108465,$90750,$48495,$173999,$49644,$125037,$41674
2011,6037403303,Census Tract 4033.03,Rowland Heights,Los Angeles County,California,RowlandHeights,96419.0,18089.0,96880.0,26377.0,97972.0,47505.0,,,87055.0,56037.0,,,86639.0,121606.0,,,95654.0,41251.0,96489.0,28119.0,$96419,$18089,$96880,$26377,$97972,$47505,,,$87055,$56037,,,$86639,$121606,,,$95654,$41251,$96489,$28119
2011,6037403304,Census Tract 4033.04,Rowland Heights,Los Angeles County,California,RowlandHeights,137126.0,19590.0,103362.0,53837.0,203624.0,145509.0,,,147294.0,26120.0,,,101435.0,103948.0,,,101092.0,44568.0,130420.0,79909.0,$137126,$19590,$103362,$53837,$203624,$145509,,,$147294,$26120,,,$101435,$103948,,,$101092,$44568,$130420,$79909
2011,6037408211,Census Tract 4082.11,Rowland Heights,Los Angeles County,California,RowlandHeights,67392.0,11031.0,54096.0,17841.0,,,,,67608.0,17867.0,,,71154.0,15907.0,41461.0,5634.0,38780.0,24277.0,72066.0,10047.0,$67392,$11031,$54096,$17841,,,,,$67608,$17867,,,$71154,$15907,$41461,$5634,$38780,$24277,$72066,$10047
2011,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,80087.0,9362.0,105464.0,34393.0,,,,,65563.0,17677.0,,,79274.0,69534.0,,,120881.0,43813.0,82339.0,48128.0,$80087,$9362,$105464,$34393,,,,,$65563,$17677,,,$79274,$69534,,,$120881,$43813,$82339,$48128
2011,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,103888.0,8940.0,138400.0,34672.0,45498.0,119709.0,,,99463.0,9966.0,,,107917.0,62647.0,,,124703.0,59876.0,125714.0,30640.0,$103888,$8940,$138400,$34672,$45498,$119709,,,$99463,$9966,,,$107917,$62647,,,$124703,$59876,$125714,$30640
