YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037400207,Census Tract 4002.07,San Dimas,Los Angeles County,California,SanDimas,143647.0,13560.0,143723.0,19378.0,162095.0,15967.0,,,143031.0,44204.0,,,142090.0,57729.0,253592.0,302662.0,151871.0,16667.0,119225.0,44670.0,$143647,$13560,$143723,$19378,$162095,$15967,Not available,Not available,$143031,$44204,Not available,Not available,$142090,$57729,$253592,$302662,$151871,$16667,$119225,$44670
2010,6037400302,Census Tract 4003.02,San Dimas,Los Angeles County,California,SanDimas,102875.0,32294.0,102506.0,31211.0,165505.0,201917.0,,,61983.0,25977.0,,,256810.0,282873.0,175813.0,50849.0,103429.0,42810.0,95712.0,52300.0,$102875,$32294,$102506,$31211,$165505,$201917,Not available,Not available,$61983,$25977,Not available,Not available,$256810,$282873,$175813,$50849,$103429,$42810,$95712,$52300
2010,6037400304,Census Tract 4003.04,San Dimas,Los Angeles County,California,SanDimas,98559.0,15037.0,102412.0,13433.0,101810.0,42780.0,,,61885.0,43720.0,,,79687.0,38185.0,,,106052.0,12260.0,76589.0,24151.0,$98559,$15037,$102412,$13433,$101810,$42780,Not available,Not available,$61885,$43720,Not available,Not available,$79687,$38185,Not available,Not available,$106052,$12260,$76589,$24151
2010,6037400403,Census Tract 4004.03,San Dimas,Los Angeles County,California,SanDimas,135088.0,9594.0,137509.0,14454.0,134427.0,11587.0,,,177374.0,58585.0,,,97871.0,10745.0,,,132624.0,17468.0,104785.0,83108.0,$135088,$9594,$137509,$14454,$134427,$11587,Not available,Not available,$177374,$58585,Not available,Not available,$97871,$10745,Not available,Not available,$132624,$17468,$104785,$83108
2010,6037401202,Census Tract 4012.02,San Dimas,Los Angeles County,California,SanDimas,117384.0,6599.0,117225.0,5424.0,235895.0,122027.0,,,135225.0,38287.0,,,82061.0,63266.0,81838.0,122723.0,116586.0,5579.0,124688.0,50340.0,$117384,$6599,$117225,$5424,$235895,$122027,Not available,Not available,$135225,$38287,Not available,Not available,$82061,$63266,$81838,$122723,$116586,$5579,$124688,$50340
2010,6037401303,Census Tract 4013.03,San Dimas,Los Angeles County,California,SanDimas,130501.0,22997.0,129188.0,20041.0,,,,,212168.0,124761.0,,,187242.0,162338.0,,,127213.0,21338.0,188747.0,90575.0,$130501,$22997,$129188,$20041,Not available,Not available,Not available,Not available,$212168,$124761,Not available,Not available,$187242,$162338,Not available,Not available,$127213,$21338,$188747,$90575
2010,6037401304,Census Tract 4013.04,San Dimas,Los Angeles County,California,SanDimas,111063.0,38907.0,96909.0,22471.0,163781.0,23055.0,,,160690.0,104918.0,,,168969.0,125589.0,,,93798.0,17149.0,169972.0,50567.0,$111063,$38907,$96909,$22471,$163781,$23055,Not available,Not available,$160690,$104918,Not available,Not available,$168969,$125589,Not available,Not available,$93798,$17149,$169972,$50567
2010,6037401311,Census Tract 4013.11,San Dimas,Los Angeles County,California,SanDimas,91004.0,11703.0,100495.0,11293.0,38285.0,79638.0,,,147770.0,41975.0,,,69788.0,20596.0,71774.0,6537.0,100612.0,15095.0,87833.0,18242.0,$91004,$11703,$100495,$11293,$38285,$79638,Not available,Not available,$147770,$41975,Not available,Not available,$69788,$20596,$71774,$6537,$100612,$15095,$87833,$18242
2010,6037401312,Census Tract 4013.12,San Dimas,Los Angeles County,California,SanDimas,96941.0,23795.0,86363.0,32061.0,68725.0,29013.0,,,120474.0,55480.0,,,113345.0,159591.0,133860.0,31076.0,73950.0,17031.0,114720.0,23675.0,$96941,$23795,$86363,$32061,$68725,$29013,Not available,Not available,$120474,$55480,Not available,Not available,$113345,$159591,$133860,$31076,$73950,$17031,$114720,$23675
2010,6037403703,Census Tract 4037.03,San Dimas,Los Angeles County,California,SanDimas,130572.0,29310.0,104317.0,24641.0,74734.0,136739.0,,,225317.0,107007.0,,,168066.0,44784.0,167715.0,387689.0,93955.0,18849.0,154503.0,33144.0,$130572,$29310,$104317,$24641,$74734,$136739,Not available,Not available,$225317,$107007,Not available,Not available,$168066,$44784,$167715,$387689,$93955,$18849,$154503,$33144
