YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037320100,Census Tract 3201,San Fernando,Los Angeles County,California,SanFernando,85035.0,11811.0,89913.0,11213.0,50136.0,632448.0,66243.0,10990.0,125961.0,2715.0,,,68765.0,38413.0,,,84472.0,30683.0,83246.0,11833.0,$85035,$11811,$89913,$11213,$50136,$632448,$66243,$10990,$125961,$2715,,,$68765,$38413,,,$84472,$30683,$83246,$11833
2010,6037320201,Census Tract 3202.01,San Fernando,Los Angeles County,California,SanFernando,58115.0,19012.0,51668.0,12965.0,,,,,,,,,76935.0,15712.0,,,21151.0,59464.0,59816.0,20341.0,$58115,$19012,$51668,$12965,,,,,,,,,$76935,$15712,,,$21151,$59464,$59816,$20341
2010,6037320202,Census Tract 3202.02,San Fernando,Los Angeles County,California,SanFernando,79178.0,9129.0,83003.0,7902.0,,,,,,,,,66452.0,24991.0,,,103218.0,13419.0,76483.0,20587.0,$79178,$9129,$83003,$7902,,,,,,,,,$66452,$24991,,,$103218,$13419,$76483,$20587
2010,6037320300,Census Tract 3203,San Fernando,Los Angeles County,California,SanFernando,64477.0,12034.0,69284.0,20734.0,,,146171.0,143644.0,,,,,56403.0,14989.0,130562.0,152696.0,74521.0,428158.0,63463.0,13415.0,$64477,$12034,$69284,$20734,,,$146171,$143644,,,,,$56403,$14989,$130562,$152696,$74521,$428158,$63463,$13415
2011,6037320100,Census Tract 3201,San Fernando,Los Angeles County,California,SanFernando,80091.0,5099.0,83640.0,15502.0,,,58491.0,6283.0,124580.0,29812.0,,,70149.0,40493.0,71828.0,138630.0,101961.0,53659.0,79782.0,5205.0,$80091,$5099,$83640,$15502,,,$58491,$6283,$124580,$29812,,,$70149,$40493,$71828,$138630,$101961,$53659,$79782,$5205
2011,6037320201,Census Tract 3202.01,San Fernando,Los Angeles County,California,SanFernando,49053.0,15757.0,41534.0,3913.0,,,,,,,,,72569.0,25463.0,,,23564.0,76126.0,50187.0,18211.0,$49053,$15757,$41534,$3913,,,,,,,,,$72569,$25463,,,$23564,$76126,$50187,$18211
2011,6037320202,Census Tract 3202.02,San Fernando,Los Angeles County,California,SanFernando,80150.0,5516.0,82924.0,6915.0,,,,,,,,,69957.0,19611.0,,,103868.0,10202.0,77632.0,4085.0,$80150,$5516,$82924,$6915,,,,,,,,,$69957,$19611,,,$103868,$10202,$77632,$4085
2011,6037320300,Census Tract 3203,San Fernando,Los Angeles County,California,SanFernando,59736.0,14232.0,52207.0,24581.0,,,150809.0,223628.0,,,,,61530.0,13044.0,57813.0,69440.0,75507.0,101956.0,57326.0,13309.0,$59736,$14232,$52207,$24581,,,$150809,$223628,,,,,$61530,$13044,$57813,$69440,$75507,$101956,$57326,$13309
2012,6037320100,Census Tract 3201,San Fernando,Los Angeles County,California,SanFernando,83924.0,10918.0,89233.0,14622.0,197341.0,536456.0,,,126061.0,2740.0,,,75647.0,22020.0,113600.0,163854.0,101245.0,41952.0,82529.0,8919.0,$83924,$10918,$89233,$14622,$197341,$536456,,,$126061,$2740,,,$75647,$22020,$113600,$163854,$101245,$41952,$82529,$8919
2012,6037320201,Census Tract 3202.01,San Fernando,Los Angeles County,California,SanFernando,52408.0,15769.0,45864.0,17892.0,,,,,,,,,54463.0,33461.0,,,57581.0,102263.0,51572.0,16833.0,$52408,$15769,$45864,$17892,,,,,,,,,$54463,$33461,,,$57581,$102263,$51572,$16833
