YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,156377.0,23914.0,146519.0,37623.0,,,,,169144.0,63125.0,,,,,,,170020.0,17289.0,85593.0,10348.0,$156377,$23914,$146519,$37623,Not available,Not available,Not available,Not available,$169144,$63125,Not available,Not available,Not available,Not available,Not available,Not available,$170020,$17289,$85593,$10348,1
2013,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,158533.0,22552.0,144923.0,41244.0,,,,,179375.0,21229.0,,,110026.0,158039.0,,,137212.0,59841.0,125171.0,78266.0,$158533,$22552,$144923,$41244,Not available,Not available,Not available,Not available,$179375,$21229,Not available,Not available,$110026,$158039,Not available,Not available,$137212,$59841,$125171,$78266,1
2013,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,118208.0,6612.0,159211.0,34713.0,,,,,118725.0,21176.0,,,82746.0,35654.0,307556.0,91582.0,153767.0,54707.0,97474.0,40898.0,$118208,$6612,$159211,$34713,Not available,Not available,Not available,Not available,$118725,$21176,Not available,Not available,$82746,$35654,$307556,$91582,$153767,$54707,$97474,$40898,1
2013,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,146154.0,39971.0,157206.0,45907.0,,,,,162613.0,24168.0,,,89225.0,18458.0,,,156954.0,57521.0,103252.0,25533.0,$146154,$39971,$157206,$45907,Not available,Not available,Not available,Not available,$162613,$24168,Not available,Not available,$89225,$18458,Not available,Not available,$156954,$57521,$103252,$25533,1
2013,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,135465.0,18194.0,137047.0,28423.0,,,,,137189.0,52908.0,,,76963.0,38444.0,,,136494.0,22652.0,100064.0,58439.0,$135465,$18194,$137047,$28423,Not available,Not available,Not available,Not available,$137189,$52908,Not available,Not available,$76963,$38444,Not available,Not available,$136494,$22652,$100064,$58439,1
2013,6037480302,Census Tract 4803.02,San Gabriel,Los Angeles County,California,SanGabriel,86686.0,20021.0,108992.0,15112.0,41129.0,38839.0,,,64631.0,19860.0,,,68757.0,96920.0,87754.0,48414.0,112580.0,15338.0,81763.0,45068.0,$86686,$20021,$108992,$15112,$41129,$38839,Not available,Not available,$64631,$19860,Not available,Not available,$68757,$96920,$87754,$48414,$112580,$15338,$81763,$45068,1
2013,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,61407.0,6248.0,60181.0,23600.0,,,,,61390.0,9333.0,,,64181.0,14672.0,50251.0,61341.0,61919.0,32301.0,61220.0,8832.0,$61407,$6248,$60181,$23600,Not available,Not available,Not available,Not available,$61390,$9333,Not available,Not available,$64181,$14672,$50251,$61341,$61919,$32301,$61220,$8832,1
2013,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,59748.0,8631.0,55492.0,18524.0,73266.0,27537.0,,,55975.0,14228.0,,,69464.0,26831.0,,,64593.0,29065.0,59646.0,19550.0,$59748,$8631,$55492,$18524,$73266,$27537,Not available,Not available,$55975,$14228,Not available,Not available,$69464,$26831,Not available,Not available,$64593,$29065,$59646,$19550,1
2013,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,72563.0,6071.0,65687.0,9762.0,,,,,76817.0,10476.0,,,65977.0,53995.0,,,146075.0,51709.0,59837.0,15471.0,$72563,$6071,$65687,$9762,Not available,Not available,Not available,Not available,$76817,$10476,Not available,Not available,$65977,$53995,Not available,Not available,$146075,$51709,$59837,$15471,1
2013,6037481202,Census Tract 4812.02,San Gabriel,Los Angeles County,California,SanGabriel,72827.0,13224.0,92675.0,22439.0,,,,,61266.0,17118.0,,,83055.0,77052.0,,,79983.0,40131.0,84869.0,25372.0,$72827,$13224,$92675,$22439,Not available,Not available,Not available,Not available,$61266,$17118,Not available,Not available,$83055,$77052,Not available,Not available,$79983,$40131,$84869,$25372,1
