YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037463300,Census Tract 4633,San Marino,Los Angeles County,California,SanMarino,130964.0,13956.0,134313.0,38214.0,54294.0,39337.0,,,133016.0,79442.0,,,119715.0,18716.0,,,170950.0,24135.0,90887.0,10229.0
2013,6037464000,Census Tract 4640,San Marino,Los Angeles County,California,SanMarino,142202.0,20012.0,163114.0,29094.0,155538.0,76792.0,,,104161.0,76694.0,,,32137.0,172221.0,60122.0,219806.0,164115.0,39754.0,153817.0,22745.0
2013,6037464100,Census Tract 4641,San Marino,Los Angeles County,California,SanMarino,208489.0,54038.0,231547.0,109960.0,,,,,167173.0,79109.0,,,328436.0,,,,211841.0,115859.0,255085.0,196308.0
2013,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,156377.0,23914.0,146519.0,37623.0,,,,,169144.0,63125.0,,,,,,,170020.0,17289.0,85593.0,10348.0
2013,6037480202,Census Tract 4802.02,San Marino,Los Angeles County,California,SanMarino,135465.0,18194.0,137047.0,28423.0,,,,,137189.0,52908.0,,,76963.0,38444.0,,,136494.0,22652.0,100064.0,58439.0
2013,6037480600,Census Tract 4806,San Marino,Los Angeles County,California,SanMarino,93056.0,12718.0,88511.0,15551.0,80029.0,25715.0,,,106790.0,8592.0,,,87345.0,43928.0,34880.0,84056.0,94015.0,13922.0,74765.0,33179.0
2011,6037463300,Census Tract 4633,San Marino,Los Angeles County,California,SanMarino,129174.0,35611.0,130857.0,51743.0,300059.0,367873.0,,,127132.0,106028.0,,,122367.0,36003.0,,,164755.0,55769.0,90593.0,10576.0
2011,6037464000,Census Tract 4640,San Marino,Los Angeles County,California,SanMarino,142287.0,12379.0,144858.0,26145.0,155574.0,84285.0,,,145963.0,56138.0,,,33975.0,29329.0,50738.0,101064.0,148285.0,22291.0,64034.0,55532.0
2011,6037464100,Census Tract 4641,San Marino,Los Angeles County,California,SanMarino,237265.0,29738.0,237207.0,39858.0,,,,,220709.0,64802.0,,,340381.0,,3402.0,,234721.0,55252.0,290004.0,144803.0
2011,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,178449.0,19206.0,157596.0,27868.0,,,,,198819.0,46644.0,,,,,,,172416.0,26456.0,86401.0,16039.0
2011,6037480202,Census Tract 4802.02,San Marino,Los Angeles County,California,SanMarino,156317.0,28267.0,155965.0,30871.0,,,,,161680.0,84115.0,,,189711.0,168138.0,,,155322.0,16996.0,236734.0,116108.0
2011,6037480600,Census Tract 4806,San Marino,Los Angeles County,California,SanMarino,95854.0,13810.0,108113.0,33775.0,79098.0,13659.0,,,91146.0,17734.0,,,86879.0,96061.0,66103.0,76297.0,108411.0,32969.0,88175.0,59343.0
2022,6037464101,Census Tract 4641.01,San Marino,Los Angeles County,California,SanMarino,177238.0,26384.0,178767.0,110586.0,,,,,180174.0,81822.0,,,,,121436.0,33792.0,178767.0,111081.0,,
2022,6037464102,Census Tract 4641.02,San Marino,Los Angeles County,California,SanMarino,240882.0,83476.0,260314.0,,,,,,238305.0,128401.0,,,,,,,260314.0,,155283.0,45601.0
2022,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,167609.0,40984.0,180644.0,64556.0,,,,,166698.0,51805.0,,,,,,,180675.0,77162.0,,
2022,6037480002,Census Tract 4800.02,San Marino,Los Angeles County,California,SanMarino,144080.0,29557.0,124894.0,34379.0,,,,,177338.0,63501.0,,,130319.0,34724.0,,,125880.0,60666.0,131620.0,29906.0
2012,6037463300,Census Tract 4633,San Marino,Los Angeles County,California,SanMarino,129279.0,16944.0,135982.0,53166.0,115026.0,135441.0,,,105579.0,26905.0,,,121194.0,21039.0,,,170705.0,36629.0,93187.0,34200.0
2012,6037464000,Census Tract 4640,San Marino,Los Angeles County,California,SanMarino,142070.0,11549.0,147190.0,23116.0,156493.0,76405.0,,,142090.0,14681.0,,,32191.0,10612.0,56930.0,138277.0,146846.0,27482.0,154382.0,41085.0
2012,6037464100,Census Tract 4641,San Marino,Los Angeles County,California,SanMarino,217588.0,41925.0,217826.0,66083.0,,,,,186041.0,81258.0,,,333409.0,,3333.0,,208046.0,102339.0,273214.0,131904.0
2012,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,174906.0,18700.0,156087.0,34333.0,,,,,193562.0,39518.0,,,88866.0,147450.0,,,171497.0,20738.0,87583.0,36519.0
2012,6037480202,Census Tract 4802.02,San Marino,Los Angeles County,California,SanMarino,135197.0,19519.0,152118.0,24227.0,,,,,134627.0,53353.0,,,53263.0,55935.0,55964.0,129361.0,150867.0,23663.0,77912.0,56027.0
2012,6037480600,Census Tract 4806,San Marino,Los Angeles County,California,SanMarino,94808.0,9956.0,96492.0,14241.0,80136.0,12661.0,,,102627.0,14895.0,,,87832.0,51844.0,35387.0,49884.0,96047.0,13486.0,86686.0,58640.0
2019,6037463300,Census Tract 4633,San Marino,Los Angeles County,California,SanMarino,121906.0,13662.0,130480.0,20119.0,123948.0,106680.0,,,124468.0,60452.0,,,75378.0,60988.0,,,131813.0,22488.0,76779.0,39703.0
2019,6037464000,Census Tract 4640,San Marino,Los Angeles County,California,SanMarino,128451.0,33485.0,115732.0,48441.0,138545.0,79535.0,,,135078.0,44574.0,,,,,,,156311.0,27018.0,74503.0,21917.0
2019,6037464100,Census Tract 4641,San Marino,Los Angeles County,California,SanMarino,201381.0,36892.0,287873.0,68161.0,,,,,183877.0,25790.0,,,,,109176.0,76537.0,289602.0,66389.0,154376.0,105566.0
2019,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,193659.0,25902.0,254764.0,72121.0,,,,,170830.0,34287.0,,,,,298896.0,,241981.0,74939.0,298896.0,
2019,6037480202,Census Tract 4802.02,San Marino,Los Angeles County,California,SanMarino,120604.0,19178.0,143844.0,54410.0,,,,,104912.0,28925.0,,,85900.0,80594.0,,,171616.0,70771.0,118064.0,35991.0
2019,6037480600,Census Tract 4806,San Marino,Los Angeles County,California,SanMarino,110994.0,10840.0,107966.0,14208.0,117347.0,26067.0,,,142151.0,50677.0,,,127329.0,101256.0,,,108676.0,14872.0,109630.0,38659.0
2010,6037463300,Census Tract 4633,San Marino,Los Angeles County,California,SanMarino,111894.0,25849.0,110388.0,26646.0,299525.0,249224.0,,,127498.0,72102.0,,,120957.0,76245.0,,,126664.0,52334.0,90900.0,3511.0
2010,6037464000,Census Tract 4640,San Marino,Los Angeles County,California,SanMarino,125846.0,28397.0,132511.0,32810.0,26343.0,110994.0,,,143505.0,28283.0,,,37265.0,14009.0,39262.0,146237.0,137919.0,36812.0,70663.0,58351.0
2010,6037464100,Census Tract 4641,San Marino,Los Angeles County,California,SanMarino,241349.0,53073.0,242227.0,61198.0,,,,,235620.0,101770.0,,,351236.0,,3511.0,,238840.0,71313.0,273761.0,176321.0
2010,6037464200,Census Tract 4642,San Marino,Los Angeles County,California,SanMarino,185160.0,24031.0,174819.0,44084.0,,,,,199780.0,41021.0,,,182871.0,190871.0,,,178398.0,40948.0,87330.0,166646.0
