YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037910807,Census Tract 9108.07,Santa Clarita,Los Angeles County,California,SantaClarita,143537.0,10192.0,143221.0,7901.0,163732.0,59719.0,115141.0,256880.0,166466.0,105868.0,,,116761.0,79311.0,182585.0,205116.0,142001.0,7831.0,118250.0,68664.0,$143537,$10192,$143221,$7901,$163732,$59719,$115141,$256880,$166466,$105868,,,$116761,$79311,$182585,$205116,$142001,$7831,$118250,$68664
2010,6037910808,Census Tract 9108.08,Santa Clarita,Los Angeles County,California,SantaClarita,121762.0,14621.0,121422.0,15705.0,,,,,109671.0,91488.0,,,,,142412.0,13537.0,121772.0,22356.0,119627.0,49196.0,$121762,$14621,$121422,$15705,,,,,$109671,$91488,,,,,$142412,$13537,$121772,$22356,$119627,$49196
2010,6037910809,Census Tract 9108.09,Santa Clarita,Los Angeles County,California,SantaClarita,166428.0,47005.0,167841.0,88815.0,,,,,154452.0,303457.0,,,195568.0,317921.0,,,167614.0,74259.0,196226.0,142889.0,$166428,$47005,$167841,$88815,,,,,$154452,$303457,,,$195568,$317921,,,$167614,$74259,$196226,$142889
2010,6037910810,Census Tract 9108.10,Santa Clarita,Los Angeles County,California,SantaClarita,153661.0,33992.0,164194.0,24887.0,,,,,227599.0,158130.0,,,87992.0,12111.0,,,165530.0,24597.0,89800.0,54791.0,$153661,$33992,$164194,$24887,,,,,$227599,$158130,,,$87992,$12111,,,$165530,$24597,$89800,$54791
2010,6037920011,Census Tract 9200.11,Santa Clarita,Los Angeles County,California,SantaClarita,28522.0,88737.0,26916.0,152774.0,,,,,,,,,,,,,26916.0,152774.0,,,$28522,$88737,$26916,$152774,,,,,,,,,,,,,$26916,$152774,,
2010,6037920013,Census Tract 9200.13,Santa Clarita,Los Angeles County,California,SantaClarita,136008.0,28822.0,135264.0,38471.0,,,38102.0,247963.0,149684.0,158925.0,,,75166.0,120560.0,145115.0,95432.0,149367.0,48252.0,125473.0,29986.0,$136008,$28822,$135264,$38471,,,$38102,$247963,$149684,$158925,,,$75166,$120560,$145115,$95432,$149367,$48252,$125473,$29986
2010,6037920015,Census Tract 9200.15,Santa Clarita,Los Angeles County,California,SantaClarita,181097.0,14767.0,184393.0,20833.0,279384.0,76476.0,,,149322.0,22026.0,,,135635.0,56113.0,,,179068.0,19541.0,192085.0,24360.0,$181097,$14767,$184393,$20833,$279384,$76476,,,$149322,$22026,,,$135635,$56113,,,$179068,$19541,$192085,$24360
2010,6037920016,Census Tract 9200.16,Santa Clarita,Los Angeles County,California,SantaClarita,183249.0,14270.0,182548.0,15068.0,301570.0,152235.0,,,124949.0,31943.0,,,187044.0,33194.0,255204.0,804.0,184060.0,12896.0,167478.0,48085.0,$183249,$14270,$182548,$15068,$301570,$152235,,,$124949,$31943,,,$187044,$33194,$255204,$804,$184060,$12896,$167478,$48085
2010,6037920017,Census Tract 9200.17,Santa Clarita,Los Angeles County,California,SantaClarita,124561.0,14367.0,125081.0,16355.0,148087.0,78280.0,144923.0,39229.0,118710.0,67391.0,,,48294.0,36530.0,168010.0,31701.0,131910.0,22194.0,115913.0,15858.0,$124561,$14367,$125081,$16355,$148087,$78280,$144923,$39229,$118710,$67391,,,$48294,$36530,$168010,$31701,$131910,$22194,$115913,$15858
2010,6037920018,Census Tract 9200.18,Santa Clarita,Los Angeles County,California,SantaClarita,134284.0,31162.0,121121.0,24538.0,,,,,139257.0,43310.0,,,,,,,134736.0,39424.0,97078.0,38192.0,$134284,$31162,$121121,$24538,,,,,$139257,$43310,,,,,,,$134736,$39424,$97078,$38192
2010,6037920020,Census Tract 9200.20,Santa Clarita,Los Angeles County,California,SantaClarita,140937.0,10604.0,141980.0,17736.0,,,,,124828.0,70671.0,,,145300.0,70152.0,134749.0,134436.0,142202.0,22957.0,137204.0,17547.0,$140937,$10604,$141980,$17736,,,,,$124828,$70671,,,$145300,$70152,$134749,$134436,$142202,$22957,$137204,$17547
2010,6037920023,Census Tract 9200.23,Santa Clarita,Los Angeles County,California,SantaClarita,82254.0,37681.0,82193.0,38686.0,,,,,,,,,43248.0,104813.0,105837.0,158338.0,77402.0,12857.0,113232.0,30334.0,$82254,$37681,$82193,$38686,,,,,,,,,$43248,$104813,$105837,$158338,$77402,$12857,$113232,$30334
2010,6037920028,Census Tract 9200.28,Santa Clarita,Los Angeles County,California,SantaClarita,141290.0,16337.0,126068.0,19073.0,221678.0,73433.0,146631.0,63203.0,195815.0,100347.0,,,143320.0,30508.0,154987.0,98178.0,124404.0,15570.0,144396.0,24421.0,$141290,$16337,$126068,$19073,$221678,$73433,$146631,$63203,$195815,$100347,,,$143320,$30508,$154987,$98178,$124404,$15570,$144396,$24421
2010,6037920029,Census Tract 9200.29,Santa Clarita,Los Angeles County,California,SantaClarita,119445.0,9244.0,120151.0,29232.0,118001.0,2165.0,86938.0,55557.0,154313.0,86603.0,,,68418.0,151136.0,,,122436.0,30722.0,91835.0,63456.0,$119445,$9244,$120151,$29232,$118001,$2165,$86938,$55557,$154313,$86603,,,$68418,$151136,,,$122436,$30722,$91835,$63456
