YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,86522.0,15979.0,69353.0,21617.0,,,177704.0,263670.0,,,,,96383.0,12520.0,,,72713.0,36861.0,90750.0,15994.0,$86522,$15979,$69353,$21617,,,$177704,$263670,,,,,$96383,$12520,,,$72713,$36861,$90750,$15994
2010,6037502301,Census Tract 5023.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,76077.0,12637.0,72554.0,16915.0,,,,,,,,,81108.0,13334.0,155894.0,87045.0,99315.0,55989.0,75646.0,11774.0,$76077,$12637,$72554,$16915,,,,,,,,,$81108,$13334,$155894,$87045,$99315,$55989,$75646,$11774
2010,6037502302,Census Tract 5023.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,58984.0,14494.0,60018.0,24955.0,25866.0,15126.0,15065.0,27240.0,,,,,61191.0,38699.0,,,74661.0,48787.0,59447.0,14464.0,$58984,$14494,$60018,$24955,$25866,$15126,$15065,$27240,,,,,$61191,$38699,,,$74661,$48787,$59447,$14464
2010,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,76219.0,15809.0,87321.0,21468.0,92197.0,97014.0,103947.0,122258.0,21090.0,2702.0,,,67731.0,12380.0,25987.0,68276.0,68583.0,51302.0,76627.0,15768.0,$76219,$15809,$87321,$21468,$92197,$97014,$103947,$122258,$21090,$2702,,,$67731,$12380,$25987,$68276,$68583,$51302,$76627,$15768
2010,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,105454.0,14053.0,97237.0,8974.0,,,150045.0,59195.0,116301.0,84385.0,,,163773.0,55703.0,65408.0,35586.0,99037.0,36772.0,105285.0,14413.0,$105454,$14053,$97237,$8974,,,$150045,$59195,$116301,$84385,,,$163773,$55703,$65408,$35586,$99037,$36772,$105285,$14413
2010,6037502802,Census Tract 5028.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,38407.0,11510.0,37012.0,29548.0,,,,,,,,,51847.0,22959.0,,,48584.0,42594.0,38114.0,17472.0,$38407,$11510,$37012,$29548,,,,,,,,,$51847,$22959,,,$48584,$42594,$38114,$17472
2010,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,115939.0,21109.0,90102.0,21552.0,,,,,123812.0,28595.0,,,121216.0,8097.0,,,76640.0,25989.0,120703.0,11231.0,$115939,$21109,$90102,$21552,,,,,$123812,$28595,,,$121216,$8097,,,$76640,$25989,$120703,$11231
2010,6037502902,Census Tract 5029.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,75630.0,12533.0,79747.0,13315.0,,,,,120971.0,104414.0,,,60315.0,20749.0,,,82531.0,10786.0,73252.0,23325.0,$75630,$12533,$79747,$13315,,,,,$120971,$104414,,,$60315,$20749,,,$82531,$10786,$73252,$23325
2010,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,84746.0,13713.0,64915.0,44102.0,118270.0,6548.0,,,,,,,87394.0,22340.0,134925.0,65213.0,97419.0,84433.0,82100.0,4752.0,$84746,$13713,$64915,$44102,$118270,$6548,,,,,,,$87394,$22340,$134925,$65213,$97419,$84433,$82100,$4752
2010,6037504101,Census Tract 5041.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,82615.0,27293.0,70364.0,24836.0,36005.0,17462.0,,,45797.0,17197.0,,,112964.0,34663.0,156106.0,95707.0,71769.0,40697.0,92905.0,16118.0,$82615,$27293,$70364,$24836,$36005,$17462,,,$45797,$17197,,,$112964,$34663,$156106,$95707,$71769,$40697,$92905,$16118
2010,6037504102,Census Tract 5041.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6037550201,Census Tract 5502.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,74300.0,7078.0,65171.0,25047.0,,,,,174106.0,88770.0,,,74308.0,5047.0,74676.0,35299.0,134471.0,122874.0,69693.0,13302.0,$74300,$7078,$65171,$25047,,,,,$174106,$88770,,,$74308,$5047,$74676,$35299,$134471,$122874,$69693,$13302
2010,6037550400,Census Tract 5504,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,142435.0,16992.0,142761.0,43361.0,297229.0,212983.0,,,139764.0,44667.0,,,107317.0,71578.0,,,181019.0,79789.0,99428.0,40124.0,$142435,$16992,$142761,$43361,$297229,$212983,,,$139764,$44667,,,$107317,$71578,,,$181019,$79789,$99428,$40124
