YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037273100,Census Tract 2731,Santa Monica,Los Angeles County,California,SantaMonica,121678.0,35322.0,105518.0,43476.0,,,,,231560.0,205337.0,,,,,,,106754.0,46649.0,64477.0,146791.0,$121678,$35322,$105518,$43476,,,,,$231560,$205337,,,,,,,$106754,$46649,$64477,$146791
2010,6037701201,Census Tract 7012.01,Santa Monica,Los Angeles County,California,SantaMonica,273921.0,50479.0,281685.0,59252.0,,,,,325625.0,124820.0,,,137725.0,208214.0,,,280370.0,56783.0,34047.0,138930.0,$273921,$50479,$281685,$59252,,,,,$325625,$124820,,,$137725,$208214,,,$280370,$56783,$34047,$138930
2010,6037701202,Census Tract 7012.02,Santa Monica,Los Angeles County,California,SantaMonica,130831.0,13094.0,126164.0,16075.0,,,,,134980.0,75736.0,,,34348.0,44042.0,132276.0,37746.0,130232.0,16431.0,57306.0,25777.0,$130831,$13094,$126164,$16075,,,,,$134980,$75736,,,$34348,$44042,$132276,$37746,$130232,$16431,$57306,$25777
2010,6037701302,Census Tract 7013.02,Santa Monica,Los Angeles County,California,SantaMonica,101626.0,21408.0,93679.0,21129.0,,,,,146731.0,53133.0,,,,,,,100057.0,19077.0,30146.0,13801.0,$101626,$21408,$93679,$21129,,,,,$146731,$53133,,,,,,,$100057,$19077,$30146,$13801
2010,6037701304,Census Tract 7013.04,Santa Monica,Los Angeles County,California,SantaMonica,152790.0,28278.0,142793.0,20170.0,,,,,293238.0,22024.0,,,217536.0,20824.0,203314.0,130918.0,143176.0,18788.0,203736.0,228695.0,$152790,$28278,$142793,$20170,,,,,$293238,$22024,,,$217536,$20824,$203314,$130918,$143176,$18788,$203736,$228695
2010,6037701402,Census Tract 7014.02,Santa Monica,Los Angeles County,California,SantaMonica,90389.0,12329.0,93835.0,13719.0,43803.0,15525.0,,,19460.0,86036.0,,,94937.0,85700.0,47183.0,44319.0,94924.0,14096.0,72914.0,88459.0,$90389,$12329,$93835,$13719,$43803,$15525,,,$19460,$86036,,,$94937,$85700,$47183,$44319,$94924,$14096,$72914,$88459
2010,6037701501,Census Tract 7015.01,Santa Monica,Los Angeles County,California,SantaMonica,103043.0,21177.0,103671.0,21113.0,,,,,89907.0,96487.0,,,21287.0,165991.0,,,104777.0,21303.0,74752.0,74476.0,$103043,$21177,$103671,$21113,,,,,$89907,$96487,,,$21287,$165991,,,$104777,$21303,$74752,$74476
2010,6037701502,Census Tract 7015.02,Santa Monica,Los Angeles County,California,SantaMonica,87230.0,6342.0,88935.0,11693.0,16270.0,4917.0,,,88801.0,36083.0,,,75927.0,36786.0,,,88817.0,11325.0,94506.0,62535.0,$87230,$6342,$88935,$11693,$16270,$4917,,,$88801,$36083,,,$75927,$36786,,,$88817,$11325,$94506,$62535
2010,6037701601,Census Tract 7016.01,Santa Monica,Los Angeles County,California,SantaMonica,117714.0,26207.0,113755.0,19880.0,172067.0,160976.0,,,132185.0,70266.0,,,,,,,112082.0,24988.0,115310.0,120904.0,$117714,$26207,$113755,$19880,$172067,$160976,,,$132185,$70266,,,,,,,$112082,$24988,$115310,$120904
2010,6037701602,Census Tract 7016.02,Santa Monica,Los Angeles County,California,SantaMonica,89164.0,18269.0,95089.0,16824.0,,,,,94077.0,47137.0,,,,,217409.0,307132.0,90272.0,17261.0,120217.0,179025.0,$89164,$18269,$95089,$16824,,,,,$94077,$47137,,,,,$217409,$307132,$90272,$17261,$120217,$179025
