YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,147829.0,42719.0,132425.0,27290.0,,,,,181646.0,145576.0,,,169219.0,226008.0,183440.0,144321.0,132092.0,22063.0,169805.0,136105.0,$147829,$42719,$132425,$27290,Not available,Not available,Not available,Not available,$181646,$145576,Not available,Not available,$169219,$226008,$183440,$144321,$132092,$22063,$169805,$136105
2010,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,111450.0,15797.0,112193.0,13962.0,93249.0,64008.0,,,126126.0,41728.0,,,89621.0,141903.0,92354.0,129819.0,108196.0,14121.0,116307.0,97792.0,$111450,$15797,$112193,$13962,$93249,$64008,Not available,Not available,$126126,$41728,Not available,Not available,$89621,$141903,$92354,$129819,$108196,$14121,$116307,$97792
2011,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,129370.0,27068.0,119906.0,23636.0,,,,,182279.0,164364.0,,,167054.0,247421.0,185677.0,202763.0,120680.0,23543.0,156819.0,160293.0,$129370,$27068,$119906,$23636,Not available,Not available,Not available,Not available,$182279,$164364,Not available,Not available,$167054,$247421,$185677,$202763,$120680,$23543,$156819,$160293
2011,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,113460.0,13456.0,113797.0,11753.0,39144.0,130085.0,,,130054.0,33601.0,,,90541.0,173207.0,83866.0,33007.0,113921.0,11538.0,89452.0,26074.0,$113460,$13456,$113797,$11753,$39144,$130085,Not available,Not available,$130054,$33601,Not available,Not available,$90541,$173207,$83866,$33007,$113921,$11538,$89452,$26074
2012,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,133218.0,21317.0,131648.0,13134.0,,,,,180787.0,85003.0,,,167275.0,228620.0,184738.0,201389.0,131696.0,12459.0,158535.0,139806.0,$133218,$21317,$131648,$13134,Not available,Not available,Not available,Not available,$180787,$85003,Not available,Not available,$167275,$228620,$184738,$201389,$131696,$12459,$158535,$139806
2012,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,111664.0,17222.0,111720.0,16718.0,,,,,126028.0,15663.0,,,81685.0,98020.0,84811.0,107739.0,112192.0,16177.0,73804.0,79807.0,$111664,$17222,$111720,$16718,Not available,Not available,Not available,Not available,$126028,$15663,Not available,Not available,$81685,$98020,$84811,$107739,$112192,$16177,$73804,$79807
2013,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,145120.0,23236.0,134874.0,17980.0,,,,,183461.0,175066.0,,,169303.0,230167.0,146975.0,76255.0,133936.0,17394.0,169038.0,125223.0,$145120,$23236,$134874,$17980,Not available,Not available,Not available,Not available,$183461,$175066,Not available,Not available,$169303,$230167,$146975,$76255,$133936,$17394,$169038,$125223
2013,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,109697.0,13492.0,105047.0,16864.0,,,,,151335.0,29511.0,,,76270.0,121685.0,42318.0,209041.0,109169.0,15573.0,55286.0,45325.0,$109697,$13492,$105047,$16864,Not available,Not available,Not available,Not available,$151335,$29511,Not available,Not available,$76270,$121685,$42318,$209041,$109169,$15573,$55286,$45325
2014,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,145570.0,19095.0,132405.0,20722.0,,,,,183389.0,76951.0,,,170313.0,272220.0,148201.0,69764.0,132220.0,21478.0,168706.0,97921.0,$145570,$19095,$132405,$20722,Not available,Not available,Not available,Not available,$183389,$76951,Not available,Not available,$170313,$272220,$148201,$69764,$132220,$21478,$168706,$97921
2014,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,108298.0,13670.0,107998.0,14347.0,82378.0,24885.0,,,151912.0,38703.0,,,81268.0,83311.0,104184.0,219141.0,107547.0,14257.0,77264.0,31071.0,$108298,$13670,$107998,$14347,$82378,$24885,Not available,Not available,$151912,$38703,Not available,Not available,$81268,$83311,$104184,$219141,$107547,$14257,$77264,$31071
2015,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,158224.0,20184.0,147750.0,18163.0,,,,,225746.0,90118.0,,,,,,,147273.0,19252.0,269485.0,234874.0,$158224,$20184,$147750,$18163,Not available,Not available,Not available,Not available,$225746,$90118,Not available,Not available,Not available,Not available,Not available,Not available,$147273,$19252,$269485,$234874
2015,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,102983.0,18355.0,102267.0,17655.0,82098.0,30917.0,,,152421.0,36261.0,,,83547.0,60922.0,,,101183.0,18510.0,110509.0,68284.0,$102983,$18355,$102267,$17655,$82098,$30917,Not available,Not available,$152421,$36261,Not available,Not available,$83547,$60922,Not available,Not available,$101183,$18510,$110509,$68284
2016,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,170284.0,26442.0,151232.0,39295.0,,,,,193417.0,88141.0,,,,,,,149891.0,34708.0,304055.0,137618.0,$170284,$26442,$151232,$39295,Not available,Not available,Not available,Not available,$193417,$88141,Not available,Not available,Not available,Not available,Not available,Not available,$149891,$34708,$304055,$137618
2016,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,109302.0,16198.0,104584.0,16642.0,81188.0,18897.0,,,150485.0,69275.0,,,,,,,104242.0,17938.0,111321.0,50680.0,$109302,$16198,$104584,$16642,$81188,$18897,Not available,Not available,$150485,$69275,Not available,Not available,Not available,Not available,Not available,Not available,$104242,$17938,$111321,$50680
2017,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,151225.0,26368.0,149954.0,38159.0,,,,,196146.0,102686.0,,,,,,,149403.0,38007.0,,,$151225,$26368,$149954,$38159,Not available,Not available,Not available,Not available,$196146,$102686,Not available,Not available,Not available,Not available,Not available,Not available,$149403,$38007,Not available,Not available
2017,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,106153.0,21960.0,100485.0,21505.0,82615.0,22555.0,,,152092.0,99555.0,,,,,199665.0,39627.0,90228.0,30092.0,124390.0,38002.0,$106153,$21960,$100485,$21505,$82615,$22555,Not available,Not available,$152092,$99555,Not available,Not available,Not available,Not available,$199665,$39627,$90228,$30092,$124390,$38002
2018,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,144553.0,21262.0,143568.0,25754.0,,,,,138239.0,86843.0,,,,,,,143926.0,24618.0,,,$144553,$21262,$143568,$25754,Not available,Not available,Not available,Not available,$138239,$86843,Not available,Not available,Not available,Not available,Not available,Not available,$143926,$24618,Not available,Not available
2018,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,99877.0,17133.0,98397.0,13651.0,,,,,117867.0,87774.0,,,,,200966.0,43876.0,94401.0,26466.0,103977.0,38530.0,$99877,$17133,$98397,$13651,Not available,Not available,Not available,Not available,$117867,$87774,Not available,Not available,Not available,Not available,$200966,$43876,$94401,$26466,$103977,$38530
2019,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,144030.0,13106.0,144450.0,23005.0,,,,,140801.0,33403.0,,,,,,,146225.0,27767.0,,,$144030,$13106,$144450,$23005,Not available,Not available,Not available,Not available,$140801,$33403,Not available,Not available,Not available,Not available,Not available,Not available,$146225,$27767,Not available,Not available
2019,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,97877.0,16042.0,97303.0,16127.0,,,,,92409.0,75314.0,,,,,177600.0,67777.0,90540.0,33311.0,99115.0,12432.0,$97877,$16042,$97303,$16127,Not available,Not available,Not available,Not available,$92409,$75314,Not available,Not available,Not available,Not available,$177600,$67777,$90540,$33311,$99115,$12432
2020,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,173642.0,47975.0,190444.0,21097.0,,,,,142481.0,85973.0,,,,,,,190821.0,22386.0,,,$173642,$47975,$190444,$21097,Not available,Not available,Not available,Not available,$142481,$85973,Not available,Not available,Not available,Not available,Not available,Not available,$190821,$22386,Not available,Not available
2020,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,93408.0,21851.0,89644.0,17865.0,,,,,,,,,,,177519.0,135005.0,86721.0,23922.0,94737.0,25585.0,$93408,$21851,$89644,$17865,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$177519,$135005,$86721,$23922,$94737,$25585
2021,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,172470.0,29369.0,188943.0,17066.0,,,,,141361.0,43085.0,,,,,180729.0,138629.0,189000.0,18245.0,204185.0,131583.0,$172470,$29369,$188943,$17066,Not available,Not available,Not available,Not available,$141361,$43085,Not available,Not available,Not available,Not available,$180729,$138629,$189000,$18245,$204185,$131583
2021,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,92554.0,28997.0,86940.0,21987.0,,,,,,,,,,,97074.0,76968.0,86814.0,25605.0,96279.0,37476.0,$92554,$28997,$86940,$21987,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$97074,$76968,$86814,$25605,$96279,$37476
2022,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,182681.0,22113.0,188527.0,11832.0,,,,,174139.0,48192.0,,,,,183613.0,112490.0,189928.0,14613.0,182405.0,179703.0,$182681,$22113,$188527,$11832,Not available,Not available,Not available,Not available,$174139,$48192,Not available,Not available,Not available,Not available,$183613,$112490,$189928,$14613,$182405,$179703
2022,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,98035.0,31494.0,97319.0,34829.0,,,,,179697.0,114279.0,,,,,92480.0,42971.0,95340.0,39311.0,96998.0,77501.0,$98035,$31494,$97319,$34829,Not available,Not available,Not available,Not available,$179697,$114279,Not available,Not available,Not available,Not available,$92480,$42971,$95340,$39311,$96998,$77501
2023,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,186213.0,15275.0,191694.0,39281.0,,,,,185048.0,55424.0,,,199022.0,63911.0,164297.0,65261.0,191667.0,40896.0,181806.0,94651.0,$186213,$15275,$191694,$39281,Not available,Not available,Not available,Not available,$185048,$55424,Not available,Not available,$199022,$63911,$164297,$65261,$191667,$40896,$181806,$94651
2023,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,114815.0,29872.0,105809.0,41652.0,50667.0,32855.0,,,,,,,189038.0,137162.0,95714.0,62510.0,95625.0,38451.0,160313.0,111429.0,$114815,$29872,$105809,$41652,$50667,$32855,Not available,Not available,Not available,Not available,Not available,Not available,$189038,$137162,$95714,$62510,$95625,$38451,$160313,$111429
