YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037572001,Census Tract 5720.01,Signal Hill,Los Angeles County,California,SignalHill,100595.69928,10557.21464,106248.7225,20649.36532,82656.57957999999,29274.06842,,,144763.63808,62560.2988,,,92618.67,73209.47524,84441.95224,22830.17372,103158.80602,20912.11332,112425.92798,77657.79887999999,$100595.69928,$10557.21464,$106248.7225,$20649.36532,$82656.57957999999,$292746842,Not available,Not available,$144763.63808,$62560.2988,Not available,Not available,$92618.67,$73209.47524,$84441.95224,$22830.17372,$103158.80602,$20912.11332,$112425.92798,$77657.79887999999,1
2013,6037573401,Census Tract 5734.01,Signal Hill,Los Angeles County,California,SignalHill,72683.97924,15002.9108,74469.3519,22154.91136,24139.9725,19771.787,,,101814.85,96890.95248,,,50176.98556,93036.43932,94660.22196,45892.87942,86350.81645999999,15176.32448,66303.14405999999,21568.98332,$72683.97924,$15002.9108,$74469.3519,$22154.91136,$24139.9725,$19771.787,Not available,Not available,$101814.85,$96890.95248,Not available,Not available,$50176.98556,$93036.43932,$94660.22196,$45892.87942,$86350.81645999999,$15176.32448,$66303.14405999999,$21568.98332,1
2013,6037573402,Census Tract 5734.02,Signal Hill,Los Angeles County,California,SignalHill,75977.52541999999,11840.738619999998,84243.5775,18358.20276,76698.76868,31105.42198,,,62293.60958,65571.39087999999,,,104467.29106,53683.35762,70042.0481,23636.81008,113241.76052,10394.31088,50778.67848,23050.88204,$75977.52541999999,$11840.738619999998,$84243.5775,$18358.20276,$76698.76868,$31105.42198,Not available,Not available,$62293.60958,$65571.39087999999,Not available,Not available,$104467.29106,$53683.35762,$70042481,$23636.81008,$113241.76052,$10394.31088,$50778.67848,$23050.88204,1
2013,6037573403,Census Tract 5734.03,Signal Hill,Los Angeles County,California,SignalHill,133263.15811999998,10739.8245,127498.467,10900.10078,138528.62803999998,8410.563479999999,,,142686.61513999998,53914.57586,,,,,206057.49152,120473.89922,127465.6235,8805.99922,88442.29053999999,151813.16692,$133263.15811999998,$10739.8245,$127498.467,$10900.10078,$138528.62803999998,$8410.563479999999,Not available,Not available,$142686.61513999998,$53914.57586,Not available,Not available,Not available,Not available,$206057.49152,$120473.89922,$127465.6235,$8805.99922,$88442.29053999999,$151813.16692,1
2013,6037575101,Census Tract 5751.01,Signal Hill,Los Angeles County,California,SignalHill,43370.49862,13844.19212,42148.72042,22462.32652,37496.76708,46459.10135999999,,,21438.92306,18038.96394,,,61182.18554,11526.75476,70613.525,26151.30844,69550.70934,31096.2258,41992.38536,23438.43534,$43370.49862,$13844.19212,$42148.72042,$22462.32652,$37496.76708,$46459.10135999999,Not available,Not available,$21438.92306,$18038.96394,Not available,Not available,$61182.18554,$11526.75476,$70613.525,$26151.30844,$69550.70934,$31096.2258,$41992.38536,$23438.43534,1
2013,6037980018,Census Tract 9800.18,Signal Hill,Los Angeles County,California,SignalHill,,,,,,,,,,,,,,,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
2011,6037572001,Census Tract 5720.01,Signal Hill,Los Angeles County,California,SignalHill,107492.004,22425.59592,119559.15576,26939.03472,67615.80624,50076.7056,26156.16072,116525.6892,142108.65,47176.668000000005,,,85880.59704000001,79248.63312,,,110623.5,34649.32248,87321.0852,74910.8304,$10749204,$22425.59592,$119559.15576,$269393472,$67615.80624,$50076.7056,$26156.16072,$116525.6892,$142108.65,$47176.668000000005,Not available,Not available,$85880.59704000001,$79248.63312,Not available,Not available,$110623.5,$34649.32248,$87321852,$74910.8304,1
2011,6037573401,Census Tract 5734.01,Signal Hill,Los Angeles County,California,SignalHill,85412.23416,29852.687520000003,86261.82264,30842.512560000003,26947.20384,28250.17848,,,79989.3,31267.3068,,,86634.87912,23657.77152,,,87088.26528,21389.4792,85743.08352,40499.77392,$85412.23416,$29852.687520000003,$86261.82264,$30842.512560000003,$26947.20384,$28250.17848,Not available,Not available,$79989.3,$31267.3068,Not available,Not available,$86634.87912,$23657.77152,Not available,Not available,$87088.26528,$21389.4792,$857438352,$40499.77392,1
2011,6037573402,Census Tract 5734.02,Signal Hill,Los Angeles County,California,SignalHill,86653.9404,9280.12032,87789.44808,21622.29912,87340.14648000001,21535.16184,173951.87976,197297.8632,83702.16504,54601.03656,,,73218.46104000001,50960.33208,99716.36328,52896.41352,106700.96088,21038.20704,65388.359520000005,31366.697760000003,$86653.9404,$9280.12032,$87789.44808,$21622.29912,$87340.14648000001,$21535.16184,$173951.87976,$197297.8632,$83702.16504,$546013656,Not available,Not available,$73218.46104000001,$50960.33208,$99716.36328,$52896.41352,$106700.96088,$21038.20704,$65388.359520000005,$31366.697760000003,1
2011,6037573403,Census Tract 5734.03,Signal Hill,Los Angeles County,California,SignalHill,128438.9892,15370.19928,126761.59656,26885.93544,160617.15288,35696.331360000004,,,97576.05384,75768.588,,,,,205228.7172,145410.336,125447.72976,13714.59096,87498.0828,163046.10456,$128438.9892,$15370.19928,$126761.59656,$26885.93544,$160617.15288,$35696.331360000004,Not available,Not available,$975765384,$75768.588,Not available,Not available,Not available,Not available,$205228.7172,$145410.336,$125447.72976,$13714.59096,$87498828,$163046.10456,1
2011,6037575101,Census Tract 5751.01,Signal Hill,Los Angeles County,California,SignalHill,58684.23504,14309.5752,55405.69488,39692.39256,58204.98,66572.88192,,,43166.9916,21916.38744,59566.5,148891.74264,68076.0,10706.99328,69851.42208,18385.96608,67508.24616000001,49642.38072,62514.1908,16422.65424,$58684.23504,$14309.5752,$55405.69488,$39692.39256,$58204.98,$66572.88192,Not available,Not available,$43166.9916,$21916.38744,$59566.5,$148891.74264,$68076,$10706.99328,$69851.42208,$18385.96608,$67508.24616000001,$49642.38072,$62514.1908,$16422.65424,1
2011,6037980018,Census Tract 9800.18,Signal Hill,Los Angeles County,California,SignalHill,,,,,,,,,,,,,,,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
2022,6037573401,Census Tract 5734.01,Signal Hill,Los Angeles County,California,SignalHill,74937.72125,19708.78,79395.3125,23740.5,,,,,120177.95125,98835.45,,,,,65512.32625,33473.06375,89564.16,19187.11375,73597.6325,21688.19625,$74937.72125,$19708.78,$79395.3125,$23740.5,Not available,Not available,Not available,Not available,$120177.95125,$98835.45,Not available,Not available,Not available,Not available,$65512.32625,$334736375,$89564.16,$19187.11375,$73597.6325,$21688.19625,1
2022,6037573402,Census Tract 5734.02,Signal Hill,Los Angeles County,California,SignalHill,82029.675,9418.10625,82204.605,47774.6325,30744.98875,16012.3425,,,79114.175,41743.7125,,,120028.01125,80776.01,81315.3775,53557.735,136305.8725,33362.69125,79977.37125,4706.45,$82029.675,$9418.10625,$82204.605,$47774.6325,$30744.98875,$16012.3425,Not available,Not available,$79114.175,$41743.7125,Not available,Not available,$1200281125,$807761,$81315.3775,$53557.735,$136305.8725,$33362.69125,$79977.37125,$4706.45,1
2022,6037573403,Census Tract 5734.03,Signal Hill,Los Angeles County,California,SignalHill,134297.30125,8269.6075,121001.58,29823.4825,100275.49875,39577.9125,,,142832.4275,61648.2475,,,153989.42125,85046.17625,260313.54125,,110074.7025,35776.308750000004,154018.57625,23185.51375,$134297.30125,$8269.6075,$121001.58,$29823.4825,$100275.49875,$39577.9125,Not available,Not available,$142832.4275,$61648.2475,Not available,Not available,$153989.42125,$85046.17625,$260313.54125,Not available,$110074.7025,$35776.308750000004,$154018.57625,$23185.51375,1
2022,6037980018,Census Tract 9800.18,Signal Hill,Los Angeles County,California,SignalHill,,,,,,,,,,,,,,,,,,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,1
