YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037183702,Census Tract 1837.02,South Pasadena,Los Angeles County,California,SouthPasadena,86005.0,14169.0,85481.0,25057.0,65383.0,129495.0,,,75036.0,48448.0,,,90735.0,20917.0,,,117190.0,25103.0,85259.0,24702.0,$86005,$14169,$85481,$25057,$65383,$129495,Not available,Not available,$75036,$48448,Not available,Not available,$90735,$20917,Not available,Not available,$117190,$25103,$85259,$24702
2010,6037464000,Census Tract 4640,South Pasadena,Los Angeles County,California,SouthPasadena,125846.0,28397.0,132511.0,32810.0,26343.0,110994.0,,,143505.0,28283.0,,,37265.0,14009.0,39262.0,146237.0,137919.0,36812.0,70663.0,58351.0,$125846,$28397,$132511,$32810,$26343,$110994,Not available,Not available,$143505,$28283,Not available,Not available,$37265,$14009,$39262,$146237,$137919,$36812,$70663,$58351
2010,6037480400,Census Tract 4804,South Pasadena,Los Angeles County,California,SouthPasadena,96151.0,26525.0,81370.0,17640.0,,,120718.0,12451.0,125742.0,27490.0,,,48410.0,120880.0,,,106062.0,36406.0,67624.0,21605.0,$96151,$26525,$81370,$17640,Not available,Not available,$120718,$12451,$125742,$27490,Not available,Not available,$48410,$120880,Not available,Not available,$106062,$36406,$67624,$21605
2010,6037480500,Census Tract 4805,South Pasadena,Los Angeles County,California,SouthPasadena,142805.0,56821.0,146582.0,93194.0,,,,,162008.0,79556.0,,,114630.0,133877.0,138221.0,60108.0,139206.0,81447.0,182467.0,42308.0,$142805,$56821,$146582,$93194,Not available,Not available,Not available,Not available,$162008,$79556,Not available,Not available,$114630,$133877,$138221,$60108,$139206,$81447,$182467,$42308
2010,6037480600,Census Tract 4806,South Pasadena,Los Angeles County,California,SouthPasadena,107982.0,24335.0,123919.0,23645.0,77453.0,18187.0,,,112530.0,30113.0,,,86002.0,109018.0,68199.0,27438.0,122865.0,28071.0,96306.0,58656.0,$107982,$24335,$123919,$23645,$77453,$18187,Not available,Not available,$112530,$30113,Not available,Not available,$86002,$109018,$68199,$27438,$122865,$28071,$96306,$58656
2010,6037480702,Census Tract 4807.02,South Pasadena,Los Angeles County,California,SouthPasadena,122122.0,25585.0,112581.0,19690.0,115908.0,85838.0,,,175837.0,56074.0,,,54982.0,52949.0,119690.0,89124.0,136730.0,41047.0,88652.0,13324.0,$122122,$25585,$112581,$19690,$115908,$85838,Not available,Not available,$175837,$56074,Not available,Not available,$54982,$52949,$119690,$89124,$136730,$41047,$88652,$13324
2010,6037480703,Census Tract 4807.03,South Pasadena,Los Angeles County,California,SouthPasadena,143602.0,31551.0,136104.0,48152.0,62142.0,449099.0,,,170992.0,41471.0,,,151993.0,41234.0,83465.0,29813.0,134145.0,40195.0,132553.0,40250.0,$143602,$31551,$136104,$48152,$62142,$449099,Not available,Not available,$170992,$41471,Not available,Not available,$151993,$41234,$83465,$29813,$134145,$40195,$132553,$40250
2010,6037480704,Census Tract 4807.04,South Pasadena,Los Angeles County,California,SouthPasadena,97315.0,9762.0,100604.0,12222.0,166532.0,73872.0,,,76722.0,18717.0,,,141784.0,30725.0,74261.0,213468.0,106462.0,20542.0,101595.0,32495.0,$97315,$9762,$100604,$12222,$166532,$73872,Not available,Not available,$76722,$18717,Not available,Not available,$141784,$30725,$74261,$213468,$106462,$20542,$101595,$32495
2011,6037183702,Census Tract 1837.02,South Pasadena,Los Angeles County,California,SouthPasadena,72249.0,6309.0,69778.0,10273.0,62687.0,105224.0,,,74656.0,71681.0,,,79032.0,42912.0,,,85840.0,47050.0,63132.0,13081.0,$72249,$6309,$69778,$10273,$62687,$105224,Not available,Not available,$74656,$71681,Not available,Not available,$79032,$42912,Not available,Not available,$85840,$47050,$63132,$13081
2011,6037464000,Census Tract 4640,South Pasadena,Los Angeles County,California,SouthPasadena,142287.0,12379.0,144858.0,26145.0,155574.0,84285.0,,,145963.0,56138.0,,,33975.0,29329.0,50738.0,101064.0,148285.0,22291.0,64034.0,55532.0,$142287,$12379,$144858,$26145,$155574,$84285,Not available,Not available,$145963,$56138,Not available,Not available,$33975,$29329,$50738,$101064,$148285,$22291,$64034,$55532
2011,6037480400,Census Tract 4804,South Pasadena,Los Angeles County,California,SouthPasadena,96096.0,21025.0,87171.0,22367.0,,,120436.0,13016.0,112279.0,27849.0,,,48726.0,21760.0,12521.0,258953.0,106764.0,24277.0,66226.0,32024.0,$96096,$21025,$87171,$22367,Not available,Not available,$120436,$13016,$112279,$27849,Not available,Not available,$48726,$21760,$12521,$258953,$106764,$24277,$66226,$32024
2011,6037480500,Census Tract 4805,South Pasadena,Los Angeles County,California,SouthPasadena,138580.0,25707.0,175451.0,79898.0,,,,,140887.0,124329.0,,,114240.0,75766.0,136735.0,90116.0,188400.0,47189.0,90733.0,27135.0,$138580,$25707,$175451,$79898,Not available,Not available,Not available,Not available,$140887,$124329,Not available,Not available,$114240,$75766,$136735,$90116,$188400,$47189,$90733,$27135
2011,6037480600,Census Tract 4806,South Pasadena,Los Angeles County,California,SouthPasadena,95854.0,13810.0,108113.0,33775.0,79098.0,13659.0,,,91146.0,17734.0,,,86879.0,96061.0,66103.0,76297.0,108411.0,32969.0,88175.0,59343.0,$95854,$13810,$108113,$33775,$79098,$13659,Not available,Not available,$91146,$17734,Not available,Not available,$86879,$96061,$66103,$76297,$108411,$32969,$88175,$59343
2011,6037480702,Census Tract 4807.02,South Pasadena,Los Angeles County,California,SouthPasadena,133769.0,25703.0,130025.0,29448.0,147073.0,138701.0,,,175296.0,61098.0,,,49355.0,14402.0,119275.0,131215.0,140917.0,32570.0,102208.0,33956.0,$133769,$25703,$130025,$29448,$147073,$138701,Not available,Not available,$175296,$61098,Not available,Not available,$49355,$14402,$119275,$131215,$140917,$32570,$102208,$33956
2011,6037480703,Census Tract 4807.03,South Pasadena,Los Angeles County,California,SouthPasadena,135497.0,21418.0,135323.0,20616.0,61998.0,36290.0,,,180401.0,29085.0,,,150391.0,47981.0,84394.0,36418.0,128153.0,25198.0,137854.0,24940.0,$135497,$21418,$135323,$20616,$61998,$36290,Not available,Not available,$180401,$29085,Not available,Not available,$150391,$47981,$84394,$36418,$128153,$25198,$137854,$24940
2011,6037480704,Census Tract 4807.04,South Pasadena,Los Angeles County,California,SouthPasadena,100797.0,10595.0,101682.0,9444.0,164857.0,53038.0,,,92115.0,18247.0,,,141138.0,8198.0,76829.0,135341.0,106780.0,16031.0,109149.0,32117.0,$100797,$10595,$101682,$9444,$164857,$53038,Not available,Not available,$92115,$18247,Not available,Not available,$141138,$8198,$76829,$135341,$106780,$16031,$109149,$32117
2012,6037183702,Census Tract 1837.02,South Pasadena,Los Angeles County,California,SouthPasadena,77636.0,9230.0,75374.0,13139.0,63765.0,76704.0,,,141579.0,63506.0,,,79120.0,51359.0,,,78768.0,27728.0,70757.0,21980.0,$77636,$9230,$75374,$13139,$63765,$76704,Not available,Not available,$141579,$63506,Not available,Not available,$79120,$51359,Not available,Not available,$78768,$27728,$70757,$21980
2012,6037464000,Census Tract 4640,South Pasadena,Los Angeles County,California,SouthPasadena,142070.0,11549.0,147190.0,23116.0,156493.0,76405.0,,,142090.0,14681.0,,,32191.0,10612.0,56930.0,138277.0,146846.0,27482.0,154382.0,41085.0,$142070,$11549,$147190,$23116,$156493,$76405,Not available,Not available,$142090,$14681,Not available,Not available,$32191,$10612,$56930,$138277,$146846,$27482,$154382,$41085
2012,6037480400,Census Tract 4804,South Pasadena,Los Angeles County,California,SouthPasadena,108871.0,20834.0,95688.0,43483.0,,,,,122719.0,25820.0,,,31770.0,4740.0,,,107952.0,30951.0,73906.0,91190.0,$108871,$20834,$95688,$43483,Not available,Not available,Not available,Not available,$122719,$25820,Not available,Not available,$31770,$4740,Not available,Not available,$107952,$30951,$73906,$91190
2012,6037480500,Census Tract 4805,South Pasadena,Los Angeles County,California,SouthPasadena,136097.0,21710.0,155812.0,54922.0,,,,,122847.0,112800.0,,,90778.0,155820.0,81429.0,92813.0,180553.0,37203.0,91384.0,27106.0,$136097,$21710,$155812,$54922,Not available,Not available,Not available,Not available,$122847,$112800,Not available,Not available,$90778,$155820,$81429,$92813,$180553,$37203,$91384,$27106
2012,6037480600,Census Tract 4806,South Pasadena,Los Angeles County,California,SouthPasadena,94808.0,9956.0,96492.0,14241.0,80136.0,12661.0,,,102627.0,14895.0,,,87832.0,51844.0,35387.0,49884.0,96047.0,13486.0,86686.0,58640.0,$94808,$9956,$96492,$14241,$80136,$12661,Not available,Not available,$102627,$14895,Not available,Not available,$87832,$51844,$35387,$49884,$96047,$13486,$86686,$58640
2012,6037480702,Census Tract 4807.02,South Pasadena,Los Angeles County,California,SouthPasadena,145902.0,26329.0,134197.0,30239.0,3333.0,,,,197901.0,23568.0,,,48177.0,7574.0,117976.0,221433.0,146199.0,42891.0,89581.0,42722.0,$145902,$26329,$134197,$30239,$3333,Not available,Not available,Not available,$197901,$23568,Not available,Not available,$48177,$7574,$117976,$221433,$146199,$42891,$89581,$42722
2012,6037480703,Census Tract 4807.03,South Pasadena,Los Angeles County,California,SouthPasadena,125104.0,22205.0,121471.0,22458.0,,,,,172205.0,29038.0,,,103238.0,110329.0,102211.0,17160.0,114469.0,33331.0,116290.0,27635.0,$125104,$22205,$121471,$22458,Not available,Not available,Not available,Not available,$172205,$29038,Not available,Not available,$103238,$110329,$102211,$17160,$114469,$33331,$116290,$27635
2012,6037480704,Census Tract 4807.04,South Pasadena,Los Angeles County,California,SouthPasadena,102523.0,19764.0,100356.0,27703.0,165974.0,144204.0,,,92142.0,15665.0,,,142869.0,157368.0,135197.0,77475.0,102273.0,25178.0,112298.0,21077.0,$102523,$19764,$100356,$27703,$165974,$144204,Not available,Not available,$92142,$15665,Not available,Not available,$142869,$157368,$135197,$77475,$102273,$25178,$112298,$21077
