YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,72615.0,9833.0,61745.0,24392.0,,,,,88322.0,20393.0,,,66272.0,8197.0,101034.0,10365.0,59456.0,68648.0,64927.0,5486.0,$72615,$9833,$61745,$24392,,,,,$88322,$20393,,,$66272,$8197,$101034,$10365,$59456,$68648,$64927,$5486
2010,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,78434.0,16193.0,104679.0,25206.0,,,,,90224.0,39220.0,,,44993.0,5270.0,63498.0,72218.0,56041.0,94385.0,59269.0,36063.0,$78434,$16193,$104679,$25206,,,,,$90224,$39220,,,$44993,$5270,$63498,$72218,$56041,$94385,$59269,$36063
2010,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,98764.0,10560.0,97209.0,7720.0,,,,,110520.0,13338.0,,,79403.0,14403.0,75384.0,142722.0,100550.0,33319.0,88201.0,16621.0,$98764,$10560,$97209,$7720,,,,,$110520,$13338,,,$79403,$14403,$75384,$142722,$100550,$33319,$88201,$16621
2011,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,68571.0,8154.0,65511.0,11949.0,,,,,73853.0,18227.0,,,66686.0,22853.0,102361.0,32937.0,100909.0,27089.0,64247.0,16832.0,$68571,$8154,$65511,$11949,,,,,$73853,$18227,,,$66686,$22853,$102361,$32937,$100909,$27089,$64247,$16832
2011,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,82088.0,18972.0,103752.0,32514.0,,,,,129349.0,56181.0,,,43258.0,16879.0,26717.0,63288.0,65764.0,117446.0,62984.0,29700.0,$82088,$18972,$103752,$32514,,,,,$129349,$56181,,,$43258,$16879,$26717,$63288,$65764,$117446,$62984,$29700
2011,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,98518.0,10007.0,94482.0,10989.0,,,,,111220.0,8681.0,,,76039.0,13055.0,76426.0,109394.0,117027.0,32448.0,77302.0,5924.0,$98518,$10007,$94482,$10989,,,,,$111220,$8681,,,$76039,$13055,$76426,$109394,$117027,$32448,$77302,$5924
2012,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,65947.0,9504.0,62144.0,36264.0,,,,,71772.0,20707.0,,,66066.0,11802.0,96228.0,168066.0,110769.0,49556.0,59959.0,25783.0,$65947,$9504,$62144,$36264,,,,,$71772,$20707,,,$66066,$11802,$96228,$168066,$110769,$49556,$59959,$25783
2012,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,83227.0,20403.0,97240.0,26649.0,,,,,132515.0,48353.0,,,40155.0,14321.0,30642.0,30913.0,132133.0,125427.0,58467.0,35155.0,$83227,$20403,$97240,$26649,,,,,$132515,$48353,,,$40155,$14321,$30642,$30913,$132133,$125427,$58467,$35155
2012,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,89941.0,13200.0,90192.0,16512.0,,,,,101817.0,22783.0,,,80296.0,18983.0,134063.0,141321.0,44261.0,118155.0,82113.0,17218.0,$89941,$13200,$90192,$16512,,,,,$101817,$22783,,,$80296,$18983,$134063,$141321,$44261,$118155,$82113,$17218
2013,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,66367.0,9818.0,51089.0,33197.0,,,,,65337.0,17341.0,,,73828.0,73616.0,76472.0,60489.0,100411.0,38239.0,64788.0,24729.0,$66367,$9818,$51089,$33197,,,,,$65337,$17341,,,$73828,$73616,$76472,$60489,$100411,$38239,$64788,$24729
2013,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,73312.0,32524.0,69947.0,28636.0,,,,,116157.0,28656.0,,,45865.0,20883.0,26780.0,11280.0,63391.0,60041.0,53981.0,27417.0,$73312,$32524,$69947,$28636,,,,,$116157,$28656,,,$45865,$20883,$26780,$11280,$63391,$60041,$53981,$27417
2013,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,81618.0,12878.0,91576.0,9937.0,,,,,84030.0,31973.0,,,72150.0,21238.0,47670.0,31373.0,88812.0,103968.0,80338.0,13545.0,$81618,$12878,$91576,$9937,,,,,$84030,$31973,,,$72150,$21238,$47670,$31373,$88812,$103968,$80338,$13545
2014,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,69097.0,15433.0,52753.0,36150.0,,,,,81473.0,16985.0,,,107687.0,101656.0,26779.0,58211.0,98100.0,21333.0,42291.0,29334.0,$69097,$15433,$52753,$36150,,,,,$81473,$16985,,,$107687,$101656,$26779,$58211,$98100,$21333,$42291,$29334
2014,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,72357.0,21581.0,70536.0,15156.0,,,,,89591.0,23209.0,,,46491.0,115323.0,26973.0,13383.0,64476.0,51588.0,62252.0,31137.0,$72357,$21581,$70536,$15156,,,,,$89591,$23209,,,$46491,$115323,$26973,$13383,$64476,$51588,$62252,$31137
2014,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,79897.0,13386.0,93910.0,10603.0,,,,,58860.0,37720.0,,,70718.0,24257.0,47387.0,189467.0,91194.0,118456.0,81575.0,12138.0,$79897,$13386,$93910,$10603,,,,,$58860,$37720,,,$70718,$24257,$47387,$189467,$91194,$118456,$81575,$12138
2015,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,68361.0,12815.0,,,,,,,83279.0,21453.0,,,,,,,110015.0,46330.0,36043.0,13390.0,$68361,$12815,,,,,,,$83279,$21453,,,,,,,$110015,$46330,$36043,$13390
2015,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,73033.0,19379.0,71455.0,26058.0,,,,,78843.0,20611.0,,,97441.0,58120.0,,,64095.0,53300.0,71818.0,32676.0,$73033,$19379,$71455,$26058,,,,,$78843,$20611,,,$97441,$58120,,,$64095,$53300,$71818,$32676
2015,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,85663.0,11217.0,96148.0,20213.0,,,,,82992.0,31772.0,,,57857.0,43882.0,66701.0,42946.0,134703.0,118770.0,87218.0,18452.0,$85663,$11217,$96148,$20213,,,,,$82992,$31772,,,$57857,$43882,$66701,$42946,$134703,$118770,$87218,$18452
2016,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,68636.0,20869.0,31813.0,22518.0,,,,,89342.0,11898.0,,,,,,,,,34664.0,15908.0,$68636,$20869,$31813,$22518,,,,,$89342,$11898,,,,,,,,,$34664,$15908
2016,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,67896.0,16894.0,64916.0,46239.0,,,,,72757.0,17032.0,,,61942.0,57401.0,,,105190.0,95037.0,62774.0,24866.0,$67896,$16894,$64916,$46239,,,,,$72757,$17032,,,$61942,$57401,,,$105190,$95037,$62774,$24866
2016,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,80173.0,14941.0,95765.0,18269.0,,,,,79047.0,43454.0,,,,,65925.0,39710.0,153671.0,108736.0,79948.0,14357.0,$80173,$14941,$95765,$18269,,,,,$79047,$43454,,,,,$65925,$39710,$153671,$108736,$79948,$14357
2017,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,70074.0,25901.0,,,,,,,91988.0,16725.0,,,56586.0,36216.0,,,,,54020.0,30674.0,$70074,$25901,,,,,,,$91988,$16725,,,$56586,$36216,,,,,$54020,$30674
2017,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,71945.0,16970.0,90473.0,54630.0,,,,,71526.0,14335.0,,,70747.0,48875.0,,,107149.0,63664.0,63756.0,37832.0,$71945,$16970,$90473,$54630,,,,,$71526,$14335,,,$70747,$48875,,,$107149,$63664,$63756,$37832
2017,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,71786.0,17734.0,97514.0,27791.0,,,,,60706.0,20076.0,,,70747.0,45115.0,57631.0,18461.0,199043.0,30172.0,71556.0,20816.0,$71786,$17734,$97514,$27791,,,,,$60706,$20076,,,$70747,$45115,$57631,$18461,$199043,$30172,$71556,$20816
2018,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,65938.0,17366.0,100933.0,33772.0,,,,,80066.0,31062.0,,,51920.0,27338.0,,,,,54357.0,15741.0,$65938,$17366,$100933,$33772,,,,,$80066,$31062,,,$51920,$27338,,,,,$54357,$15741
2018,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,74841.0,16268.0,95638.0,10513.0,,,,,62913.0,20393.0,,,105640.0,51864.0,87400.0,86834.0,105003.0,49479.0,94347.0,16235.0,$74841,$16268,$95638,$10513,,,,,$62913,$20393,,,$105640,$51864,$87400,$86834,$105003,$49479,$94347,$16235
2018,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,85028.0,17501.0,94675.0,24728.0,,,,,81080.0,29316.0,,,95023.0,56206.0,67314.0,403.0,179913.0,43883.0,74999.0,25285.0,$85028,$17501,$94675,$24728,,,,,$81080,$29316,,,$95023,$56206,$67314,$403,$179913,$43883,$74999,$25285
