YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037408133,Census Tract 4081.33,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,78757.0,9909.0,113959.0,44617.0,58719.0,50473.0,,,90570.0,21216.0,,,76084.0,24940.0,118228.0,39586.0,126925.0,116131.0,79911.0,8385.0,$78757,$9909,$113959,$44617,$58719,$50473,,,$90570,$21216,,,$76084,$24940,$118228,$39586,$126925,$116131,$79911,$8385
2010,6037408137,Census Tract 4081.37,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,82121.0,19074.0,114755.0,78397.0,79464.0,4791.0,,,85023.0,37473.0,,,82061.0,87227.0,,,145075.0,188327.0,82884.0,79461.0,$82121,$19074,$114755,$78397,$79464,$4791,,,$85023,$37473,,,$82061,$87227,,,$145075,$188327,$82884,$79461
2010,6037408138,Census Tract 4081.38,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,63321.0,12659.0,62979.0,10757.0,24122.0,163602.0,,,24298.0,2788.0,,,94429.0,52554.0,,,108466.0,51449.0,63198.0,11266.0,$63321,$12659,$62979,$10757,$24122,$163602,,,$24298,$2788,,,$94429,$52554,,,$108466,$51449,$63198,$11266
2010,6037408139,Census Tract 4081.39,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,80468.0,18007.0,87194.0,19654.0,,,,,,,,,70233.0,26968.0,35552.0,8437.0,40757.0,10585.0,87703.0,19645.0,$80468,$18007,$87194,$19654,,,,,,,,,$70233,$26968,$35552,$8437,$40757,$10585,$87703,$19645
2010,6037408140,Census Tract 4081.40,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,78187.0,14458.0,69257.0,18556.0,,,,,74757.0,23335.0,,,85998.0,6395.0,,,45823.0,26910.0,80747.0,15543.0,$78187,$14458,$69257,$18556,,,,,$74757,$23335,,,$85998,$6395,,,$45823,$26910,$80747,$15543
2010,6037408141,Census Tract 4081.41,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,75701.0,8232.0,71991.0,9755.0,32281.0,25520.0,,,124452.0,26890.0,,,99815.0,32003.0,81651.0,38462.0,27938.0,85689.0,74297.0,8040.0,$75701,$8232,$71991,$9755,$32281,$25520,,,$124452,$26890,,,$99815,$32003,$81651,$38462,$27938,$85689,$74297,$8040
2010,6037408211,Census Tract 4082.11,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,75954.0,5843.0,56041.0,43787.0,,,,,78227.0,12812.0,,,79831.0,25176.0,45056.0,87878.0,41353.0,61012.0,74936.0,10971.0,$75954,$5843,$56041,$43787,,,,,$78227,$12812,,,$79831,$25176,$45056,$87878,$41353,$61012,$74936,$10971
2011,6037408133,Census Tract 4081.33,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,80447.0,11781.0,94797.0,41491.0,59908.0,69567.0,,,92957.0,32054.0,,,76013.0,36574.0,124105.0,12967.0,72771.0,58904.0,81519.0,4399.0,$80447,$11781,$94797,$41491,$59908,$69567,,,$92957,$32054,,,$76013,$36574,$124105,$12967,$72771,$58904,$81519,$4399
2011,6037408137,Census Tract 4081.37,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,81130.0,15483.0,88156.0,46537.0,137643.0,53134.0,,,82882.0,22270.0,,,58652.0,31415.0,,,87945.0,60142.0,59419.0,32210.0,$81130,$15483,$88156,$46537,$137643,$53134,,,$82882,$22270,,,$58652,$31415,,,$87945,$60142,$59419,$32210
2011,6037408138,Census Tract 4081.38,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,71400.0,14354.0,72226.0,17804.0,23397.0,164122.0,,,23942.0,37296.0,,,78039.0,64592.0,,,77856.0,44734.0,71700.0,12643.0,$71400,$14354,$72226,$17804,$23397,$164122,,,$23942,$37296,,,$78039,$64592,,,$77856,$44734,$71700,$12643
2011,6037408139,Census Tract 4081.39,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,88121.0,19003.0,93174.0,13982.0,,,,,,,,,71391.0,14049.0,43172.0,28897.0,45953.0,28968.0,91210.0,16157.0,$88121,$19003,$93174,$13982,,,,,,,,,$71391,$14049,$43172,$28897,$45953,$28968,$91210,$16157
2011,6037408140,Census Tract 4081.40,South San Jose Hills,Los Angeles County,California,SouthSanJoseHills,80969.0,15820.0,65259.0,33271.0,,,,,76593.0,35770.0,,,87595.0,13743.0,,,44594.0,14200.0,83482.0,16723.0,$80969,$15820,$65259,$33271,,,,,$76593,$35770,,,$87595,$13743,,,$44594,$14200,$83482,$16723
