YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037502005,Census Tract 5020.05,South Whittier,Los Angeles County,California,SouthWhittier,95039.0,15912.0,81730.0,16764.0,,,102018.0,132296.0,,,,,105785.0,17486.0,73057.0,36512.0,80784.0,30739.0,97087.0,18156.0,$95039,$15912,$81730,$16764,Not available,Not available,$102018,$132296,Not available,Not available,Not available,Not available,$105785,$17486,$73057,$36512,$80784,$30739,$97087,$18156
2010,6037502901,Census Tract 5029.01,South Whittier,Los Angeles County,California,SouthWhittier,112630.0,20507.0,87531.0,20936.0,,,,,120278.0,27778.0,,,117756.0,7866.0,,,74452.0,25247.0,117258.0,10911.0,$112630,$20507,$87531,$20936,Not available,Not available,Not available,Not available,$120278,$27778,Not available,Not available,$117756,$7866,Not available,Not available,$74452,$25247,$117258,$10911
2010,6037502902,Census Tract 5029.02,South Whittier,Los Angeles County,California,SouthWhittier,73471.0,12175.0,77471.0,12935.0,,,,,117518.0,101434.0,,,58593.0,20157.0,,,80176.0,10478.0,71162.0,22659.0,$73471,$12175,$77471,$12935,Not available,Not available,Not available,Not available,$117518,$101434,Not available,Not available,$58593,$20157,Not available,Not available,$80176,$10478,$71162,$22659
2010,6037503000,Census Tract 5030,South Whittier,Los Angeles County,California,SouthWhittier,82327.0,13322.0,63062.0,42844.0,114895.0,6362.0,,,,,,,84899.0,21702.0,131074.0,63352.0,94638.0,82023.0,79757.0,4617.0,$82327,$13322,$63062,$42844,$114895,$6362,Not available,Not available,Not available,Not available,Not available,Not available,$84899,$21702,$131074,$63352,$94638,$82023,$79757,$4617
2010,6037503103,Census Tract 5031.03,South Whittier,Los Angeles County,California,SouthWhittier,98193.0,13299.0,95162.0,26920.0,,,,,107606.0,96663.0,,,102833.0,24270.0,31221.0,30473.0,75650.0,38474.0,99501.0,14371.0,$98193,$13299,$95162,$26920,Not available,Not available,Not available,Not available,$107606,$96663,Not available,Not available,$102833,$24270,$31221,$30473,$75650,$38474,$99501,$14371
2010,6037503104,Census Tract 5031.04,South Whittier,Los Angeles County,California,SouthWhittier,72814.0,33158.0,78802.0,46657.0,,,,,,,,,71666.0,55402.0,,,80160.0,13795.0,64452.0,48458.0,$72814,$33158,$78802,$46657,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$71666,$55402,Not available,Not available,$80160,$13795,$64452,$48458
2010,6037503105,Census Tract 5031.05,South Whittier,Los Angeles County,California,SouthWhittier,80979.0,8302.0,83990.0,25450.0,,,,,38366.0,192796.0,,,55586.0,33960.0,,,146202.0,39553.0,78931.0,10253.0,$80979,$8302,$83990,$25450,Not available,Not available,Not available,Not available,$38366,$192796,Not available,Not available,$55586,$33960,Not available,Not available,$146202,$39553,$78931,$10253
2010,6037503106,Census Tract 5031.06,South Whittier,Los Angeles County,California,SouthWhittier,84268.0,22834.0,80386.0,16969.0,,,,,163032.0,71430.0,,,75516.0,50002.0,108481.0,55048.0,71250.0,28353.0,87066.0,27940.0,$84268,$22834,$80386,$16969,Not available,Not available,Not available,Not available,$163032,$71430,Not available,Not available,$75516,$50002,$108481,$55048,$71250,$28353,$87066,$27940
2010,6037503201,Census Tract 5032.01,South Whittier,Los Angeles County,California,SouthWhittier,122096.0,42255.0,99443.0,41481.0,,,,,62818.0,134631.0,,,160354.0,9903.0,96590.0,115580.0,109761.0,65609.0,155312.0,72731.0,$122096,$42255,$99443,$41481,Not available,Not available,Not available,Not available,$62818,$134631,Not available,Not available,$160354,$9903,$96590,$115580,$109761,$65609,$155312,$72731
2010,6037503202,Census Tract 5032.02,South Whittier,Los Angeles County,California,SouthWhittier,89419.0,20521.0,81044.0,14961.0,,,,,126193.0,63649.0,,,92993.0,49986.0,,,80492.0,16519.0,91563.0,35625.0,$89419,$20521,$81044,$14961,Not available,Not available,Not available,Not available,$126193,$63649,Not available,Not available,$92993,$49986,Not available,Not available,$80492,$16519,$91563,$35625
