YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,74167.0,9739.0,79137.0,19196.0,68561.0,37267.0,,,,,,,75775.0,32665.0,,,103370.0,39394.0,73132.0,28902.0,$74167,$9739,$79137,$19196,$68561,$37267,Not available,Not available,Not available,Not available,Not available,Not available,$75775,$32665,Not available,Not available,$103370,$39394,$73132,$28902,1
2013,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,68397.0,15565.0,73715.0,31335.0,74585.0,84178.0,,,67581.0,200680.0,,,54125.0,20810.0,65939.0,155342.0,76796.0,33382.0,53436.0,12315.0,$68397,$15565,$73715,$31335,$74585,$84178,Not available,Not available,$67581,$200680,Not available,Not available,$54125,$20810,$65939,$155342,$76796,$33382,$53436,$12315,1
2013,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,41801.0,22033.0,28549.0,18331.0,109889.0,15736.0,,,6240.0,397530.0,,,41950.0,15807.0,,,31201.0,46790.0,31858.0,21026.0,$41801,$22033,$28549,$18331,$109889,$15736,Not available,Not available,$6240,$397530,Not available,Not available,$41950,$15807,Not available,Not available,$31201,$46790,$31858,$21026,1
2013,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,69792.0,8179.0,77886.0,9668.0,43443.0,31694.0,,,,,,,73851.0,9883.0,24516.0,158951.0,78543.0,30655.0,72303.0,9617.0,$69792,$8179,$77886,$9668,$43443,$31694,Not available,Not available,Not available,Not available,Not available,Not available,$73851,$9883,$24516,$158951,$78543,$30655,$72303,$9617,1
2011,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,82215.0,16579.0,100360.0,20784.0,23518.0,17498.0,,,,,,,76037.0,25795.0,47464.0,192477.0,103437.0,25579.0,82575.0,15195.0,$82215,$16579,$100360,$20784,$23518,$17498,Not available,Not available,Not available,Not available,Not available,Not available,$76037,$25795,$47464,$192477,$103437,$25579,$82575,$15195,1
2011,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,69311.0,14873.0,64363.0,40923.0,44015.0,44972.0,,,,,,,70973.0,17063.0,66374.0,189650.0,93180.0,40836.0,62600.0,14141.0,$69311,$14873,$64363,$40923,$44015,$44972,Not available,Not available,Not available,Not available,Not available,Not available,$70973,$17063,$66374,$189650,$93180,$40836,$62600,$14141,1
2011,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,22747.0,10501.0,28870.0,11871.0,108071.0,3861.0,140175.0,57146.0,3402.0,,,,16301.0,2885.0,,,22231.0,8568.0,21308.0,9795.0,$22747,$10501,$28870,$11871,$108071,$3861,$140175,$57146,$3402,Not available,Not available,Not available,$16301,$2885,Not available,Not available,$22231,$8568,$21308,$9795,1
2011,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,76690.0,10043.0,75310.0,9856.0,85946.0,154409.0,,,96878.0,46070.0,,,84386.0,27478.0,54574.0,171256.0,75202.0,29017.0,79777.0,17380.0,$76690,$10043,$75310,$9856,$85946,$154409,Not available,Not available,$96878,$46070,Not available,Not available,$84386,$27478,$54574,$171256,$75202,$29017,$79777,$17380,1
2022,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,62909.0,19425.0,66380.0,30792.0,,,,,,,,,77674.0,44526.0,62795.0,12390.0,75979.0,42450.0,63229.0,16593.0,$62909,$19425,$66380,$30792,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$77674,$44526,$62795,$12390,$75979,$42450,$63229,$16593,1
2022,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,95421.0,18969.0,88673.0,17929.0,117935.0,14370.0,,,,,,,77798.0,32870.0,104881.0,39741.0,140875.0,114602.0,85361.0,13884.0,$95421,$18969,$88673,$17929,$117935,$14370,Not available,Not available,Not available,Not available,Not available,Not available,$77798,$32870,$104881,$39741,$140875,$114602,$85361,$13884,1
2022,6037911100,Census Tract 9111,Sun Village,Los Angeles County,California,SunVillage,67822.0,6297.0,67946.0,17548.0,21647.0,10653.0,91868.0,44543.0,61360.0,26793.0,,,70225.0,17588.0,73623.0,25913.0,,,69634.0,8046.0,$67822,$6297,$67946,$17548,$21647,$10653,$91868,$44543,$61360,$26793,Not available,Not available,$70225,$17588,$73623,$25913,Not available,Not available,$69634,$8046,1
2012,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,89679.0,17356.0,101895.0,15093.0,45010.0,48097.0,,,,,,,86989.0,21146.0,46492.0,201175.0,102998.0,12069.0,87557.0,14219.0,$89679,$17356,$101895,$15093,$45010,$48097,Not available,Not available,Not available,Not available,Not available,Not available,$86989,$21146,$46492,$201175,$102998,$12069,$87557,$14219,1
2012,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,66742.0,17086.0,63732.0,35671.0,75053.0,68953.0,,,68825.0,258384.0,,,61451.0,22868.0,57394.0,108970.0,88261.0,33626.0,54750.0,8531.0,$66742,$17086,$63732,$35671,$75053,$68953,Not available,Not available,$68825,$258384,Not available,Not available,$61451,$22868,$57394,$108970,$88261,$33626,$54750,$8531,1
2012,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,25707.0,6128.0,28757.0,11703.0,111930.0,23291.0,140587.0,60883.0,3333.0,,,,16389.0,7504.0,,,28006.0,27853.0,20449.0,9910.0,$25707,$6128,$28757,$11703,$111930,$23291,$140587,$60883,$3333,Not available,Not available,Not available,$16389,$7504,Not available,Not available,$28006,$27853,$20449,$9910,1
2012,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,70730.0,7264.0,73100.0,12020.0,49678.0,35327.0,,,69599.0,143981.0,,,77573.0,20318.0,41676.0,115546.0,77495.0,12360.0,72683.0,11536.0,$70730,$7264,$73100,$12020,$49678,$35327,Not available,Not available,$69599,$143981,Not available,Not available,$77573,$20318,$41676,$115546,$77495,$12360,$72683,$11536,1
2019,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,55685.0,18068.0,70838.0,11672.0,31490.0,24731.0,,,,,,,40266.0,15430.0,,,79805.0,51101.0,61976.0,14993.0,$55685,$18068,$70838,$11672,$31490,$24731,Not available,Not available,Not available,Not available,Not available,Not available,$40266,$15430,Not available,Not available,$79805,$51101,$61976,$14993,1
2019,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,56043.0,15525.0,55567.0,27840.0,99029.0,22501.0,,,,,,,55805.0,22557.0,,,72669.0,44755.0,54908.0,11197.0,$56043,$15525,$55567,$27840,$99029,$22501,Not available,Not available,Not available,Not available,Not available,Not available,$55805,$22557,Not available,Not available,$72669,$44755,$54908,$11197,1
2019,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,52714.0,7238.0,61807.0,18842.0,,,,,,,,,51446.0,5630.0,,,69576.0,12326.0,51038.0,10113.0,$52714,$7238,$61807,$18842,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$51446,$5630,Not available,Not available,$69576,$12326,$51038,$10113,1
2019,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,71847.0,7727.0,82097.0,15289.0,75075.0,32334.0,,,70634.0,35869.0,,,65646.0,12273.0,,,77441.0,37773.0,73080.0,9700.0,$71847,$7727,$82097,$15289,$75075,$32334,Not available,Not available,$70634,$35869,Not available,Not available,$65646,$12273,Not available,Not available,$77441,$37773,$73080,$9700,1
2010,6037910001,Census Tract 9100.01,Sun Village,Los Angeles County,California,SunVillage,92743.0,20140.0,104785.0,10413.0,29473.0,33061.0,,,,,,,63083.0,16633.0,94833.0,147921.0,103087.0,12989.0,86092.0,26694.0,$92743,$20140,$104785,$10413,$29473,$33061,Not available,Not available,Not available,Not available,Not available,Not available,$63083,$16633,$94833,$147921,$103087,$12989,$86092,$26694,1
2010,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,64575.0,10860.0,58277.0,8087.0,69745.0,40967.0,,,,,,,72144.0,14239.0,68221.0,164277.0,60734.0,15145.0,64595.0,15307.0,$64575,$10860,$58277,$8087,$69745,$40967,Not available,Not available,Not available,Not available,Not available,Not available,$72144,$14239,$68221,$164277,$60734,$15145,$64595,$15307,1
2010,6037910101,Census Tract 9101.01,Sun Village,Los Angeles County,California,SunVillage,30323.0,16251.0,30090.0,5831.0,,,,,111408.0,64971.0,,,16960.0,7536.0,,,28852.0,18694.0,22087.0,10493.0,$30323,$16251,$30090,$5831,Not available,Not available,Not available,Not available,$111408,$64971,Not available,Not available,$16960,$7536,Not available,Not available,$28852,$18694,$22087,$10493,1
2010,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,85943.0,22257.0,76533.0,14861.0,102991.0,93888.0,,,154968.0,110597.0,,,97437.0,21036.0,38577.0,41478.0,59710.0,32214.0,94966.0,23842.0,$85943,$22257,$76533,$14861,$102991,$93888,Not available,Not available,$154968,$110597,Not available,Not available,$97437,$21036,$38577,$41478,$59710,$32214,$94966,$23842,1
2023,6037910002,Census Tract 9100.02,Sun Village,Los Angeles County,California,SunVillage,64921.0,18432.0,56866.0,20829.0,,,,,,,,,101116.0,23688.0,62837.0,11540.0,56330.0,19851.0,78371.0,27732.0,$64921,$18432,$56866,$20829,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$101116,$23688,$62837,$11540,$56330,$19851,$78371,$27732,1
2023,6037910706,Census Tract 9107.06,Sun Village,Los Angeles County,California,SunVillage,106585.0,21105.0,101103.0,44622.0,118372.0,3010.0,,,,,,,88920.0,31279.0,105787.0,50358.0,100809.0,51040.0,89091.0,27506.0,$106585,$21105,$101103,$44622,$118372,$3010,Not available,Not available,Not available,Not available,Not available,Not available,$88920,$31279,$105787,$50358,$100809,$51040,$89091,$27506,1
