YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,115168.0,35281.0,82676.0,54217.0,,,,,124736.0,14587.0,,,90188.0,62682.0,32444.0,216645.0,81267.0,59928.0,108942.0,55623.0,$115168,$35281,$82676,$54217,,,,,$124736,$14587,,,$90188,$62682,$32444,$216645,$81267,$59928,$108942,$55623
2010,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,102375.0,8596.0,92920.0,30750.0,,,,,106997.0,39347.0,,,94542.0,62789.0,53329.0,376280.0,88581.0,47194.0,94891.0,47704.0,$102375,$8596,$92920,$30750,,,,,$106997,$39347,,,$94542,$62789,$53329,$376280,$88581,$47194,$94891,$47704
2010,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,92622.0,16329.0,84614.0,15560.0,,,,,96498.0,33494.0,,,239892.0,56252.0,129678.0,577317.0,86880.0,20283.0,88782.0,77794.0,$92622,$16329,$84614,$15560,,,,,$96498,$33494,,,$239892,$56252,$129678,$577317,$86880,$20283,$88782,$77794
2010,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,85988.0,20390.0,58594.0,10753.0,,,72172.0,230243.0,99195.0,17867.0,,,142257.0,117864.0,,,59263.0,19952.0,62519.0,59600.0,$85988,$20390,$58594,$10753,,,$72172,$230243,$99195,$17867,,,$142257,$117864,,,$59263,$19952,$62519,$59600
2010,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,95618.0,10471.0,86426.0,25692.0,58912.0,17399.0,,,103800.0,22338.0,,,86012.0,32245.0,179372.0,140515.0,82210.0,18620.0,89512.0,37618.0,$95618,$10471,$86426,$25692,$58912,$17399,,,$103800,$22338,,,$86012,$32245,$179372,$140515,$82210,$18620,$89512,$37618
2010,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,123915.0,44581.0,137391.0,19750.0,84965.0,30203.0,,,101235.0,43935.0,,,46801.0,191639.0,35753.0,2913.0,146744.0,18977.0,55499.0,61298.0,$123915,$44581,$137391,$19750,$84965,$30203,,,$101235,$43935,,,$46801,$191639,$35753,$2913,$146744,$18977,$55499,$61298
2010,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,112010.0,11885.0,106659.0,23416.0,,,57153.0,184166.0,113498.0,10854.0,,,112551.0,43630.0,,,105473.0,14801.0,113086.0,58118.0,$112010,$11885,$106659,$23416,,,$57153,$184166,$113498,$10854,,,$112551,$43630,,,$105473,$14801,$113086,$58118
2010,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,79037.0,20779.0,113332.0,18801.0,149419.0,123844.0,,,58653.0,21579.0,,,137712.0,10796.0,45285.0,49384.0,113439.0,27224.0,127335.0,54724.0,$79037,$20779,$113332,$18801,$149419,$123844,,,$58653,$21579,,,$137712,$10796,$45285,$49384,$113439,$27224,$127335,$54724
2010,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,86115.0,21051.0,83158.0,29672.0,,,,,98136.0,10437.0,,,54567.0,79194.0,,,81350.0,29017.0,77373.0,47320.0,$86115,$21051,$83158,$29672,,,,,$98136,$10437,,,$54567,$79194,,,$81350,$29017,$77373,$47320
2010,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,123053.0,22405.0,129969.0,24103.0,,,,,119675.0,30820.0,,,76830.0,69134.0,,,124962.0,41253.0,109596.0,68947.0,$123053,$22405,$129969,$24103,,,,,$119675,$30820,,,$76830,$69134,,,$124962,$41253,$109596,$68947
2010,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,70312.0,15073.0,80627.0,32823.0,,,34977.0,108847.0,64908.0,17047.0,,,65803.0,45835.0,87376.0,8899.0,79181.0,26639.0,68334.0,45021.0,$70312,$15073,$80627,$32823,,,$34977,$108847,$64908,$17047,,,$65803,$45835,$87376,$8899,$79181,$26639,$68334,$45021
2010,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,88108.0,9518.0,105547.0,30763.0,13897.0,117524.0,,,83278.0,12427.0,,,58122.0,25993.0,,,102376.0,4579.0,89087.0,24649.0,$88108,$9518,$105547,$30763,$13897,$117524,,,$83278,$12427,,,$58122,$25993,,,$102376,$4579,$89087,$24649
2011,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,85734.0,29297.0,85082.0,50809.0,,,,,120284.0,27994.0,,,50805.0,47687.0,30812.0,159871.0,71974.0,82674.0,82953.0,41981.0,$85734,$29297,$85082,$50809,,,,,$120284,$27994,,,$50805,$47687,$30812,$159871,$71974,$82674,$82953,$41981
2011,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,96287.0,16335.0,79800.0,23799.0,,,,,100872.0,23282.0,,,71962.0,122228.0,200593.0,216919.0,78775.0,28388.0,85843.0,64111.0,$96287,$16335,$79800,$23799,,,,,$100872,$23282,,,$71962,$122228,$200593,$216919,$78775,$28388,$85843,$64111
2011,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,86477.0,11380.0,79386.0,15265.0,149301.0,9006.0,,,88762.0,21149.0,,,37454.0,256709.0,148064.0,113295.0,81172.0,12710.0,37726.0,56216.0,$86477,$11380,$79386,$15265,$149301,$9006,,,$88762,$21149,,,$37454,$256709,$148064,$113295,$81172,$12710,$37726,$56216
2011,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,85009.0,18202.0,52254.0,11869.0,,,,,129859.0,28000.0,,,144707.0,142933.0,162118.0,185871.0,52849.0,15637.0,103801.0,114445.0,$85009,$18202,$52254,$11869,,,,,$129859,$28000,,,$144707,$142933,$162118,$185871,$52849,$15637,$103801,$114445
2011,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,95204.0,14253.0,83148.0,20433.0,56878.0,19485.0,,,112389.0,22960.0,,,89134.0,15815.0,178257.0,213506.0,78398.0,20232.0,89603.0,26095.0,$95204,$14253,$83148,$20433,$56878,$19485,,,$112389,$22960,,,$89134,$15815,$178257,$213506,$78398,$20232,$89603,$26095
2011,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,121056.0,38081.0,132123.0,15976.0,85788.0,67883.0,,,100980.0,34880.0,,,72529.0,97495.0,34454.0,2761.0,132707.0,20700.0,81755.0,56542.0,$121056,$38081,$132123,$15976,$85788,$67883,,,$100980,$34880,,,$72529,$97495,$34454,$2761,$132707,$20700,$81755,$56542
2011,6037432102,Census Tract 4321.02,Temple City,Los Angeles County,California,TempleCity,99773.0,12318.0,102895.0,27110.0,,,,,100259.0,13575.0,,,68512.0,45133.0,,,102661.0,25516.0,68261.0,36351.0,$99773,$12318,$102895,$27110,,,,,$100259,$13575,,,$68512,$45133,,,$102661,$25516,$68261,$36351
2011,6037480012,Census Tract 4800.12,Temple City,Los Angeles County,California,TempleCity,79692.0,30142.0,113289.0,20542.0,,,,,69525.0,14368.0,,,132853.0,50208.0,43645.0,35664.0,113152.0,25746.0,127013.0,91121.0,$79692,$30142,$113289,$20542,,,,,$69525,$14368,,,$132853,$50208,$43645,$35664,$113152,$25746,$127013,$91121
2011,6037480101,Census Tract 4801.01,Temple City,Los Angeles County,California,TempleCity,93281.0,13547.0,93246.0,13037.0,,,,,99463.0,35573.0,,,54478.0,39950.0,,,93246.0,10730.0,92150.0,56983.0,$93281,$13547,$93246,$13037,,,,,$99463,$35573,,,$54478,$39950,,,$93246,$10730,$92150,$56983
2011,6037480102,Census Tract 4801.02,Temple City,Los Angeles County,California,TempleCity,110545.0,27987.0,133144.0,27191.0,,,,,106691.0,30421.0,,,58526.0,39231.0,,,121792.0,46854.0,109844.0,73962.0,$110545,$27987,$133144,$27191,,,,,$106691,$30421,,,$58526,$39231,,,$121792,$46854,$109844,$73962
2011,6037481201,Census Tract 4812.01,Temple City,Los Angeles County,California,TempleCity,66244.0,14424.0,66841.0,28556.0,,,,,61864.0,13284.0,,,95630.0,58670.0,84286.0,2804.0,77325.0,33964.0,65915.0,52725.0,$66244,$14424,$66841,$28556,,,,,$61864,$13284,,,$95630,$58670,$84286,$2804,$77325,$33964,$65915,$52725
2011,6037481202,Census Tract 4812.02,Temple City,Los Angeles County,California,TempleCity,81814.0,13725.0,102099.0,22239.0,13781.0,127728.0,,,72278.0,20075.0,,,54309.0,67661.0,,,97230.0,27491.0,91696.0,35945.0,$81814,$13725,$102099,$22239,$13781,$127728,,,$72278,$20075,,,$54309,$67661,,,$97230,$27491,$91696,$35945
2012,6037431501,Census Tract 4315.01,Temple City,Los Angeles County,California,TempleCity,73057.0,20735.0,72814.0,23526.0,,,,,99315.0,45872.0,,,49192.0,33617.0,30081.0,183547.0,73047.0,48260.0,50337.0,33006.0,$73057,$20735,$72814,$23526,,,,,$99315,$45872,,,$49192,$33617,$30081,$183547,$73047,$48260,$50337,$33006
2012,6037431502,Census Tract 4315.02,Temple City,Los Angeles County,California,TempleCity,88846.0,15124.0,90091.0,33497.0,176063.0,93461.0,,,94776.0,20230.0,,,72541.0,52382.0,54340.0,283800.0,90091.0,40307.0,79405.0,31645.0,$88846,$15124,$90091,$33497,$176063,$93461,,,$94776,$20230,,,$72541,$52382,$54340,$283800,$90091,$40307,$79405,$31645
2012,6037431800,Census Tract 4318,Temple City,Los Angeles County,California,TempleCity,85275.0,15693.0,73598.0,21681.0,148417.0,189165.0,,,95149.0,20356.0,,,35763.0,12153.0,149154.0,156261.0,79068.0,21803.0,36621.0,50477.0,$85275,$15693,$73598,$21681,$148417,$189165,,,$95149,$20356,,,$35763,$12153,$149154,$156261,$79068,$21803,$36621,$50477
2012,6037431900,Census Tract 4319,Temple City,Los Angeles County,California,TempleCity,80190.0,17664.0,51235.0,17937.0,,,70586.0,9562.0,99100.0,47778.0,,,68068.0,120492.0,161915.0,192465.0,50010.0,17569.0,97813.0,113011.0,$80190,$17664,$51235,$17937,,,$70586,$9562,$99100,$47778,,,$68068,$120492,$161915,$192465,$50010,$17569,$97813,$113011
2012,6037432000,Census Tract 4320,Temple City,Los Angeles County,California,TempleCity,90010.0,10656.0,79821.0,14263.0,,,,,97700.0,12487.0,,,90949.0,11166.0,178014.0,209759.0,78214.0,7335.0,90995.0,14100.0,$90010,$10656,$79821,$14263,,,,,$97700,$12487,,,$90949,$11166,$178014,$209759,$78214,$7335,$90995,$14100
2012,6037432101,Census Tract 4321.01,Temple City,Los Angeles County,California,TempleCity,107251.0,30811.0,129056.0,13327.0,3431.0,,,,99269.0,22723.0,,,43727.0,34652.0,,,128583.0,10624.0,70602.0,64036.0,$107251,$30811,$129056,$13327,$3431,,,,$99269,$22723,,,$43727,$34652,,,$128583,$10624,$70602,$64036
