YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,184561.0,19973.0,181684.0,20810.0,,,,,247819.0,173390.0,,,,,,,182729.0,21256.0,133381.0,261239.0
2013,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,159330.0,27594.0,158743.0,27589.0,,,,,71270.0,247495.0,,,,,232368.0,196170.0,160385.0,24746.0,139585.0,230693.0
2013,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,170129.0,47137.0,161262.0,44636.0,,,,,328436.0,,,,,,103047.0,160016.0,161481.0,46011.0,53987.0,63084.0
2011,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,200338.0,41472.0,184599.0,41303.0,340381.0,,,,249394.0,277344.0,,,340381.0,,67793.0,290882.0,185734.0,42598.0,220056.0,216268.0
2011,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,175847.0,35375.0,175342.0,28369.0,340381.0,,,,71436.0,253251.0,,,,,313593.0,517947.0,175617.0,25793.0,138355.0,474179.0
2011,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,179040.0,60656.0,179721.0,60653.0,,,,,237465.0,209364.0,,,,,144889.0,277423.0,169551.0,59117.0,57148.0,506988.0
2022,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,194676.0,27265.0,195397.0,43049.0,,,,,190822.0,42928.0,,,,,260314.0,,199697.0,37862.0,260314.0,
2022,6037800103,Census Tract 8001.03,Topanga,Los Angeles County,California,Topanga,139652.0,17340.0,135549.0,33612.0,,,,,260314.0,,,,,,158199.0,86097.0,138255.0,18725.0,67030.0,34958.0
2022,6037800104,Census Tract 8001.04,Topanga,Los Angeles County,California,Topanga,145138.0,49252.0,144827.0,59821.0,,,,,,,,,,,,,145518.0,68581.0,,
2022,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,248002.0,86158.0,220485.0,114080.0,,,,,249249.0,197662.0,,,,,207889.0,138133.0,220038.0,112758.0,260314.0,
2012,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,181418.0,23501.0,177589.0,21346.0,333409.0,,,,268393.0,125058.0,,,,,220352.0,67308.0,178078.0,24892.0,220201.0,272911.0
2012,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,168704.0,25768.0,165644.0,23392.0,333409.0,,,,108613.0,188982.0,,,,,231479.0,191783.0,170070.0,21525.0,128295.0,166337.0
2012,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,196786.0,52452.0,173372.0,55947.0,,,,,235319.0,207415.0,,,,,145143.0,119477.0,168927.0,56401.0,55922.0,488981.0
2019,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,169962.0,16511.0,167653.0,15890.0,,,,,287126.0,88791.0,,,,,,,175078.0,19706.0,,
2019,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,156266.0,17412.0,157013.0,20945.0,,,,,191769.0,110949.0,,,,,,,157947.0,23883.0,,
2019,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,202202.0,28262.0,205939.0,50657.0,,,,,199792.0,75129.0,,,,,,,214457.0,51954.0,,
