YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,131557.0,9135.0,83594.0,30258.0,147748.0,63450.0,,,151403.0,40292.0,,,131956.0,12687.0,204107.0,133604.0,61831.0,108838.0,131339.0,10442.0,$131557,$9135,$83594,$30258,$147748,$63450,Not available,Not available,$151403,$40292,Not available,Not available,$131956,$12687,$204107,$133604,$61831,$108838,$131339,$10442
2010,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,108883.0,32326.0,99640.0,23305.0,140103.0,85953.0,,,144335.0,67250.0,,,80232.0,84632.0,,,91823.0,31253.0,94297.0,49989.0,$108883,$32326,$99640,$23305,$140103,$85953,Not available,Not available,$144335,$67250,Not available,Not available,$80232,$84632,Not available,Not available,$91823,$31253,$94297,$49989
2010,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,87258.0,13294.0,88979.0,16175.0,34772.0,34973.0,,,52685.0,44327.0,,,114151.0,45863.0,24001.0,83067.0,85439.0,45311.0,94947.0,10318.0,$87258,$13294,$88979,$16175,$34772,$34973,Not available,Not available,$52685,$44327,Not available,Not available,$114151,$45863,$24001,$83067,$85439,$45311,$94947,$10318
2010,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,67705.0,6657.0,67408.0,11938.0,,,,,74136.0,6333.0,,,65460.0,4754.0,,,53173.0,9405.0,68304.0,8144.0,$67705,$6657,$67408,$11938,Not available,Not available,Not available,Not available,$74136,$6333,Not available,Not available,$65460,$4754,Not available,Not available,$53173,$9405,$68304,$8144
2010,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,95210.0,20317.0,89750.0,23537.0,,,,,118205.0,38450.0,,,83351.0,86719.0,82540.0,33228.0,110761.0,54179.0,85255.0,24612.0,$95210,$20317,$89750,$23537,Not available,Not available,Not available,Not available,$118205,$38450,Not available,Not available,$83351,$86719,$82540,$33228,$110761,$54179,$85255,$24612
2010,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,106730.0,21139.0,97681.0,22982.0,176496.0,213783.0,,,153446.0,40816.0,,,79028.0,116326.0,,,146202.0,33789.0,78325.0,22398.0,$106730,$21139,$97681,$22982,$176496,$213783,Not available,Not available,$153446,$40816,Not available,Not available,$79028,$116326,Not available,Not available,$146202,$33789,$78325,$22398
2010,6037407900,Census Tract 4079,Valinda,Los Angeles County,California,Valinda,99088.0,12299.0,90284.0,10558.0,129371.0,56203.0,,,59468.0,28672.0,,,144981.0,24884.0,154778.0,46893.0,120423.0,16727.0,98978.0,16254.0,$99088,$12299,$90284,$10558,$129371,$56203,Not available,Not available,$59468,$28672,Not available,Not available,$144981,$24884,$154778,$46893,$120423,$16727,$98978,$16254
2010,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,91262.0,20662.0,96271.0,42328.0,146114.0,239611.0,,,105195.0,64293.0,,,59110.0,23753.0,,,117504.0,73431.0,78380.0,36944.0,$91262,$20662,$96271,$42328,$146114,$239611,Not available,Not available,$105195,$64293,Not available,Not available,$59110,$23753,Not available,Not available,$117504,$73431,$78380,$36944
2011,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,119435.0,26589.0,78773.0,34015.0,150406.0,51524.0,,,149943.0,60338.0,,,137044.0,21877.0,221417.0,323166.0,62250.0,35491.0,123509.0,16375.0,$119435,$26589,$78773,$34015,$150406,$51524,Not available,Not available,$149943,$60338,Not available,Not available,$137044,$21877,$221417,$323166,$62250,$35491,$123509,$16375
2011,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,98573.0,15314.0,99870.0,21620.0,142789.0,83188.0,,,97291.0,32706.0,,,80576.0,65534.0,105235.0,2816.0,91524.0,36976.0,99618.0,26000.0,$98573,$15314,$99870,$21620,$142789,$83188,Not available,Not available,$97291,$32706,Not available,Not available,$80576,$65534,$105235,$2816,$91524,$36976,$99618,$26000
