YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,67927.0,10481.0,71025.0,8341.0,,,,,,,,,64522.0,17462.0,93604.0,72451.0,72256.0,8334.0,65317.0,12969.0
2013,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,83690.0,7621.0,96888.0,16770.0,,,,,150532.0,49172.0,,,80867.0,3396.0,,,97914.0,32139.0,82947.0,3123.0
2013,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,67296.0,6566.0,67258.0,11594.0,,,,,74577.0,72516.0,,,53452.0,28684.0,,,66044.0,59185.0,57299.0,11108.0
2013,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,110928.0,10528.0,97525.0,15706.0,,,,,112919.0,128895.0,,,115450.0,10859.0,,,96285.0,13497.0,113167.0,8281.0
2013,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,79645.0,20861.0,66813.0,21943.0,27858.0,91606.0,,,142097.0,60097.0,,,87919.0,40312.0,,,66508.0,25623.0,80302.0,25719.0
2013,6037405701,Census Tract 4057.01,Vincent,Los Angeles County,California,Vincent,96113.0,25410.0,97654.0,28253.0,,,,,78526.0,51072.0,,,91859.0,84062.0,,,93797.0,60017.0,100173.0,41297.0
2013,6037405702,Census Tract 4057.02,Vincent,Los Angeles County,California,Vincent,73650.0,10784.0,73949.0,17464.0,96971.0,108768.0,,,120290.0,89763.0,,,68835.0,8227.0,93316.0,9723.0,58461.0,23429.0,71357.0,8344.0
2013,6037405800,Census Tract 4058,Vincent,Los Angeles County,California,Vincent,82260.0,9988.0,81507.0,20596.0,91167.0,33034.0,,,76009.0,23215.0,,,82311.0,19685.0,111920.0,104804.0,78551.0,8747.0,83751.0,13658.0
2011,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,61268.0,15901.0,57379.0,18623.0,,,,,,,,,65636.0,29808.0,,,63091.0,20675.0,60815.0,19297.0
2011,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,84812.0,23764.0,96063.0,52020.0,79874.0,975.0,,,196059.0,61523.0,,,83518.0,9444.0,340381.0,,81351.0,61874.0,84623.0,25381.0
2011,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,54157.0,24812.0,65089.0,32018.0,53124.0,43093.0,,,70132.0,240372.0,,,32524.0,14048.0,,,66277.0,60695.0,39570.0,29894.0
2011,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,109773.0,18668.0,81382.0,22754.0,27149.0,248078.0,,,79989.0,115808.0,,,114165.0,4972.0,133685.0,117774.0,91392.0,36007.0,110757.0,15480.0
2011,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,86152.0,18100.0,65037.0,17775.0,99467.0,180855.0,,,137109.0,42040.0,,,92604.0,21726.0,,,64996.0,14480.0,85682.0,20434.0
