YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037534700,Census Tract 5347,Walnut Park,Los Angeles County,California,WalnutPark,63033.0,8998.0,56906.0,12942.0,,,,,,,,,79166.0,25328.0,111479.0,59237.0,27229.0,10965.0,64091.0,8993.0,$63033,$8998,$56906,$12942,,,,,,,,,$79166,$25328,$111479,$59237,$27229,$10965,$64091,$8993
2010,6037534802,Census Tract 5348.02,Walnut Park,Los Angeles County,California,WalnutPark,69513.0,16835.0,72833.0,23598.0,,,,,,,,,65261.0,60391.0,,,,,69045.0,19483.0,$69513,$16835,$72833,$23598,,,,,,,,,$65261,$60391,,,,,$69045,$19483
2010,6037534803,Census Tract 5348.03,Walnut Park,Los Angeles County,California,WalnutPark,58566.0,15720.0,56875.0,22678.0,,,,,,,,,61247.0,20769.0,,,3614.0,,58727.0,14737.0,$58566,$15720,$56875,$22678,,,,,,,,,$61247,$20769,,,$3614,,$58727,$14737
2010,6037534804,Census Tract 5348.04,Walnut Park,Los Angeles County,California,WalnutPark,44334.0,17243.0,58391.0,25465.0,,,,,,,,,37629.0,23235.0,,,,,39742.0,25017.0,$44334,$17243,$58391,$25465,,,,,,,,,$37629,$23235,,,,,$39742,$25017
2011,6037534700,Census Tract 5347,Walnut Park,Los Angeles County,California,WalnutPark,67501.0,12025.0,65545.0,9404.0,,,,,,,,,79913.0,42804.0,127889.0,52449.0,17300.0,62941.0,68181.0,12176.0,$67501,$12025,$65545,$9404,,,,,,,,,$79913,$42804,$127889,$52449,$17300,$62941,$68181,$12176
2011,6037534802,Census Tract 5348.02,Walnut Park,Los Angeles County,California,WalnutPark,64190.0,18824.0,67368.0,17103.0,,,,,,,,,49304.0,40336.0,,,,,63839.0,19048.0,$64190,$18824,$67368,$17103,,,,,,,,,$49304,$40336,,,,,$63839,$19048
2011,6037534803,Census Tract 5348.03,Walnut Park,Los Angeles County,California,WalnutPark,48222.0,12314.0,48250.0,18001.0,,,34229.0,37575.0,,,,,48528.0,13795.0,,,56411.0,75336.0,48200.0,12129.0,$48222,$12314,$48250,$18001,,,$34229,$37575,,,,,$48528,$13795,,,$56411,$75336,$48200,$12129
2011,6037534804,Census Tract 5348.04,Walnut Park,Los Angeles County,California,WalnutPark,39321.0,11975.0,38462.0,19309.0,,,80587.0,107292.0,,,,,38088.0,17523.0,,,175941.0,255322.0,37648.0,11041.0,$39321,$11975,$38462,$19309,,,$80587,$107292,,,,,$38088,$17523,,,$175941,$255322,$37648,$11041
2012,6037534700,Census Tract 5347,Walnut Park,Los Angeles County,California,WalnutPark,71886.0,10950.0,69478.0,7802.0,,,,,,,,,83001.0,19587.0,113100.0,57920.0,16875.0,51587.0,73176.0,11378.0,$71886,$10950,$69478,$7802,,,,,,,,,$83001,$19587,$113100,$57920,$16875,$51587,$73176,$11378
2012,6037534802,Census Tract 5348.02,Walnut Park,Los Angeles County,California,WalnutPark,64350.0,11618.0,55216.0,14075.0,,,,,189525.0,249989.0,,,76877.0,24852.0,,,,,63600.0,12197.0,$64350,$11618,$55216,$14075,,,,,$189525,$249989,,,$76877,$24852,,,,,$63600,$12197
