YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037402404,Census Tract 4024.04,Walnut,Los Angeles County,California,Walnut,154612.0,259928.0,,,,,,,,,,,,,,,,,,,$154612,$259928,,,,,,,,,,,,,,,,,,
2010,6037403200,Census Tract 4032,Walnut,Los Angeles County,California,Walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,6037403401,Census Tract 4034.01,Walnut,Los Angeles County,California,Walnut,116502.0,21758.0,113890.0,40425.0,214430.0,84054.0,,,138717.0,22603.0,,,84433.0,8923.0,182028.0,191474.0,130160.0,46849.0,85356.0,12789.0,$116502,$21758,$113890,$40425,$214430,$84054,,,$138717,$22603,,,$84433,$8923,$182028,$191474,$130160,$46849,$85356,$12789
2010,6037403402,Census Tract 4034.02,Walnut,Los Angeles County,California,Walnut,126429.0,27377.0,141006.0,39577.0,,,,,126544.0,30420.0,,,95812.0,375637.0,,,153435.0,22393.0,78713.0,40727.0,$126429,$27377,$141006,$39577,,,,,$126544,$30420,,,$95812,$375637,,,$153435,$22393,$78713,$40727
2010,6037403403,Census Tract 4034.03,Walnut,Los Angeles County,California,Walnut,174647.0,25296.0,171240.0,50597.0,238349.0,47497.0,,,156222.0,40266.0,,,347165.0,264495.0,,,170616.0,54579.0,214797.0,63370.0,$174647,$25296,$171240,$50597,$238349,$47497,,,$156222,$40266,,,$347165,$264495,,,$170616,$54579,$214797,$63370
2010,6037403404,Census Tract 4034.04,Walnut,Los Angeles County,California,Walnut,167565.0,28180.0,167801.0,56809.0,219727.0,186253.0,,,167186.0,29934.0,,,,,,,115204.0,59260.0,169221.0,109560.0,$167565,$28180,$167801,$56809,$219727,$186253,,,$167186,$29934,,,,,,,$115204,$59260,$169221,$109560
2010,6037403405,Census Tract 4034.05,Walnut,Los Angeles County,California,Walnut,175146.0,19248.0,174242.0,38838.0,,,,,182585.0,70014.0,,,155469.0,229423.0,,,174751.0,42209.0,142814.0,111065.0,$175146,$19248,$174242,$38838,,,,,$182585,$70014,,,$155469,$229423,,,$174751,$42209,$142814,$111065
2010,6037403406,Census Tract 4034.06,Walnut,Los Angeles County,California,Walnut,93703.0,30019.0,91647.0,28174.0,,,,,91362.0,42778.0,,,231862.0,109262.0,,,90703.0,37175.0,190720.0,138144.0,$93703,$30019,$91647,$28174,,,,,$91362,$42778,,,$231862,$109262,,,$90703,$37175,$190720,$138144
2010,6037403407,Census Tract 4034.07,Walnut,Los Angeles County,California,Walnut,216732.0,37353.0,213719.0,35636.0,,,,,230125.0,30229.0,,,,,,,205113.0,32374.0,198674.0,88020.0,$216732,$37353,$213719,$35636,,,,,$230125,$30229,,,,,,,$205113,$32374,$198674,$88020
2010,6037403408,Census Tract 4034.08,Walnut,Los Angeles County,California,Walnut,138581.0,19828.0,131566.0,36276.0,159537.0,85321.0,,,127202.0,33695.0,,,142537.0,31587.0,105755.0,204066.0,142814.0,23092.0,140130.0,20583.0,$138581,$19828,$131566,$36276,$159537,$85321,,,$127202,$33695,,,$142537,$31587,$105755,$204066,$142814,$23092,$140130,$20583
