YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,123461.0,23724.0,124349.0,16950.0,117406.0,29128.0,,,140706.0,112687.0,,,132571.0,38049.0,,,,,124671.0,15639.0,$123461,$23724,$124349,$16950,$117406,$29128,,,$140706,$112687,,,$132571,$38049,,,,,$124671,$15639
2010,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,39093.0,21319.0,81722.0,38183.0,25022.0,11453.0,,,,,,,36400.0,18938.0,77497.0,1025.0,,,57849.0,22817.0,$39093,$21319,$81722,$38183,$25022,$11453,,,,,,,$36400,$18938,$77497,$1025,,,$57849,$22817
2010,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,70056.0,13275.0,53710.0,35894.0,70302.0,15710.0,,,35312.0,92063.0,,,147786.0,84892.0,,,141326.0,210661.0,76152.0,37768.0,$70056,$13275,$53710,$35894,$70302,$15710,,,$35312,$92063,,,$147786,$84892,,,$141326,$210661,$76152,$37768
2011,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,109268.0,17670.0,107523.0,33231.0,103362.0,19536.0,,,186432.0,90146.0,,,141624.0,54857.0,37666.0,278744.0,,,117487.0,22304.0,$109268,$17670,$107523,$33231,$103362,$19536,,,$186432,$90146,,,$141624,$54857,$37666,$278744,,,$117487,$22304
2011,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,48002.0,23655.0,113711.0,36263.0,28185.0,13439.0,,,,,,,60310.0,27421.0,21341.0,2908.0,,,62456.0,9565.0,$48002,$23655,$113711,$36263,$28185,$13439,,,,,,,$60310,$27421,$21341,$2908,,,$62456,$9565
2011,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,72114.0,10751.0,52292.0,37680.0,80048.0,28229.0,,,,,,,38152.0,106412.0,,,,,51973.0,37941.0,$72114,$10751,$52292,$37680,$80048,$28229,,,,,,,$38152,$106412,,,,,$51973,$37941
2012,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,107398.0,21754.0,109089.0,26657.0,100009.0,32354.0,,,140027.0,162100.0,,,143165.0,102638.0,36573.0,197487.0,131275.0,11227.0,119579.0,18018.0,$107398,$21754,$109089,$26657,$100009,$32354,,,$140027,$162100,,,$143165,$102638,$36573,$197487,$131275,$11227,$119579,$18018
2012,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,39766.0,17845.0,68251.0,70962.0,24568.0,11501.0,,,,,,,61973.0,30448.0,22451.0,129440.0,,,62621.0,18253.0,$39766,$17845,$68251,$70962,$24568,$11501,,,,,,,$61973,$30448,$22451,$129440,,,$62621,$18253
2012,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,71386.0,9698.0,68873.0,39030.0,81732.0,30016.0,,,93046.0,106048.0,,,25740.0,41423.0,,,,,49121.0,32586.0,$71386,$9698,$68873,$39030,$81732,$30016,,,$93046,$106048,,,$25740,$41423,,,,,$49121,$32586
2013,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,94502.0,33579.0,116397.0,17538.0,108437.0,45966.0,,,,,,,,,50813.0,40920.0,,,111390.0,18926.0,$94502,$33579,$116397,$17538,$108437,$45966,,,,,,,,,$50813,$40920,,,$111390,$18926
2013,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,41016.0,10638.0,70829.0,71356.0,37189.0,24861.0,,,,,,,40993.0,30445.0,21846.0,119847.0,,,47042.0,34992.0,$41016,$10638,$70829,$71356,$37189,$24861,,,,,,,$40993,$30445,$21846,$119847,,,$47042,$34992
2013,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,56267.0,23056.0,52130.0,23558.0,71279.0,26596.0,,,,,,,34769.0,7465.0,,,,,43106.0,14052.0,$56267,$23056,$52130,$23558,$71279,$26596,,,,,,,$34769,$7465,,,,,$43106,$14052
