YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037403500,Census Tract 4035,West Covina,Los Angeles County,California,WestCovina,133564.0,38839.0,145188.0,41853.0,,,,,140758.0,105931.0,,,,,,,123984.0,63605.0,159291.0,117729.0,$133564,$38839,$145188,$41853,Not available,Not available,Not available,Not available,$140758,$105931,Not available,Not available,Not available,Not available,Not available,Not available,$123984,$63605,$159291,$117729,1
2013,6037403600,Census Tract 4036,West Covina,Los Angeles County,California,WestCovina,111894.0,18187.0,101553.0,27845.0,81147.0,163324.0,,,91451.0,25865.0,,,133427.0,38197.0,188815.0,117278.0,101031.0,16183.0,128209.0,32279.0,$111894,$18187,$101553,$27845,$81147,$163324,Not available,Not available,$91451,$25865,Not available,Not available,$133427,$38197,$188815,$117278,$101031,$16183,$128209,$32279,1
2013,6037405301,Census Tract 4053.01,West Covina,Los Angeles County,California,WestCovina,67296.0,6566.0,67258.0,11594.0,,,,,74577.0,72516.0,,,53452.0,28684.0,,,66044.0,59185.0,57299.0,11108.0,$67296,$6566,$67258,$11594,Not available,Not available,Not available,Not available,$74577,$72516,Not available,Not available,$53452,$28684,Not available,Not available,$66044,$59185,$57299,$11108,1
2013,6037405302,Census Tract 4053.02,West Covina,Los Angeles County,California,WestCovina,100074.0,12343.0,75225.0,38872.0,182105.0,93550.0,,,105366.0,40826.0,,,101418.0,19165.0,,,46543.0,7067.0,102678.0,3112.0,$100074,$12343,$75225,$38872,$182105,$93550,Not available,Not available,$105366,$40826,Not available,Not available,$101418,$19165,Not available,Not available,$46543,$7067,$102678,$3112,1
2013,6037405400,Census Tract 4054,West Covina,Los Angeles County,California,WestCovina,110928.0,10528.0,97525.0,15706.0,,,,,112919.0,128895.0,,,115450.0,10859.0,,,96285.0,13497.0,113167.0,8281.0,$110928,$10528,$97525,$15706,Not available,Not available,Not available,Not available,$112919,$128895,Not available,Not available,$115450,$10859,Not available,Not available,$96285,$13497,$113167,$8281,1
2013,6037405500,Census Tract 4055,West Covina,Los Angeles County,California,WestCovina,79645.0,20861.0,66813.0,21943.0,27858.0,91606.0,,,142097.0,60097.0,,,87919.0,40312.0,,,66508.0,25623.0,80302.0,25719.0,$79645,$20861,$66813,$21943,$27858,$91606,Not available,Not available,$142097,$60097,Not available,Not available,$87919,$40312,Not available,Not available,$66508,$25623,$80302,$25719,1
2013,6037405600,Census Tract 4056,West Covina,Los Angeles County,California,WestCovina,110761.0,7743.0,108808.0,13051.0,54192.0,87800.0,,,69337.0,35365.0,,,117126.0,14396.0,114896.0,61113.0,109512.0,12486.0,116240.0,9527.0,$110761,$7743,$108808,$13051,$54192,$87800,Not available,Not available,$69337,$35365,Not available,Not available,$117126,$14396,$114896,$61113,$109512,$12486,$116240,$9527,1
2013,6037406200,Census Tract 4062,West Covina,Los Angeles County,California,WestCovina,47473.0,10129.0,49083.0,14258.0,41371.0,2438.0,,,53280.0,32750.0,,,58161.0,54169.0,42204.0,37477.0,51051.0,29533.0,48369.0,16836.0,$47473,$10129,$49083,$14258,$41371,$2438,Not available,Not available,$53280,$32750,Not available,Not available,$58161,$54169,$42204,$37477,$51051,$29533,$48369,$16836,1
2013,6037406300,Census Tract 4063,West Covina,Los Angeles County,California,WestCovina,94798.0,21901.0,87856.0,28805.0,25410.0,174474.0,,,106741.0,44494.0,,,103767.0,22214.0,,,81075.0,25451.0,103968.0,16357.0,$94798,$21901,$87856,$28805,$25410,$174474,Not available,Not available,$106741,$44494,Not available,Not available,$103767,$22214,Not available,Not available,$81075,$25451,$103968,$16357,1
2013,6037406402,Census Tract 4064.02,West Covina,Los Angeles County,California,WestCovina,104801.0,19160.0,94777.0,16497.0,214088.0,88575.0,,,100173.0,48900.0,,,55013.0,116933.0,,,88256.0,12090.0,105555.0,16657.0,$104801,$19160,$94777,$16497,$214088,$88575,Not available,Not available,$100173,$48900,Not available,Not available,$55013,$116933,Not available,Not available,$88256,$12090,$105555,$16657,1
