YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,98324.0,26185.0,91938.0,58482.0,,,,,134754.0,12934.0,,,88474.0,64405.0,98674.0,80126.0,,,84604.0,36239.0,$98324,$26185,$91938,$58482,,,,,$134754,$12934,,,$88474,$64405,$98674,$80126,,,$84604,$36239
2010,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,70165.0,13165.0,58714.0,19074.0,,,,,70022.0,64705.0,,,94457.0,65709.0,84101.0,58072.0,65596.0,14591.0,76268.0,18191.0,$70165,$13165,$58714,$19074,,,,,$70022,$64705,,,$94457,$65709,$84101,$58072,$65596,$14591,$76268,$18191
2010,6037406902,Census Tract 4069.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,90509.0,30940.0,26952.0,23378.0,,,,,117505.0,150868.0,,,105367.0,42951.0,,,16270.0,16082.0,92759.0,15979.0,$90509,$30940,$26952,$23378,,,,,$117505,$150868,,,$105367,$42951,,,$16270,$16082,$92759,$15979
2010,6037407001,Census Tract 4070.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,75769.0,12127.0,77960.0,15294.0,,,,,80857.0,22155.0,,,72713.0,18552.0,78638.0,207797.0,67904.0,50557.0,76314.0,13532.0,$75769,$12127,$77960,$15294,,,,,$80857,$22155,,,$72713,$18552,$78638,$207797,$67904,$50557,$76314,$13532
2010,6037407002,Census Tract 4070.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,106226.0,22672.0,79155.0,43063.0,,,,,205383.0,93335.0,,,92197.0,28846.0,174569.0,75730.0,151982.0,329528.0,91322.0,28893.0,$106226,$22672,$79155,$43063,,,,,$205383,$93335,,,$92197,$28846,$174569,$75730,$151982,$329528,$91322,$28893
2010,6037407301,Census Tract 4073.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,80018.0,10920.0,78509.0,13738.0,25309.0,14037.0,,,54161.0,91248.0,,,116532.0,55289.0,,,127859.0,55927.0,80874.0,10163.0,$80018,$10920,$78509,$13738,$25309,$14037,,,$54161,$91248,,,$116532,$55289,,,$127859,$55927,$80874,$10163
2010,6037407302,Census Tract 4073.02,West Puente Valley,Los Angeles County,California,WestPuenteValley,97620.0,23381.0,111346.0,32659.0,,,,,103688.0,131421.0,,,94114.0,31730.0,35745.0,104446.0,82176.0,64422.0,96962.0,25497.0,$97620,$23381,$111346,$32659,,,,,$103688,$131421,,,$94114,$31730,$35745,$104446,$82176,$64422,$96962,$25497
2010,6037407501,Census Tract 4075.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,89822.0,13684.0,91593.0,16650.0,35794.0,36001.0,,,54233.0,45630.0,,,117505.0,47210.0,24706.0,85508.0,87949.0,46642.0,97737.0,10621.0,$89822,$13684,$91593,$16650,$35794,$36001,,,$54233,$45630,,,$117505,$47210,$24706,$85508,$87949,$46642,$97737,$10621
2011,6037404703,Census Tract 4047.03,West Puente Valley,Los Angeles County,California,WestPuenteValley,92632.0,18679.0,94165.0,56029.0,59699.0,23902.0,,,124969.0,388560.0,,,95829.0,33187.0,98858.0,94541.0,,,89847.0,18314.0,$92632,$18679,$94165,$56029,$59699,$23902,,,$124969,$388560,,,$95829,$33187,$98858,$94541,,,$89847,$18314
2011,6037406901,Census Tract 4069.01,West Puente Valley,Los Angeles County,California,WestPuenteValley,68944.0,6464.0,50026.0,22157.0,73243.0,119787.0,,,50875.0,21027.0,,,83878.0,36399.0,88102.0,3979.0,57312.0,28664.0,76383.0,14616.0,$68944,$6464,$50026,$22157,$73243,$119787,,,$50875,$21027,,,$83878,$36399,$88102,$3979,$57312,$28664,$76383,$14616
