YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,59027.65194,7188.785279999999,54191.775,20858.24998,69150.01864,17668.48926,,,,,,,49813.07958,12342.5873,,,,,50907.425,10006.75758,$59027.65194,$7188.785279999999,$54191.775,$20858.24998,$691501864,$17668.48926,Not available,Not available,Not available,Not available,Not available,Not available,$498137958,$12342.5873,Not available,Not available,Not available,Not available,$50907.425,$10006.75758,1
2013,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,57428.83035999999,5086.80128,60212.64541999999,15217.05042,62013.78296,13410.65792,,,,,,,44098.31058,12270.3316,,,,,54191.775,17095.69862,$57428.83035999999,$5086.80128,$60212.64541999999,$152175042,$62013.78296,$13410.65792,Not available,Not available,Not available,Not available,Not available,Not available,$44098.31058,$12270.3316,Not available,Not available,Not available,Not available,$54191.775,$17095.69862,1
2013,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,59476.95101999999,12355.7247,41815.03046,21969.67402,61179.55806,18765.46216,,,,,,,63741.35105999999,30045.2338,,,,,56655.0375,19888.70986,$59476.95101999999,$12355.7247,$418153046,$21969.67402,$61179.55806,$18765.46216,Not available,Not available,Not available,Not available,Not available,Not available,$63741.35105999999,$30045.2338,Not available,Not available,Not available,Not available,$56655375,$19888.70986,1
2013,6037541001,Census Tract 5410.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,41770.3633,6408.42372,36575.83534,21378.49102,69382.55062,49927.37496,,,,,,,46671.92724,34753.67796,,,14369.68812,28123.23218,42696.55,17973.27694,$41770.3633,$6408.42372,$36575.83534,$21378.49102,$69382.55062,$49927.37496,Not available,Not available,Not available,Not available,Not available,Not available,$46671.92724,$34753.67796,Not available,Not available,$14369.68812,$28123.23218,$42696.55,$17973.27694,1
2013,6037541100,Census Tract 5411,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,59353.45946,15364.189299999998,84572.0125,78577.41687999999,59300.90985999999,21873.771,,,,,,,55177.08,26245.89772,105647.02958,77232.14712,,,60432.03999999999,22118.12664,$59353.45946,$15364.189299999998,$84572125,$78577.41687999999,$59300.90985999999,$21873.771,Not available,Not available,Not available,Not available,Not available,Not available,$551778,$26245.89772,$1056472958,$77232.14712,Not available,Not available,$604323999999999,$22118.12664,1
2013,6037541200,Census Tract 5412,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,72995.33562,21683.2787,65869.60986,67301.58645999999,66070.61207999999,29810.07434,,,,,,,118289.1496,69825.28099999999,90251.31052,106420.82244,,,84704.70023999999,24262.15032,$72995.33562,$21683.2787,$65869.60986,$67301.58645999999,$66070.61207999999,$298107434,Not available,Not available,Not available,Not available,Not available,Not available,$118289.1496,$69825.28099999999,$90251.31052,$106420.82244,Not available,Not available,$84704.70023999999,$24262.15032,1
2013,6037543000,Census Tract 5430,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,60558.15904,9545.63484,60610.70864,51901.92618,51142.58446,16655.595719999998,,,,,,,89263.37804,11643.67762,,,,,83105.87865999999,10746.3932,$60558.15904,$9545.63484,$60610.70864,$51901.92618,$51142.58446,$16655.595719999998,Not available,Not available,Not available,Not available,Not available,Not available,$89263.37804,$11643.67762,Not available,Not available,Not available,Not available,$83105.87865999999,$10746.3932,1
2011,6037540800,Census Tract 5408,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,51383.7648,18537.094800000003,37049.68224,86647.1328,52758.9,18063.28584,,,27474.112080000003,29269.956960000003,,,126026.37576,71116.27416,9625.9464,28646.380800000003,15997.86,141532.72704,85581.06264,70374.24576,$51383.7648,$1853794800000003,$37049.68224,$86647.1328,$52758.9,$18063.28584,Not available,Not available,$27474.112080000003,$29269.956960000003,Not available,Not available,$126026.37576,$71116.27416,$9625.9464,$28646.380800000003,$15997.86,$141532.72704,$855816264,$70374.24576,1
2011,6037540901,Census Tract 5409.01,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,58621.60512,5199.64488,60594.4476,15804.52416,60247.26,11838.4164,,,,,,,46602.10656,14275.5372,32336.1,34067.953440000005,,,58441.88448,9597.35448,$58621.60512,$5199.64488,$60594.4476,$15804.52416,$60247.26,$11838.4164,Not available,Not available,Not available,Not available,Not available,Not available,$46602.10656,$14275.5372,$32336.1,$34067.953440000005,Not available,Not available,$58441.88448,$9597.35448,1
2011,6037540902,Census Tract 5409.02,West Rancho Dominguez,Los Angeles County,California,WestRanchoDominguez,49672.334160000006,14084.9244,55111.60656,26536.024800000003,42286.08816,15976.07568,,,,,,,65909.82168000001,19823.7312,,,,,56712.754080000006,17942.11056,$49672.334160000006,$14084.9244,$55111.60656,$2653624800000003,$422868816,$159767568,Not available,Not available,Not available,Not available,Not available,Not available,$65909.82168000001,$19823.7312,Not available,Not available,Not available,Not available,$56712.754080000006,$17942.11056,1
