YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037501001,Census Tract 5010.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,63754.0,20316.0,80446.0,112998.0,,,,,,,,,54058.0,27685.0,,,78897.0,176233.0,63514.0,19255.0,$63754,$20316,$80446,$112998,,,,,,,,,$54058,$27685,,,$78897,$176233,$63514,$19255
2010,6037501002,Census Tract 5010.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,105680.0,20655.0,105755.0,10923.0,,,,,213921.0,122065.0,,,86028.0,80698.0,,,141539.0,83790.0,86114.0,36672.0,$105680,$20655,$105755,$10923,,,,,$213921,$122065,,,$86028,$80698,,,$141539,$83790,$86114,$36672
2010,6037501200,Census Tract 5012,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,97085.0,12180.0,94607.0,23012.0,46641.0,102336.0,,,184606.0,265235.0,,,101169.0,30112.0,,,84523.0,27352.0,110274.0,23595.0,$97085,$12180,$94607,$23012,$46641,$102336,,,$184606,$265235,,,$101169,$30112,,,$84523,$27352,$110274,$23595
2010,6037501400,Census Tract 5014,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,68643.0,30091.0,87440.0,47531.0,58061.0,77963.0,,,38840.0,19614.0,,,87654.0,34031.0,,,125640.0,55998.0,73799.0,32170.0,$68643,$30091,$87440,$47531,$58061,$77963,,,$38840,$19614,,,$87654,$34031,,,$125640,$55998,$73799,$32170
2010,6037502100,Census Tract 5021,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,73215.0,8591.0,74571.0,4800.0,101235.0,158470.0,,,63498.0,164275.0,,,67264.0,19543.0,,,52747.0,13688.0,79933.0,10430.0,$73215,$8591,$74571,$4800,$101235,$158470,,,$63498,$164275,,,$67264,$19543,,,$52747,$13688,$79933,$10430
2010,6037502200,Census Tract 5022,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,86522.0,15979.0,69353.0,21617.0,,,177704.0,263670.0,,,,,96383.0,12520.0,,,72713.0,36861.0,90750.0,15994.0,$86522,$15979,$69353,$21617,,,$177704,$263670,,,,,$96383,$12520,,,$72713,$36861,$90750,$15994
2010,6037502301,Census Tract 5023.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,76077.0,12637.0,72554.0,16915.0,,,,,,,,,81108.0,13334.0,155894.0,87045.0,99315.0,55989.0,75646.0,11774.0,$76077,$12637,$72554,$16915,,,,,,,,,$81108,$13334,$155894,$87045,$99315,$55989,$75646,$11774
2010,6037502302,Census Tract 5023.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,58984.0,14494.0,60018.0,24955.0,25866.0,15126.0,15065.0,27240.0,,,,,61191.0,38699.0,,,74661.0,48787.0,59447.0,14464.0,$58984,$14494,$60018,$24955,$25866,$15126,$15065,$27240,,,,,$61191,$38699,,,$74661,$48787,$59447,$14464
2011,6037501001,Census Tract 5010.01,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,79761.0,30018.0,80131.0,33373.0,,,,,,,,,80184.0,67279.0,,,112297.0,74974.0,79857.0,34353.0,$79761,$30018,$80131,$33373,,,,,,,,,$80184,$67279,,,$112297,$74974,$79857,$34353
2011,6037501002,Census Tract 5010.02,West Whittier-Los Nietos,Los Angeles County,California,WestWhittier-LosNietos,95051.0,18224.0,97414.0,20049.0,,,,,170010.0,155555.0,,,85032.0,27257.0,,,97169.0,15797.0,85267.0,18806.0,$95051,$18224,$97414,$20049,,,,,$170010,$155555,,,$85032,$27257,,,$97169,$15797,$85267,$18806
