YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037600100,Census Tract 6001,Westmont,Los Angeles County,California,Westmont,31201.0,5280.0,38646.0,10875.0,30441.0,8790.0,,,,,,,32167.0,22150.0,15619.0,45147.0,,,35680.0,11394.0
2013,6037600201,Census Tract 6002.01,Westmont,Los Angeles County,California,Westmont,46991.0,7541.0,60701.0,28061.0,27917.0,15857.0,,,,,,,62643.0,30784.0,,,,,57924.0,16146.0
2013,6037600202,Census Tract 6002.02,Westmont,Los Angeles County,California,Westmont,35495.0,4175.0,54808.0,36396.0,34413.0,3751.0,,,,,,,44146.0,12232.0,,,19127.0,9988.0,46487.0,8120.0
2013,6037600302,Census Tract 6003.02,Westmont,Los Angeles County,California,Westmont,61159.0,12432.0,87035.0,47063.0,60163.0,12026.0,,,,,,,54397.0,138634.0,39685.0,109839.0,89133.0,60586.0,53576.0,57362.0
2013,6037600303,Census Tract 6003.03,Westmont,Los Angeles County,California,Westmont,28136.0,5070.0,77182.0,284665.0,19358.0,13133.0,,,,,,,40350.0,40662.0,,,,,50459.0,37921.0
2013,6037600304,Census Tract 6003.04,Westmont,Los Angeles County,California,Westmont,33721.0,7214.0,42970.0,19475.0,30636.0,10474.0,,,,,,,42025.0,11977.0,,,,,45981.0,7985.0
2013,6037600400,Census Tract 6004,Westmont,Los Angeles County,California,Westmont,57939.0,7537.0,101069.0,186707.0,56886.0,10049.0,,,,,,,,,,,73600.0,74178.0,193937.0,128641.0
2013,6037602700,Census Tract 6027,Westmont,Los Angeles County,California,Westmont,91804.0,32620.0,113075.0,17038.0,105342.0,44654.0,,,,,,,,,49362.0,39752.0,,,108210.0,18386.0
2011,6037600100,Census Tract 6001,Westmont,Los Angeles County,California,Westmont,40968.0,7122.0,40360.0,18958.0,36561.0,8383.0,46752.0,64769.0,,,,,51577.0,8249.0,57946.0,92176.0,,,46418.0,11020.0
2011,6037600201,Census Tract 6002.01,Westmont,Los Angeles County,California,Westmont,44294.0,13163.0,59652.0,23274.0,41697.0,32577.0,,,,,,,37686.0,10230.0,,,,,46579.0,14212.0
2011,6037600202,Census Tract 6002.02,Westmont,Los Angeles County,California,Westmont,35718.0,3823.0,58229.0,26803.0,33508.0,4910.0,,,,,,,56163.0,24378.0,30294.0,89568.0,14669.0,10164.0,58367.0,10397.0
2011,6037600302,Census Tract 6003.02,Westmont,Los Angeles County,California,Westmont,72388.0,22495.0,63821.0,53348.0,60796.0,18809.0,,,,,,,120154.0,52269.0,,,88688.0,65497.0,89918.0,32966.0
2011,6037600303,Census Tract 6003.03,Westmont,Los Angeles County,California,Westmont,27749.0,2551.0,40421.0,291068.0,26728.0,11324.0,,,,,,,28020.0,2136.0,,,37989.0,60496.0,28513.0,1803.0
2011,6037600304,Census Tract 6003.04,Westmont,Los Angeles County,California,Westmont,44511.0,7224.0,40165.0,17984.0,47301.0,16871.0,,,,,,,51057.0,40095.0,,,24928.0,2245.0,43317.0,8991.0
2011,6037600400,Census Tract 6004,Westmont,Los Angeles County,California,Westmont,63062.0,10718.0,72863.0,69164.0,61998.0,12685.0,,,,,,,69544.0,71857.0,,,72863.0,69164.0,69602.0,53968.0
2011,6037602700,Census Tract 6027,Westmont,Los Angeles County,California,Westmont,106150.0,17166.0,104454.0,32283.0,100412.0,18978.0,,,181111.0,87573.0,,,137582.0,53291.0,36591.0,270789.0,,,114133.0,21667.0
2022,6037600100,Census Tract 6001,Westmont,Los Angeles County,California,Westmont,48771.0,13796.0,44839.0,14443.0,34931.0,11257.0,,,,,,,73538.0,22110.0,49371.0,22595.0,,,61694.0,10742.0
2022,6037600201,Census Tract 6002.01,Westmont,Los Angeles County,California,Westmont,58913.0,17529.0,84858.0,6614.0,37095.0,23496.0,,,,,,,,,66582.0,25825.0,,,68137.0,32054.0
2022,6037600202,Census Tract 6002.02,Westmont,Los Angeles County,California,Westmont,39228.0,14654.0,49479.0,20215.0,16899.0,10770.0,,,,,,,79435.0,49159.0,86843.0,51976.0,,,66570.0,25920.0
2022,6037600302,Census Tract 6003.02,Westmont,Los Angeles County,California,Westmont,83144.0,20824.0,46792.0,23780.0,88558.0,27110.0,,,,,,,120466.0,57152.0,,,,,74189.0,63407.0
2022,6037600303,Census Tract 6003.03,Westmont,Los Angeles County,California,Westmont,45699.0,23910.0,58965.0,4222.0,32226.0,13609.0,34081.0,2062.0,,,,,,,59012.0,43128.0,,,58944.0,13642.0
2022,6037600304,Census Tract 6003.04,Westmont,Los Angeles County,California,Westmont,56078.0,13899.0,69693.0,10018.0,35142.0,8496.0,,,,,,,91977.0,13610.0,56228.0,14875.0,,,61771.0,11707.0
2022,6037600400,Census Tract 6004,Westmont,Los Angeles County,California,Westmont,73529.0,26392.0,,,73423.0,52209.0,,,,,,,126211.0,61701.0,,,,,151126.0,76524.0
