YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037408503,Census Tract 4085.03,Whittier,Los Angeles County,California,Whittier,132393.0,25183.0,137482.0,29007.0,145472.0,125350.0,,,122107.0,38273.0,,,150271.0,208982.0,174676.0,115055.0,147514.0,26829.0,127319.0,87386.0,$132393,$25183,$137482,$29007,$145472,$125350,,,$122107,$38273,,,$150271,$208982,$174676,$115055,$147514,$26829,$127319,$87386
2010,6037433802,Census Tract 4338.02,Whittier,Los Angeles County,California,Whittier,95977.0,27520.0,76255.0,37255.0,,,,,184652.0,233129.0,,,101513.0,36725.0,,,74661.0,27806.0,96798.0,25803.0,$95977,$27520,$76255,$37255,,,,,$184652,$233129,,,$101513,$36725,,,$74661,$27806,$96798,$25803
2010,6037500201,Census Tract 5002.01,Whittier,Los Angeles County,California,Whittier,168655.0,18539.0,175354.0,26062.0,,,,,258512.0,374886.0,,,86773.0,62526.0,166973.0,16766.0,168503.0,24165.0,179289.0,54196.0,$168655,$18539,$175354,$26062,,,,,$258512,$374886,,,$86773,$62526,$166973,$16766,$168503,$24165,$179289,$54196
2010,6037500202,Census Tract 5002.02,Whittier,Los Angeles County,California,Whittier,177162.0,27676.0,186523.0,32712.0,,,,,354098.0,130594.0,,,146762.0,47339.0,,,162580.0,48895.0,229587.0,124034.0,$177162,$27676,$186523,$32712,,,,,$354098,$130594,,,$146762,$47339,,,$162580,$48895,$229587,$124034
2010,6037500300,Census Tract 5003,Whittier,Los Angeles County,California,Whittier,129691.0,17637.0,139267.0,20263.0,175272.0,68354.0,,,82404.0,44653.0,,,126309.0,7867.0,,,140103.0,38524.0,125759.0,11756.0,$129691,$17637,$139267,$20263,$175272,$68354,,,$82404,$44653,,,$126309,$7867,,,$140103,$38524,$125759,$11756
2010,6037501001,Census Tract 5010.01,Whittier,Los Angeles County,California,Whittier,63754.0,20316.0,80446.0,112998.0,,,,,,,,,54058.0,27685.0,,,78897.0,176233.0,63514.0,19255.0,$63754,$20316,$80446,$112998,,,,,,,,,$54058,$27685,,,$78897,$176233,$63514,$19255
2010,6037501002,Census Tract 5010.02,Whittier,Los Angeles County,California,Whittier,105680.0,20655.0,105755.0,10923.0,,,,,213921.0,122065.0,,,86028.0,80698.0,,,141539.0,83790.0,86114.0,36672.0,$105680,$20655,$105755,$10923,,,,,$213921,$122065,,,$86028,$80698,,,$141539,$83790,$86114,$36672
2010,6037501200,Census Tract 5012,Whittier,Los Angeles County,California,Whittier,97085.0,12180.0,94607.0,23012.0,46641.0,102336.0,,,184606.0,265235.0,,,101169.0,30112.0,,,84523.0,27352.0,110274.0,23595.0,$97085,$12180,$94607,$23012,$46641,$102336,,,$184606,$265235,,,$101169,$30112,,,$84523,$27352,$110274,$23595
2010,6037501300,Census Tract 5013,Whittier,Los Angeles County,California,Whittier,95790.0,9322.0,98318.0,13278.0,95163.0,62653.0,45194.0,31979.0,,,,,95662.0,55805.0,68035.0,430635.0,92904.0,16754.0,98385.0,20327.0,$95790,$9322,$98318,$13278,$95163,$62653,$45194,$31979,,,,,$95662,$55805,$68035,$430635,$92904,$16754,$98385,$20327
2010,6037501400,Census Tract 5014,Whittier,Los Angeles County,California,Whittier,68643.0,30091.0,87440.0,47531.0,58061.0,77963.0,,,38840.0,19614.0,,,87654.0,34031.0,,,125640.0,55998.0,73799.0,32170.0,$68643,$30091,$87440,$47531,$58061,$77963,,,$38840,$19614,,,$87654,$34031,,,$125640,$55998,$73799,$32170
2010,6037501501,Census Tract 5015.01,Whittier,Los Angeles County,California,Whittier,113261.0,16724.0,104047.0,24388.0,151311.0,255933.0,,,90289.0,127092.0,,,162787.0,55319.0,,,93100.0,47009.0,121121.0,27279.0,$113261,$16724,$104047,$24388,$151311,$255933,,,$90289,$127092,,,$162787,$55319,,,$93100,$47009,$121121,$27279
2010,6037501503,Census Tract 5015.03,Whittier,Los Angeles County,California,Whittier,71453.0,15012.0,65142.0,13334.0,,,,,82555.0,91014.0,,,76872.0,18011.0,20571.0,89478.0,64448.0,63603.0,70473.0,13960.0,$71453,$15012,$65142,$13334,,,,,$82555,$91014,,,$76872,$18011,$20571,$89478,$64448,$63603,$70473,$13960
2010,6037501504,Census Tract 5015.04,Whittier,Los Angeles County,California,Whittier,49782.0,5875.0,68163.0,20769.0,,,,,26746.0,5893.0,,,47153.0,20911.0,,,49563.0,19779.0,54816.0,16250.0,$49782,$5875,$68163,$20769,,,,,$26746,$5893,,,$47153,$20911,,,$49563,$19779,$54816,$16250
2010,6037501600,Census Tract 5016,Whittier,Los Angeles County,California,Whittier,114324.0,10999.0,142965.0,30067.0,,,,,87953.0,32497.0,,,74742.0,37949.0,119433.0,59537.0,148538.0,33962.0,93808.0,32154.0,$114324,$10999,$142965,$30067,,,,,$87953,$32497,,,$74742,$37949,$119433,$59537,$148538,$33962,$93808,$32154
2010,6037501700,Census Tract 5017,Whittier,Los Angeles County,California,Whittier,117238.0,21792.0,117304.0,41142.0,,,,,116902.0,44212.0,,,120670.0,40044.0,,,95105.0,23463.0,146758.0,47388.0,$117238,$21792,$117304,$41142,,,,,$116902,$44212,,,$120670,$40044,,,$95105,$23463,$146758,$47388
