YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string
2010,6037540600,Census Tract 5406,Willowbrook,Los Angeles County,California,Willowbrook,44067.0,2627.0,44884.0,7622.0,32250.0,14155.0,,,,,,,54246.0,14217.0,,,44548.0,126754.0,50281.0,10613.0,$44067,$2627,$44884,$7622,$32250,$14155,Not available,Not available,Not available,Not available,Not available,Not available,$54246,$14217,Not available,Not available,$44548,$126754,$50281,$10613
2010,6037540700,Census Tract 5407,Willowbrook,Los Angeles County,California,Willowbrook,51721.0,7526.0,165756.0,161971.0,44400.0,11043.0,,,,,,,61546.0,16859.0,,,,,61347.0,18517.0,$51721,$7526,$165756,$161971,$44400,$11043,Not available,Not available,Not available,Not available,Not available,Not available,$61546,$16859,Not available,Not available,Not available,Not available,$61347,$18517
2010,6037540800,Census Tract 5408,Willowbrook,Los Angeles County,California,Willowbrook,46363.0,14854.0,33969.0,48529.0,46671.0,13686.0,,,28867.0,22523.0,,,127104.0,97348.0,17781.0,68085.0,,,84171.0,67006.0,$46363,$14854,$33969,$48529,$46671,$13686,Not available,Not available,$28867,$22523,Not available,Not available,$127104,$97348,$17781,$68085,Not available,Not available,$84171,$67006
2010,6037540901,Census Tract 5409.01,Willowbrook,Los Angeles County,California,Willowbrook,58873.0,6688.0,59803.0,16455.0,62391.0,18431.0,,,,,,,48624.0,8019.0,,,,,56198.0,13034.0,$58873,$6688,$59803,$16455,$62391,$18431,Not available,Not available,Not available,Not available,Not available,Not available,$48624,$8019,Not available,Not available,Not available,Not available,$56198,$13034
2010,6037540902,Census Tract 5409.02,Willowbrook,Los Angeles County,California,Willowbrook,64166.0,11304.0,64206.0,40048.0,62826.0,19210.0,,,,,,,88160.0,65087.0,,,,,65127.0,11714.0,$64166,$11304,$64206,$40048,$62826,$19210,Not available,Not available,Not available,Not available,Not available,Not available,$88160,$65087,Not available,Not available,Not available,Not available,$65127,$11714
2010,6037541200,Census Tract 5412,Willowbrook,Los Angeles County,California,Willowbrook,84317.0,16958.0,85259.0,56935.0,79028.0,16258.0,,,,,,,116493.0,104536.0,111756.0,100146.0,,,76370.0,27201.0,$84317,$16958,$85259,$56935,$79028,$16258,Not available,Not available,Not available,Not available,Not available,Not available,$116493,$104536,$111756,$100146,Not available,Not available,$76370,$27201
2010,6037541400,Census Tract 5414,Willowbrook,Los Angeles County,California,Willowbrook,42734.0,12976.0,51164.0,17574.0,34043.0,20955.0,45661.0,13733.0,,,,,46140.0,22413.0,,,,,50501.0,14299.0,$42734,$12976,$51164,$17574,$34043,$20955,$45661,$13733,Not available,Not available,Not available,Not available,$46140,$22413,Not available,Not available,Not available,Not available,$50501,$14299
2010,6037541500,Census Tract 5415,Willowbrook,Los Angeles County,California,Willowbrook,56481.0,14100.0,65802.0,10102.0,38210.0,33407.0,,,,,,,54968.0,17447.0,14818.0,7751.0,,,60640.0,13007.0,$56481,$14100,$65802,$10102,$38210,$33407,Not available,Not available,Not available,Not available,Not available,Not available,$54968,$17447,$14818,$7751,Not available,Not available,$60640,$13007
2011,6037540600,Census Tract 5406,Willowbrook,Los Angeles County,California,Willowbrook,45449.0,5919.0,45825.0,13480.0,38554.0,13708.0,,,,,,,53086.0,15382.0,,,41016.0,43588.0,53414.0,8172.0,$45449,$5919,$45825,$13480,$38554,$13708,Not available,Not available,Not available,Not available,Not available,Not available,$53086,$15382,Not available,Not available,$41016,$43588,$53414,$8172
2011,6037540700,Census Tract 5407,Willowbrook,Los Angeles County,California,Willowbrook,50469.0,7012.0,97139.0,85271.0,43976.0,9746.0,,,,,,,50546.0,12669.0,,,,,55255.0,20488.0,$50469,$7012,$97139,$85271,$43976,$9746,Not available,Not available,Not available,Not available,Not available,Not available,$50546,$12669,Not available,Not available,Not available,Not available,$55255,$20488
