YEAR,AVG,1978_ADJ_FACTOR,1979_ADJ_FACTOR,1980_ADJ_FACTOR,1981_ADJ_FACTOR,1982_ADJ_FACTOR,1983_ADJ_FACTOR,1984_ADJ_FACTOR,1985_ADJ_FACTOR,1986_ADJ_FACTOR,1987_ADJ_FACTOR,1988_ADJ_FACTOR,1989_ADJ_FACTOR,1990_ADJ_FACTOR,1991_ADJ_FACTOR,1992_ADJ_FACTOR,1993_ADJ_FACTOR,1994_ADJ_FACTOR,1995_ADJ_FACTOR,1996_ADJ_FACTOR,1997_ADJ_FACTOR,1998_ADJ_FACTOR,1999_ADJ_FACTOR,2000_ADJ_FACTOR,2001_ADJ_FACTOR,2002_ADJ_FACTOR,2003_ADJ_FACTOR,2004_ADJ_FACTOR,2005_ADJ_FACTOR,2006_ADJ_FACTOR,2007_ADJ_FACTOR,2008_ADJ_FACTOR,2009_ADJ_FACTOR,2010_ADJ_FACTOR,2011_ADJ_FACTOR,2012_ADJ_FACTOR,2013_ADJ_FACTOR,2014_ADJ_FACTOR,2015_ADJ_FACTOR,2016_ADJ_FACTOR,2017_ADJ_FACTOR,2018_ADJ_FACTOR,2019_ADJ_FACTOR,2020_ADJ_FACTOR,2021_ADJ_FACTOR,2022_ADJ_FACTOR,2023_ADJ_FACTOR,2024_ADJ_FACTOR
1978,104.4,1.0,1.09483,1.21743,1.33238,1.41284,1.47318,1.53448,1.58621,1.61303,1.66762,1.72893,1.80364,1.89272,1.96169,2.01054,2.0613,2.10441,2.15517,2.21264,2.26054,2.29119,2.33908,2.41858,2.48755,2.52682,2.58429,2.65326,2.7433,2.83238,2.91284,3.0249,3.01437,3.06322,3.16092,3.22701,3.27586,3.33046,3.33621,3.37931,3.45115,3.53544,3.59962,3.64751,3.82375,4.13314,4.30364,4.43008
1979,114.3,0.91339,1.0,1.11199,1.21697,1.29046,1.34558,1.40157,1.44882,1.47332,1.52318,1.57918,1.64742,1.72878,1.79178,1.8364,1.88276,1.92213,1.9685,2.021,2.06474,2.09274,2.13648,2.2091,2.27209,2.30796,2.36045,2.42345,2.50569,2.58705,2.66054,2.7629,2.75328,2.7979,2.88714,2.94751,2.99213,3.04199,3.04724,3.08661,3.15223,3.22922,3.28784,3.33158,3.49256,3.77515,3.93088,4.04637
1980,127.1,0.8214,0.89929,1.0,1.09441,1.1605,1.21007,1.26042,1.30291,1.32494,1.36979,1.42014,1.48151,1.55468,1.61133,1.65146,1.69315,1.72856,1.77026,1.81747,1.85681,1.88198,1.92132,1.98662,2.04327,2.07553,2.12274,2.17939,2.25334,2.32651,2.3926,2.48466,2.476,2.51613,2.59638,2.65067,2.69079,2.73564,2.74036,2.77577,2.83478,2.90401,2.95673,2.99607,3.14083,3.39496,3.53501,3.63887
1981,139.1,0.75054,0.82171,0.91373,1.0,1.06039,1.10568,1.15169,1.19051,1.21064,1.25162,1.29763,1.3537,1.42056,1.47232,1.50899,1.54709,1.57944,1.61754,1.66068,1.69662,1.71963,1.75557,1.81524,1.867,1.89648,1.93961,1.99137,2.05895,2.12581,2.1862,2.27031,2.2624,2.29907,2.37239,2.422,2.45866,2.49964,2.50395,2.5363,2.59022,2.65349,2.70165,2.7376,2.86988,3.10208,3.23005,3.32495
1982,147.5,0.7078,0.77492,0.86169,0.94305,1.0,1.04271,1.0861,1.12271,1.14169,1.18034,1.22373,1.27661,1.33966,1.38847,1.42305,1.45898,1.48949,1.52542,1.5661,1.6,1.62169,1.65559,1.71186,1.76068,1.78847,1.82915,1.87797,1.94169,2.00475,2.06169,2.14102,2.13356,2.16814,2.23729,2.28407,2.31864,2.35729,2.36136,2.39186,2.44271,2.50237,2.5478,2.58169,2.70644,2.92542,3.0461,3.13559
1983,153.8,0.6788,0.74317,0.8264,0.90442,0.95904,1.0,1.04161,1.07672,1.09493,1.13199,1.1736,1.22432,1.28479,1.3316,1.36476,1.39922,1.42848,1.46294,1.50195,1.53446,1.55527,1.58778,1.64174,1.68856,1.71521,1.75423,1.80104,1.86216,1.92263,1.97724,2.05332,2.04616,2.07932,2.14564,2.19051,2.22367,2.26073,2.26463,2.29389,2.34265,2.39987,2.44343,2.47594,2.59558,2.80559,2.92133,3.00715
1984,160.2,0.65169,0.71348,0.79338,0.86829,0.92072,0.96005,1.0,1.03371,1.05119,1.08677,1.12672,1.17541,1.23346,1.2784,1.31024,1.34332,1.37141,1.40449,1.44195,1.47316,1.49313,1.52434,1.57615,1.6211,1.64669,1.68414,1.72909,1.78777,1.84582,1.89825,1.97129,1.96442,1.99625,2.05993,2.103,2.13483,2.17041,2.17416,2.20225,2.24906,2.304,2.34582,2.37703,2.49189,2.69351,2.80462,2.88702
1985,165.6,0.63043,0.69022,0.76751,0.83998,0.8907,0.92874,0.96739,1.0,1.01691,1.05133,1.08998,1.13708,1.19324,1.23671,1.26751,1.29952,1.32669,1.3587,1.39493,1.42512,1.44444,1.47464,1.52476,1.56824,1.593,1.62923,1.67271,1.72947,1.78563,1.83635,1.907,1.90036,1.93116,1.99275,2.03442,2.06522,2.09964,2.10326,2.13043,2.17572,2.22886,2.26932,2.29952,2.41063,2.60568,2.71316,2.79287
1986,168.4,0.61995,0.67874,0.75475,0.82601,0.87589,0.9133,0.95131,0.98337,1.0,1.03385,1.07185,1.11817,1.1734,1.21615,1.24644,1.27791,1.30463,1.3361,1.37173,1.40143,1.42043,1.45012,1.49941,1.54216,1.56651,1.60214,1.64489,1.70071,1.75594,1.80582,1.8753,1.86876,1.89905,1.95962,2.00059,2.03088,2.06473,2.06829,2.09501,2.13955,2.19181,2.23159,2.26128,2.37055,2.56235,2.66805,2.74644
1987,174.1,0.59966,0.65652,0.73004,0.79897,0.84721,0.8834,0.92016,0.95118,0.96726,1.0,1.03676,1.08156,1.13498,1.17634,1.20563,1.23607,1.26192,1.29236,1.32682,1.35554,1.37392,1.40264,1.45032,1.49167,1.51522,1.54968,1.59104,1.64503,1.69845,1.7467,1.8139,1.80758,1.83688,1.89546,1.93509,1.96439,1.99713,2.00057,2.02642,2.0695,2.12005,2.15853,2.18725,2.29294,2.47846,2.5807,2.65652
