YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2017,600212,Acton,6037910205,Census Tract 9102.05,76756.0,22495.0,67037.0,18556.0,,,,,209612.0,87330.0,,,,,,,89281.0,28577.0,48438.0,25632.0,1.223021582733813
2017,600212,Acton,6037910804,Census Tract 9108.04,114289.0,16539.0,110489.0,26502.0,,,,,,,,,,,,,105791.0,27608.0,115571.0,23626.0,1.223021582733813
2017,600212,Acton,6037910805,Census Tract 9108.05,103040.0,19936.0,117970.0,12730.0,,,,,,,,,62013.0,24585.0,,,120125.0,13919.0,62062.0,20917.0,1.223021582733813
2017,600212,Acton,6037910812,Census Tract 9108.12,91536.0,25105.0,92874.0,22770.0,,,,,,,,,,,,,92874.0,22770.0,,,1.223021582733813
2017,600212,Acton,6037910813,Census Tract 9108.13,110778.0,40127.0,107848.0,39490.0,,,,,,,,,,,226769.0,117892.0,109515.0,43069.0,91438.0,71680.0,1.223021582733813
2017,600394,Agoura Hills,6037800324,Census Tract 8003.24,175493.0,37012.0,171779.0,39486.0,124014.0,72923.0,,,203735.0,108570.0,,,,,,,173656.0,56683.0,,,1.223021582733813
2017,600394,Agoura Hills,6037800326,Census Tract 8003.26,162607.0,19033.0,162792.0,22866.0,,,,,155851.0,106332.0,,,,,171084.0,87327.0,162699.0,20808.0,,,1.223021582733813
2017,600394,Agoura Hills,6037800327,Census Tract 8003.27,102703.0,17521.0,109398.0,11449.0,,,,,83148.0,42177.0,,,,,,,110394.0,10530.0,76653.0,27251.0,1.223021582733813
2017,600394,Agoura Hills,6037800328,Census Tract 8003.28,121969.0,19228.0,107205.0,40744.0,129845.0,68511.0,,,202716.0,148908.0,,,,,245190.0,,94450.0,52821.0,108645.0,51697.0,1.223021582733813
2017,600394,Agoura Hills,6037800329,Census Tract 8003.29,100508.0,13147.0,102592.0,14159.0,,,,,85230.0,47145.0,,,35243.0,27922.0,,,103539.0,14816.0,,,1.223021582733813
2017,600394,Agoura Hills,6037800332,Census Tract 8003.32,171929.0,58325.0,154734.0,61059.0,,,,,209825.0,104057.0,,,,,,,153861.0,58696.0,,,1.223021582733813
2017,600450,Agua Dulce,6037910804,Census Tract 9108.04,114289.0,16539.0,110489.0,26502.0,,,,,,,,,,,,,105791.0,27608.0,115571.0,23626.0,1.223021582733813
2017,600450,Agua Dulce,6037910808,Census Tract 9108.08,117753.0,15178.0,115066.0,20084.0,,,,,,,,,,,120773.0,84094.0,127194.0,34509.0,100899.0,32417.0,1.223021582733813
2017,600450,Agua Dulce,6037910810,Census Tract 9108.10,169847.0,12823.0,167975.0,17846.0,,,,,166942.0,71437.0,,,173625.0,25566.0,239223.0,88802.0,186638.0,33719.0,94565.0,40058.0,1.223021582733813
2017,600450,Agua Dulce,6037910813,Census Tract 9108.13,110778.0,40127.0,107848.0,39490.0,,,,,,,,,,,226769.0,117892.0,109515.0,43069.0,91438.0,71680.0,1.223021582733813
2017,600884,Alhambra,6037480302,Census Tract 4803.02,69846.0,18600.0,85000.0,49400.0,34541.0,5480.0,,,51263.0,10112.0,,,98172.0,72731.0,,,77280.0,36305.0,100486.0,22738.0,1.223021582733813
2017,600884,Alhambra,6037480303,Census Tract 4803.03,59734.0,6876.0,63063.0,39135.0,,,,,59900.0,10763.0,,,57202.0,20410.0,,,41277.0,28780.0,58942.0,14459.0,1.223021582733813
