YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,600212,Acton,6037910213,Census Tract 9102.13,131915.0,34979.0,131254.0,67609.0,,,,,,,,,112550.0,73479.0,177736.0,140768.0,177548.0,135704.0,110060.0,79173.0
2021,600212,Acton,6037910804,Census Tract 9108.04,132297.0,29765.0,137346.0,25945.0,,,,,108365.0,1205.0,,,,,250001.0,,165408.0,51102.0,105516.0,66159.0
2021,600212,Acton,6037910814,Census Tract 9108.14,115607.0,16457.0,115770.0,22979.0,,,,,149579.0,105741.0,,,130890.0,107721.0,59636.0,53584.0,108955.0,17920.0,130338.0,25479.0
2021,600212,Acton,6037910815,Census Tract 9108.15,123102.0,22249.0,125305.0,20061.0,,,,,,,,,,,,,124274.0,24838.0,114784.0,53165.0
2021,600394,Agoura Hills,6037800324,Census Tract 8003.24,158826.0,18372.0,161334.0,25513.0,,,,,185977.0,67987.0,,,,,158633.0,41354.0,162635.0,30197.0,108273.0,61841.0
2021,600394,Agoura Hills,6037800328,Census Tract 8003.28,250001.0,39138.0,232416.0,96970.0,,,,,250001.0,,,,,,,,250001.0,59743.0,115883.0,97286.0
2021,600394,Agoura Hills,6037800333,Census Tract 8003.33,123430.0,41375.0,105446.0,60405.0,,,,,116771.0,81522.0,,,,,,,105516.0,67255.0,,
2021,600394,Agoura Hills,6037800334,Census Tract 8003.34,165581.0,76936.0,185145.0,77171.0,,,,,,,,,,,,,192652.0,69409.0,100774.0,79891.0
2021,600394,Agoura Hills,6037800335,Census Tract 8003.35,152295.0,33911.0,151661.0,37962.0,,,,,199249.0,171899.0,,,71370.0,42118.0,250001.0,28261.0,148972.0,37595.0,,
2021,600394,Agoura Hills,6037800336,Census Tract 8003.36,225600.0,43180.0,210909.0,41496.0,,,,,,,,,,,238926.0,152516.0,208952.0,32037.0,250001.0,
2021,600394,Agoura Hills,6037800338,Census Tract 8003.38,198528.0,19868.0,197929.0,22002.0,,,,,119662.0,74668.0,,,250001.0,,220014.0,37862.0,199628.0,18984.0,,
2021,600450,Agua Dulce,6037910808,Census Tract 9108.08,121104.0,30681.0,144093.0,16164.0,,,,,,,,,97158.0,30486.0,103482.0,15740.0,143576.0,16384.0,103751.0,30256.0
2021,600450,Agua Dulce,6037910810,Census Tract 9108.10,167418.0,40373.0,176261.0,68597.0,,,,,165520.0,61542.0,,,,,140688.0,132243.0,204381.0,34358.0,101608.0,21897.0
2021,600450,Agua Dulce,6037910814,Census Tract 9108.14,115607.0,16457.0,115770.0,22979.0,,,,,149579.0,105741.0,,,130890.0,107721.0,59636.0,53584.0,108955.0,17920.0,130338.0,25479.0
2021,600884,Alhambra,6037480302,Census Tract 4803.02,94603.0,7237.0,93433.0,7238.0,,,,,88249.0,27203.0,,,99026.0,11854.0,124086.0,92030.0,94117.0,34501.0,93818.0,9948.0
2021,600884,Alhambra,6037480303,Census Tract 4803.03,87930.0,12526.0,94886.0,32141.0,94542.0,33944.0,,,84353.0,19476.0,,,66311.0,29499.0,83773.0,28384.0,83006.0,47368.0,96185.0,16444.0
2021,600884,Alhambra,6037480304,Census Tract 4803.04,70921.0,14602.0,79448.0,4996.0,,,,,56451.0,17087.0,,,82426.0,20520.0,58526.0,35054.0,80775.0,14251.0,74939.0,11095.0
2021,600884,Alhambra,6037480400,Census Tract 4804,89550.0,41161.0,88633.0,75687.0,,,,,69903.0,17704.0,,,120112.0,66692.0,,,88998.0,73500.0,125798.0,36559.0
2021,600884,Alhambra,6037480802,Census Tract 4808.02,83854.0,35781.0,83080.0,65141.0,,,,,,,,,104226.0,50542.0,92421.0,89930.0,,,104422.0,44317.0
2021,600884,Alhambra,6037480803,Census Tract 4808.03,112729.0,25549.0,133589.0,16132.0,,,,,97544.0,51290.0,,,62078.0,38058.0,,,180304.0,47236.0,94913.0,36395.0
2021,600884,Alhambra,6037480804,Census Tract 4808.04,86159.0,13075.0,109608.0,34517.0,92150.0,16158.0,,,67243.0,29883.0,,,57823.0,40000.0,,,117914.0,6118.0,83292.0,20376.0
